pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,w_ij
1026,1004,DG HIPROM,DG Total Molecular Layer,i,i,-12.994857704267998
1026,1005,DG HIPROM,DG MOLAX,i,i,-16.76995865136
1026,1007,DG HIPROM,DG Neurogliaform,i,i,-2.5642720667200005
1026,1008,DG HIPROM,DG MOPP,i,i,-3.530191984000001
1026,1009,DG HIPROM,DG HICAP,i,i,-14.561764116480001
1026,1010,DG HIPROM,DG Axo Axonic,i,i,-12.128599230400003
1026,1013,DG HIPROM,DG HIPP,i,i,-5.363385439104
1026,1026,DG HIPROM,DG HIPROM,i,i,-24.633322354368
1026,1027,DG HIPROM,DG AIPRIM,i,i,-16.4379653856
1026,1035,DG HIPROM,DG Basket,i,i,-13.702803714431997
1026,1041,DG HIPROM,DG Hilar Ectopic Granule,i,e,-17.330626404
1026,2000,DG HIPROM,CA3 Pyramidal,i,e,-8.449511820749997
1026,2001,DG HIPROM,CA3 Granule,i,e,-0.18209423899259997
1026,2004,DG HIPROM,CA3c Pyramidal,i,e,-7.819844383472001
1026,2005,DG HIPROM,CA3 LMR Targeting,i,i,-1.4055510994559999
1026,2009,DG HIPROM,CA3 O LM,i,i,-3.0569612468720004
1026,2013,DG HIPROM,CA3 Lucidum ORAX,i,i,-2.6136706527360003
1026,2019,DG HIPROM,CA3 Spiny Lucidum,i,i,-4.800530427901959
1026,2020,DG HIPROM,CA3 Trilaminar,i,i,-3.5435817231359996
1026,2028,DG HIPROM,CA3 Axo Axonic,i,i,-4.73223125925
1026,2035,DG HIPROM,CA3 Mossy Fiber Associated ORDEN,i,i,-7.843745092919999
1026,2036,DG HIPROM,CA3 Mossy Fiber Associated,i,i,-5.001931573316776
1026,2043,DG HIPROM,CA3 Basket,i,i,-7.307887427568001
1026,2044,DG HIPROM,CA3 Basket CCK+,i,i,-3.4995499721856005
1026,2047,DG HIPROM,CA3 Horizontal Axo Axonic,i,i,-2.3841735359040004
1026,3007,DG HIPROM,CA2 Wide Arbor Basket,i,i,-0.7107580985639679
1026,4011,DG HIPROM,CA1 Neurogliaform Projecting,i,i,-3.5809123712831994
1027,1000,DG AIPRIM,DG Granule,i,e,-5198.70757223961
1027,1001,DG AIPRIM,DG Semilunar Granule,i,e,-4221.690276727242
1027,1002,DG AIPRIM,DG Mossy,i,e,-8299.567272988299
1027,1004,DG AIPRIM,DG Total Molecular Layer,i,i,-9047.047449782945
1027,1005,DG AIPRIM,DG MOLAX,i,i,-12163.428213615165
1027,1009,DG AIPRIM,DG HICAP,i,i,-9756.98468499447
1027,1010,DG AIPRIM,DG Axo Axonic,i,i,-7725.744949203603
1027,1013,DG AIPRIM,DG HIPP,i,i,-3846.2820257664
1027,1026,DG AIPRIM,DG HIPROM,i,i,-21429.717139184646
1027,1027,DG AIPRIM,DG AIPRIM,i,i,-10954.1344524612
1027,1035,DG AIPRIM,DG Basket,i,i,-8921.306258922023
1027,1041,DG AIPRIM,DG Hilar Ectopic Granule,i,e,-12455.029083218698
1035,1000,DG Basket,DG Granule,i,e,-5317.503508323121
1035,1004,DG Basket,DG Total Molecular Layer,i,i,-5419.586277233849
1035,1005,DG Basket,DG MOLAX,i,i,-4992.880041672147
1035,1009,DG Basket,DG HICAP,i,i,-4100.037675563964
1035,1010,DG Basket,DG Axo Axonic,i,i,-2895.9885754967745
1035,1013,DG Basket,DG HIPP,i,i,-3307.448188474505
1035,1035,DG Basket,DG Basket,i,i,-3726.6449516264424
1041,1002,DG Hilar Ectopic Granule,DG Mossy,e,e,55.65027212412001
1041,1004,DG Hilar Ectopic Granule,DG Total Molecular Layer,e,i,20.139190526124004
1041,1005,DG Hilar Ectopic Granule,DG MOLAX,e,i,21.070177923307504
1041,1009,DG Hilar Ectopic Granule,DG HICAP,e,i,13.051269097680002
1041,1010,DG Hilar Ectopic Granule,DG Axo Axonic,e,i,20.703174296805003
1041,1013,DG Hilar Ectopic Granule,DG HIPP,e,i,33.0826227615
1041,1026,DG Hilar Ectopic Granule,DG HIPROM,e,i,36.74013136469001
1041,1027,DG Hilar Ectopic Granule,DG AIPRIM,e,i,32.258082690048
