pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,v_ij
2001,2004,CA3 Granule,CA3c Pyramidal,e,e,62.0
2001,2005,CA3 Granule,CA3 LMR Targeting,e,i,68.0
2001,2013,CA3 Granule,CA3 Lucidum ORAX,e,i,61.0
2001,2019,CA3 Granule,CA3 Spiny Lucidum,e,i,62.0
2001,2028,CA3 Granule,CA3 Axo Axonic,e,i,58.0
2001,2035,CA3 Granule,CA3 Mossy Fiber Associated ORDEN,e,i,57.0
2001,2036,CA3 Granule,CA3 Mossy Fiber Associated,e,i,57.0
2001,2043,CA3 Granule,CA3 Basket,e,i,58.0
2001,2044,CA3 Granule,CA3 Basket CCK+,e,i,60.0
2004,1000,CA3c Pyramidal,DG Granule,e,e,75.0
2004,1001,CA3c Pyramidal,DG Semilunar Granule,e,e,78.0
2004,1002,CA3c Pyramidal,DG Mossy,e,e,62.0
2004,1004,CA3c Pyramidal,DG Total Molecular Layer,e,i,54.5
2004,1005,CA3c Pyramidal,DG MOLAX,e,i,54.5
2004,1009,CA3c Pyramidal,DG HICAP,e,i,60.5
2004,1010,CA3c Pyramidal,DG Axo Axonic,e,i,65.1
2004,1013,CA3c Pyramidal,DG HIPP,e,i,65.0
2004,1026,CA3c Pyramidal,DG HIPROM,e,i,65.0
2004,1027,CA3c Pyramidal,DG AIPRIM,e,i,64.0
2004,1035,CA3c Pyramidal,DG Basket,e,i,62.0
2004,1041,CA3c Pyramidal,DG Hilar Ectopic Granule,e,e,70.0
2004,2000,CA3c Pyramidal,CA3 Pyramidal,e,e,60.5
2004,2001,CA3c Pyramidal,CA3 Granule,e,e,78.0
2004,2004,CA3c Pyramidal,CA3c Pyramidal,e,e,62.0
2004,2005,CA3c Pyramidal,CA3 LMR Targeting,e,i,68.0
2004,2009,CA3c Pyramidal,CA3 O LM,e,i,60.0
2004,2013,CA3c Pyramidal,CA3 Lucidum ORAX,e,i,61.0
2004,2020,CA3c Pyramidal,CA3 Trilaminar,e,i,61.2
2004,2028,CA3c Pyramidal,CA3 Axo Axonic,e,i,58.0
