Neuron,DG Granule,DG Hilar Ectopic Granule,DG Semilunar Granule,DG Mossy,DG AIPRIM,DG Axo Axonic,DG Basket,DG HICAP,DG HIPP,DG HIPROM,DG MOLAX,DG Total Molecular Layer,DG MOPP,DG Neurogliaform,CA3 Pyramidal,CA3c Pyramidal,CA3 Granule,CA3 Axo Axonic,CA3 Horizontal Axo Axonic,CA3 Basket,CA3 Basket CCK+,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,CA3 Mossy Fiber Associated ORDEN,CA3 O LM,CA3 Trilaminar,CA2 Pyramidal,CA2 Basket,CA2 Wide Arbor Basket,CA2 Bistratified,CA2 SP SR,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Back Projection,CA1 Basket,CA1 Horizontal Basket,CA1 Basket CCK+,CA1 Bistratified,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 O LM,CA1 Recurrent O LM,CA1 O LMR,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 OR LM,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Quadrilaminar,CA1 R Receiving Apical Targeting,CA1 Radiatum,CA1 Schaffer Collateral Associated,CA1 SO SO,CA1 Trilaminar,CA1 Radial Trilaminar,SUB CA1 Projecting Pyramidal,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,MEC LII Oblique Pyramidal,MEC LII Stellate,MEC LII III Pyramidal Multiform,EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Pyramidal,EC LIII Pyramidal Stellate,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,EC LV Deep Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,LEC LVI Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron
CA3 Basket CCK+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-34966.80758,-25331.28424,0,-14340.51485,0,-24135.47962,-14955.92869,0,0,0,0,-22938.07651,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 LMR Targeting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6333.728912,-440.68837,-2862.115677,-2438.593873,0,-4829.456375,-3248.439948,-4841.434197,-466.1186612,0,-416.9114406,-377.582895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Lucidum ORAX,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-9.745853616,-8.741902847,-0.504755192,-4.951628409,-2.703184077,-8.524753727,-4.036994247,-1.526711639,-3.854790117,-3.733716612,-5.69317012,-8.659663626,-3.235891743,-3.772921935,0,0,-0.800572704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Spiny Lucidum,-375.7964668,-351.9288247,-397.8805253,0,-157.256139,-313.0787506,-298.0205344,-174.7514475,0,-34.07591968,-213.2337902,-138.6707865,-268.5071892,-139.7330855,-244.5169783,-207.72381,-45.29354319,-121.4074428,0,-237.54514,-151.3570618,-72.18101807,-251.7398712,-41.29915476,-185.9254931,-203.18359,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-173.4068522,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Mossy Fiber Associated,0,-591.3146043,0,-813.6746196,-420.8076893,-263.0385327,-294.8683169,-325.492781,-435.8921505,-657.7612335,-507.0574152,-499.0387044,0,0,-501.8013899,-426.7273092,-22.82591604,-233.552471,0,-419.091192,-244.8044408,-113.6673898,-251.6176324,-297.9301048,-383.7994067,-466.9892755,0,0,0,0,-75.73835545,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Mossy Fiber Associated ORDEN,0,-30.20401538,0,-44.50986956,-18.01965599,-8.877043565,-9.718445081,-11.24380591,-20.1000706,-26.71898328,-22.97037825,-18.93312299,0,0,-144.9645624,-149.2337836,0,-87.08670652,0,-148.425255,-69.5950866,-32.58919175,-56.55274499,-133.274176,-139.0481546,-132.0610758,0,0,0,0,-23.68286695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 O LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-7956.640482,-1209.918389,-2802.898053,-2874.03706,-779.1892653,-5229.672817,-3516.24563,-4414.529471,-415.6658529,0,-413.7897337,-904.0737054,-916.6400084,-1021.164473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Trilaminar,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2136.473064,-1777.695478,-201.8507867,-1040.625325,-785.3823811,-1799.18371,-1099.010698,-401.3989688,-941.35884,-687.3818303,-1256.605933,-2236.154941,-864.7142663,-1080.898983,0,0,-171.0361928,0,0,-969.1136206,-313.6163273,-704.3595132,-317.0559049,-567.1567181,-801.2179109,-1205.381116,-999.3735315,-912.4019572,-1050.964334,-158.7025178,0,0,-419.9716123,-533.4412237,-497.6728461,-833.3650759,-342.3900395,-528.7711222,-122.6980578,-1637.045385,-1228.624215,-354.3182666,-233.8953891,-230.0758198,-611.5928072,-709.7553592,-1162.135946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA2 Pyramidal,0,88629.65247,0,166772.8923,107377.7854,67449.33224,41162.47019,35161.50384,107625.6998,133938.2986,49646.03947,60043.32026,0,0,96622.64833,129221.1691,8050.316788,67833.28377,15807.10467,92673.44197,34299.94608,5902.116751,23059.71459,4192.34264,38248.40169,67056.41055,19424.1956,34566.71574,147252.4362,179764.6148,94736.66748,143583.4967,63637.56046,190449.6795,143751.0964,94187.19383,19443.58081,47830.79731,97607.05449,49160.07375,80091.95575,75855.14627,69231.03908,41673.63231,0,0,70443.39464,164199.6222,51643.53245,60795.19463,28221.8575,271267.4894,101553.9283,217306.0095,66410.44449,271292.6046,99332.67113,144883.1559,81285.05246,149389.2933,31583.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA2 Basket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4620.858338,-5327.324146,-4425.022201,-8982.065676,-2453.760382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
