injection_seed,sender,receiver,edge_present,weight
EC LI II Multipolar Pyramidal,MEC LII Stellate,CA3 Granule,1,19640.6765649223
EC LI II Multipolar Pyramidal,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
EC LI II Multipolar Pyramidal,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
EC LI II Multipolar Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
EC LI II Pyramidal Fan,EC LI II Pyramidal Fan,EC LI II Multipolar Pyramidal,1,7472.437106847604
EC LI II Pyramidal Fan,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,1,30698.001365671505
EC LI II Pyramidal Fan,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,1,861.1914192115519
EC LI II Pyramidal Fan,MEC LIII Complex Pyramidal,MEC LII Stellate,1,1193.0847203135872
EC LI II Pyramidal Fan,MEC LII Stellate,CA3 Granule,1,19640.6765649223
EC LI II Pyramidal Fan,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
EC LI II Pyramidal Fan,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
EC LI II Pyramidal Fan,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
EC LII III Pyramidal Tripolar,EC LII III Pyramidal Tripolar,EC LI II Multipolar Pyramidal,1,4216.395703649579
EC LII III Pyramidal Tripolar,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,1,30698.001365671505
EC LII III Pyramidal Tripolar,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,1,861.1914192115519
EC LII III Pyramidal Tripolar,MEC LIII Complex Pyramidal,MEC LII Stellate,1,1193.0847203135872
EC LII III Pyramidal Tripolar,MEC LII Stellate,CA3 Granule,1,19640.6765649223
EC LII III Pyramidal Tripolar,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
EC LII III Pyramidal Tripolar,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
EC LII III Pyramidal Tripolar,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
EC LIII Pyramidal,EC LIII Pyramidal,CA1 Pyramidal,1,399.8181948870682
EC LIII Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,CA1 Pyramidal,1,5351.494110639728
EC LIII Pyramidal Stellate,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
EC LIII Stellate,EC LIII Stellate,MEC LIII Complex Pyramidal,1,165.81222907217855
EC LIII Stellate,MEC LIII Complex Pyramidal,MEC LII Stellate,1,1193.0847203135872
EC LIII Stellate,MEC LII Stellate,CA3 Granule,1,19640.6765649223
EC LIII Stellate,CA3 Granule,CA3c Pyramidal,1,2.280811281935155
EC LIII Stellate,CA3c Pyramidal,CA1 Pyramidal,1,85609.60976338176
EC LIII Stellate,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
EC LIII V Bipolar Pyramidal,EC LIII V Bipolar Pyramidal,LEC LIII Multipolar Principal,1,1092.637693563088
EC LIII V Bipolar Pyramidal,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,1,556.0635991085179
EC LIII V Bipolar Pyramidal,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,1,538.1000722266449
EC LIII V Bipolar Pyramidal,EC LIII Pyramidal Stellate,CA1 Pyramidal,1,5351.494110639728
EC LIII V Bipolar Pyramidal,CA1 Pyramidal,CA1 Back Projection,1,13696.70368235844
EC LIV VI Deep Multipolar Principal,EC LIV VI Deep Multipolar Principal,MEC LV VI Pyramidal Polymorphic,1,2582.023382309931
EC LIV VI Deep Multipolar Principal,MEC LV VI Pyramidal Polymorphic,EC LV Deep Pyramidal,1,78.22850736136446
EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,LEC LVI Multipolar Pyramidal,1,608.8907703194651
EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,1,304.0317537911717
EC LIV VI Deep Multipolar Principal,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,1,556.0635991085179
EC LIV VI Deep Multipolar Principal,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,1,538.1000722266449
EC LIV VI Deep Multipolar Principal,EC LIII Pyramidal Stellate,CA1 Pyramidal,1,5351.494110639728
