seed,length_edges__branch_and_bound,length_edges__dynamic_programming,length_edges__greedy_tree_path,length_edges__greedy_tree_simulated_annealing,length_edges__maximum_spanning_tree,n_nodes_visited__branch_and_bound,n_nodes_visited__dynamic_programming,n_nodes_visited__greedy_tree_path,n_nodes_visited__greedy_tree_simulated_annealing,n_nodes_visited__maximum_spanning_tree,n_self_connections_included__branch_and_bound,n_self_connections_included__dynamic_programming,n_self_connections_included__greedy_tree_path,n_self_connections_included__greedy_tree_simulated_annealing,n_self_connections_included__maximum_spanning_tree,self_weight_sum__branch_and_bound,self_weight_sum__dynamic_programming,self_weight_sum__greedy_tree_path,self_weight_sum__greedy_tree_simulated_annealing,self_weight_sum__maximum_spanning_tree,summed_weight__branch_and_bound,summed_weight__dynamic_programming,summed_weight__greedy_tree_path,summed_weight__greedy_tree_simulated_annealing,summed_weight__maximum_spanning_tree,terminus__branch_and_bound,terminus__dynamic_programming,terminus__greedy_tree_path,terminus__greedy_tree_simulated_annealing,terminus__maximum_spanning_tree,transition_weight_sum__branch_and_bound,transition_weight_sum__dynamic_programming,transition_weight_sum__greedy_tree_path,transition_weight_sum__greedy_tree_simulated_annealing,transition_weight_sum__maximum_spanning_tree
LEC LVI Multipolar Pyramidal,28,4,15,23,7,29,5,16,24,8,25,4,13,20,5,40447.90946639012,5923.584986784065,17199.957716448596,38829.42348314311,22313.120065637602,191380.03565841683,96192.2285394461,91549.00668226511,264124.00859811157,80720.25286369873,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,CA3 Granule,150932.1261920267,90268.64355266205,74349.04896581652,225294.58511496847,58407.13279806113
MEC LII III Pyramidal Multiform,28,4,18,24,6,29,5,19,25,7,25,3,16,20,6,40384.370672723504,3741.416893559902,18377.758419395304,38894.55779890485,23744.30990119198,179094.9813932021,109302.0769406497,89448.90213613,259270.11362590594,134241.95458138603,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,138710.61072047858,105560.6600470898,71071.14371673469,220375.5558270011,110497.64468019406
MEC LII Oblique Pyramidal,23,4,22,26,6,24,5,23,27,7,20,3,18,22,5,39425.80232440933,5710.917429138775,18555.545706879973,39656.287405803116,23436.51259441375,183065.93095065493,95942.54636884344,213682.88819956564,266656.5214622605,133830.3327520412,DG Hilar Ectopic Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,143640.1286262456,90231.62893970466,195127.34249268565,227000.2340564574,110393.82015762746
MEC LII Stellate,29,4,22,28,6,30,5,23,29,7,26,3,18,24,5,40488.51416037096,4769.679673203114,18555.545706879973,40077.155005381595,23436.51259441375,189827.2875651616,123586.89161504668,212794.45005817298,266459.0210533877,135010.202350936,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,149338.7734047906,118817.21194184356,194238.90435129302,226381.86604800614,111573.68975652223
MEC LIII Bipolar Complex Pyramidal,25,4,13,21,6,26,5,14,22,7,23,3,11,18,6,40208.497579843555,3610.2350745264835,11143.044961237534,35807.941097020484,23613.128082158564,179322.7876758331,109131.3792115673,136143.95033795052,259625.37468503858,134117.78865918357,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,139114.29009598953,105521.14413704081,125000.90537671298,223817.4335880181,110504.660577025
MEC LIII Complex Pyramidal,29,4,21,24,6,30,5,22,25,7,26,3,18,21,6,40488.51416037096,4887.337657789804,18555.545706879973,39189.60654608038,24890.23066542188,190703.20400819025,111332.98951768938,213227.44830510067,265513.40015955816,135836.104069049,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,150214.68984781927,106445.65185989958,194671.9025982207,226323.79361347776,110945.87340362713
MEC LV Multipolar Pyramidal,28,4,21,27,7,29,5,22,28,8,25,4,18,24,5,40384.370672723504,4200.65129504255,18555.545706879973,40077.1550053816,22302.239488745774,183332.20502010337,101297.21798466967,213385.28366908414,266696.7470821657,80709.3722868069,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,CA3 Granule,142947.83434737986,97096.56668962711,194829.73796220415,226619.59207678406,58407.13279806113
MEC LV Pyramidal,25,4,17,20,4,26,5,18,21,5,22,4,14,17,4,40104.354092196096,3999.7856953692135,17765.202443956012,38553.189373623034,5334.924400710527,182175.58348957522,124292.90170087857,211480.55052795768,267543.0169195418,115880.427341367,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,142071.22939737912,120293.11600550936,193715.34808400166,228989.82754591876,110545.50294065647
MEC LV Superficial Pyramidal,25,4,21,28,7,26,5,22,29,8,23,3,18,25,5,40208.497579843555,3537.7630744291364,18555.545706879973,40447.90946639014,22204.595995639775,179149.20934609193,108925.34269811686,213562.19370884646,274243.0916046178,80611.72879370091,CA3 Granule,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,CA3 Granule,138940.71176624837,105387.57962368772,195006.64800196647,233795.18213822765,58407.13279806113
MEC LV VI Pyramidal Polymorphic,29,5,17,27,7,30,6,18,28,8,26,5,15,23,5,40488.51416037095,7304.268534463247,18069.961112617075,40016.47046874039,23436.512594413754,186888.72118820625,104850.97993283886,87837.09344190673,263438.29242545716,81843.6453924749,CA1 Radiatum Giant,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,CA3 Granule,146400.2070278353,97546.71139837561,69767.13232928966,223421.82195671674,58407.13279806113
SUB CA1 Projecting Pyramidal,28,5,16,24,7,29,6,17,25,8,26,6,14,21,5,41344.61351908587,24716.657711547203,18160.20056281097,39883.59684206606,23060.695354354684,183842.30517979272,70355.26060270997,88730.24368792752,178223.7225958067,81574.03671601613,CA3 Granule,MEC LIII Bipolar Complex Pyramidal,CA1 Radiatum Giant,CA1 Radiatum Giant,CA3 Granule,142497.69166070686,45638.602891162765,70570.04312511656,138340.12575374063,58513.34136166145
