method,seed,step,edge_type,sender,receiver,weight
greedy_tree_path,CA1 Pyramidal,13,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,CA1 Pyramidal,14,transition,DG Hilar Ectopic Granule,CA3 Pyramidal,0.0133035385226386
greedy_tree_path,CA1 Pyramidal,15,transition,CA3 Pyramidal,CA1 Radiatum Giant,303.66294985857763
greedy_tree_path,CA1 Radiatum Giant,2,self_connection,CA1 Pyramidal,CA1 Pyramidal,2793.7555172355333
greedy_tree_path,CA1 Radiatum Giant,3,self_connection,MEC LV VI Pyramidal Polymorphic,MEC LV VI Pyramidal Polymorphic,1336.06008642144
greedy_tree_path,CA1 Radiatum Giant,4,self_connection,EC LIV VI Deep Multipolar Principal,EC LIV VI Deep Multipolar Principal,1969.34413375272
greedy_tree_path,CA1 Radiatum Giant,5,self_connection,LEC LVI Multipolar Pyramidal,LEC LVI Multipolar Pyramidal,212.6675576452901
greedy_tree_path,CA1 Radiatum Giant,6,self_connection,LEC LIII Multipolar Principal,LEC LIII Multipolar Principal,496.4095848183002
greedy_tree_path,CA1 Radiatum Giant,7,self_connection,LEC LIII Complex Pyramidal,LEC LIII Complex Pyramidal,744.1845437655309
greedy_tree_path,CA1 Radiatum Giant,8,self_connection,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,360.1830629372671
greedy_tree_path,CA1 Radiatum Giant,9,self_connection,MEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,1453.7180710081302
greedy_tree_path,CA1 Radiatum Giant,12,self_connection,CA3c Pyramidal,CA3c Pyramidal,639.8640695461409
greedy_tree_path,CA1 Radiatum Giant,13,self_connection,CA2 Pyramidal,CA2 Pyramidal,2163.138288508038
greedy_tree_path,CA1 Radiatum Giant,14,self_connection,DG Mossy,DG Mossy,1751.260654032912
greedy_tree_path,CA1 Radiatum Giant,15,self_connection,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,0.9213810801264162
greedy_tree_path,CA1 Radiatum Giant,16,self_connection,CA3 Pyramidal,CA3 Pyramidal,3278.450765697168
greedy_tree_path,CA1 Radiatum Giant,1,transition,CA1 Radiatum Giant,CA1 Pyramidal,52.52606827667822
greedy_tree_path,CA1 Radiatum Giant,2,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
