rank_by_real,real,imag,abs,decay_time_constant
51,-1.0000492688519877,-3.6515797836350336e-05,1.0000492695186567,0.9999507335753124
52,-1.0000492688519877,3.6515797836350336e-05,1.0000492695186567,0.9999507335753124
53,-1.0000524616594495,-8.854227039090503e-05,1.0000524655791105,0.9999475410926318
54,-1.0000524616594495,8.854227039090503e-05,1.0000524655791105,0.9999475410926318
55,-1.0000731361673139,0.0,1.0000731361673139,0.9999268691811939
56,-1.0001213557115163,0.0002765361809822152,1.0001213939430056,0.9998786590139054
57,-1.0001213557115163,-0.0002765361809822152,1.0001213939430056,0.9998786590139054
58,-1.00019280450226,0.0015802482735348957,1.0001940528530961,0.9998072326641504
59,-1.00019280450226,-0.0015802482735348957,1.0001940528530961,0.9998072326641504
60,-1.0006428689983817,0.000389426037204618,1.000642944775983,0.9993575440166528
61,-1.0006428689983817,-0.000389426037204618,1.000642944775983,0.9993575440166528
62,-1.0008341208463227,-0.0007272410262999829,1.0008343850656523,0.9991665743314013
63,-1.0008341208463227,0.0007272410262999829,1.0008343850656523,0.9991665743314013
64,-1.0010342261471228,0.0,1.0010342261471228,0.9989668423715107
65,-1.0012452687226387,0.0,1.0012452687226387,0.9987562800429235
66,-1.0015599349319482,0.0,1.0015599349319482,0.998442494675015
67,-1.001924993777168,0.0,1.001924993777168,0.9980787047043204
68,-1.0033511000434097,0.0020953731155371456,1.0033532880031906,0.9966600923213572
69,-1.0033511000434097,-0.0020953731155371456,1.0033532880031906,0.9966600923213572
70,-1.0036295063067704,0.003928112997511584,1.0036371934126858,0.9963836193695356
71,-1.0036295063067704,-0.003928112997511584,1.0036371934126858,0.9963836193695356
72,-1.0037215433032667,0.013161049671447588,1.0038078250938003,0.9962922552294544
73,-1.0037215433032667,-0.013161049671447588,1.0038078250938003,0.9962922552294544
74,-1.0083095950601075,0.0,1.0083095950601075,0.9917588852661744
75,-1.0117918450071826,0.016600180837203094,1.0119280130655868,0.988345582082549
76,-1.0117918450071826,-0.016600180837203094,1.0119280130655868,0.988345582082549
77,-1.0195432492212837,0.0,1.0195432492212837,0.9808313681286099
78,-1.0426304872053838,-0.10592150613141926,1.0479969934648117,0.959112564107301
79,-1.0426304872053838,0.10592150613141926,1.0479969934648117,0.959112564107301
80,-1.0452191048732418,0.0,1.0452191048732418,0.9567372002076774
81,-1.0609647481214237,0.08636199672525927,1.0644738565294734,0.9425383847772796
82,-1.0609647481214237,-0.08636199672525927,1.0644738565294734,0.9425383847772796
83,-1.101534766608076,0.0,1.101534766608076,0.9078242741981454
84,-1.1817664589559123,0.0,1.1817664589559123,0.8461908801198313
