1151,DG Granule,DG Semilunar Granule,DG Mossy,DG AIPRIM,DG Axo Axonic,DG Basket,DG HICAP,DG HIPP,DG HIPROM,DG MOLAX,DG MOPP,DG Neurogliaform,DG Total Molecular Layer,CA3 Pyramidal,CA3c Pyramidal,CA3 Granule,CA3 Axo Axonic,CA3 Basket,CA3 LMR Targeting,CA3 Lucidum ORAX,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,CA3 Trilaminar,CA2 Basket,CA2 Wide Arbor Basket,CA2 Bistratified,CA2 SP SR,CA1 Pyramidal,CA1 Radiatum Giant,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Basket,CA1 Basket CCK+,CA1 Horizontal Basket,CA1 Ivy,CA1 LMR,CA1 Neurogliaform,CA1 Neurogliaform Projecting,CA1 Recurrent O LM,CA1 O LMR,CA1 Oriens Alveus,CA1 Oriens Bistratified,CA1 OR LM,CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,CA1 Radiatum,CA1 R Receiving Apical Targeting,CA1 Schaffer Collateral Associated,CA1 SO SO,CA1 Trilaminar,CA1 Radial Trilaminar,EC LI II Multipolar Pyramidal,EC LI II Pyramidal Fan,MEC LII III Pyramidal Multiform,MEC LII Oblique Pyramidal,MEC LII Stellate,EC LII III Pyramidal Tripolar,LEC LIII Multipolar Principal,EC LIII Pyramidal,LEC LIII Complex Pyramidal,MEC LIII Complex Pyramidal,MEC LIII Bipolar Complex Pyramidal,EC LIII Stellate,EC LIII V Bipolar Pyramidal,EC LIV VI Deep Multipolar Principal,EC LV Deep Pyramidal,MEC LV Multipolar Pyramidal,MEC LV Pyramidal,MEC LV Superficial Pyramidal,MEC LV VI Pyramidal Polymorphic,LEC LVI Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron
CA3 Spiny Lucidum,-598.6907983,-758.9987819,0,-300.8673248,-537.707866,-689.8718978,-396.4168161,0,-70.77830968,-411.3566062,-673.3246295,-250.6976545,-246.1158009,-471.9910301,-278.5529166,-54.83127441,-248.2556705,-254.3644038,-124.4571427,-459.4739318,-98.63605963,-387.6990947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-310.609146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Mossy Fiber Associated ORDEN,0,0,-44.50986956,-18.01965599,-8.877043565,-9.718445081,-10.35144037,-24.28758531,-26.71898328,-22.97037825,0,0,-18.93312299,-144.9645624,-149.2337836,0,-87.08670653,-81.71283984,-32.58919175,-56.55274499,-350.6777641,-132.0610758,0,0,-23.68286695,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA3 Trilaminar,0,0,0,0,0,0,0,0,0,0,0,0,0,-2136.473064,-1777.695478,-201.8507867,-1040.625325,-990.5080531,-401.3989688,-941.35884,-2320.313864,-2236.154941,-1080.898983,0,-171.0361928,0,0,-969.1136206,-313.6163273,-704.3595132,-317.0559049,-801.2179109,-999.3735315,-1205.381116,-1050.964334,-158.7025178,0,0,-533.4412237,-497.6728461,-833.3650759,-342.3900395,-528.7711222,-122.6980578,-1637.045385,-233.8953891,-354.3182666,-601.7736217,-611.5928072,-709.7553592,-1162.135946,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA2 Basket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5327.324146,-4425.022201,-8982.065676,-2453.760382,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA2 Wide Arbor Basket,0,0,0,0,0,0,0,0,0,0,0,0,0,-15248.68322,-12050.8236,0,-6434.414178,-5965.263939,0,0,0,-11098.20101,0,-5778.399772,-4827.875244,-9875.045781,-2735.036449,-3863.998119,-5490.969402,-3165.019439,0,-3320.059957,-11428.70911,-4067.732241,-4552.783056,0,0,0,0,0,0,0,-2350.132005,0,0,0,0,0,0,0,-4892.897857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA2 Bistratified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-701.2677084,-544.702408,-1392.306989,-317.24337,-11.39667447,-7.341343386,-6.865304196,-3.451405356,-13.24449342,-14.45453502,-32.37213636,-5.66983591,-2.634804802,0,0,-15.65555933,-5.183377198,-8.599398498,-4.72981463,-12.46588635,-2.700157144,-29.96979309,-4.749411118,-9.506003523,0,-16.85952644,-16.90605707,-12.43369949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA2 SP SR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-156.6722243,-106.0852023,-378.2645885,-101.4702474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Pyramidal,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,96170.58579,0,50979.62873,34139.20669,42387.40709,52663.47034,111130.9434,78455.60289,0,0,0,172923.8142,45331.42552,48773.83945,54313.14416,76314.98469,0,50774.80379,0,0,0,92632.40647,133386.2001,35009.97556,0,0,0,0,0,0,82548.25544,0,0,0,0,0,309145.2458,280911.9093,347496.0963,183361.2451,156562.7262,68085.2758,234917.3183,282246.3869,0
CA1 Radiatum Giant,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1808.126275,0,1022.707709,430.4094116,702.4871956,842.7368119,1168.90138,1110.750523,0,0,0,2623.701668,846.0242332,549.5984968,666.6998045,1217.970273,0,596.7808386,0,0,0,1478.028078,2390.546346,392.7735947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Axo Axonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-288.4969942,-25257.26217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Horizontal Axo Axonic,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-145.0420219,-16914.85888,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Basket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-6486.070905,-5897.135275,-3684.105879,0,-3937.416918,-12244.72984,-4629.172015,-4705.46469,0,0,0,0,0,0,0,-2633.577996,0,0,0,0,0,0,0,-5058.244394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Basket CCK+,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3609.064098,-4191.79469,-2652.374075,0,-2685.065619,-8908.811549,-3235.689969,-3693.971156,0,0,0,0,0,0,0,-1872.984363,0,0,0,0,0,0,0,-4055.257007,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Horizontal Basket,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2941.988765,-4464.09032,-2745.978179,0,-2902.329525,-9988.91611,-3478.561965,-4893.405686,0,0,0,0,0,0,0,-1981.976524,0,0,0,0,0,0,0,-5525.324154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Ivy,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-198.3027302,0,0,-1319.094372,-410.0397489,-988.8233425,-469.6637354,-1159.115877,-1365.561801,-1660.841787,-1533.389858,-227.8120531,0,0,-633.4016482,-687.9370463,-1161.075719,-473.4750614,-685.331667,-165.1833972,-2052.308601,-273.0193758,-448.9042364,-569.3715301,-777.7708167,-844.7123803,-1679.646855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 LMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-162.25475,-228.1051864,-118.969554,0,-120.7203895,-147.633337,0,-78.1434659,-204.8738645,-78.78266554,-79.92915441,0,0,-134.2605777,0,-90.20864494,-113.4400001,-313.8827613,-112.4405205,-155.5140632,-291.7967002,0,0,-179.985205,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Neurogliaform,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-498.7138342,-678.0620351,-416.7982948,0,-338.9754617,-486.2117792,0,0,-661.6301293,-841.0328369,-967.0348573,0,0,-429.8353025,0,0,-372.3887003,-759.6526149,0,0,-991.2138351,0,0,-539.1641101,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Neurogliaform Projecting,-34.78227829,-37.1852773,0,-17.24014423,-25.946011,-19.07069952,-17.44243466,0,0,-36.06490635,-25.39607685,-20.96544693,-19.66967276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.25878288,-48.36111875,-31.38250077,0,-23.96606684,-35.86428952,0,0,-46.10614966,-63.80739579,-69.36186631,0,0,-30.71062941,0,0,-26.90824773,-54.343068,0,0,-63.75956616,0,0,-34.79683362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Recurrent O LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-176.7963513,-135.3720547,-133.1333652,-32.39290948,-130.0767926,-158.9363081,-112.316614,-37.8707612,-149.6685929,-173.2930446,-181.3731278,-49.04534594,-51.93288551,-148.9304233,-33.3172035,-24.01259685,-75.22675808,-188.7743545,0,0,-153.1458371,-60.10022737,-66.647624,-165.0617562,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 O LMR,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-363.7497948,-550.760796,-269.238096,0,-254.4494014,-339.6557173,0,-90.99277263,-413.1850402,-227.7021322,-235.2231049,0,0,-288.6902196,0,-197.0286903,-269.7636303,-886.6163946,-199.1876696,-316.1295738,-786.8639431,0,0,-370.6145855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Oriens Alveus,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-66.54118426,0,0,-377.0064704,0,-297.6269224,-191.1229562,-346.2197249,-410.2988887,-827.7800344,-482.0486427,0,0,0,-329.9403088,-289.3599744,-338.1967985,-204.9978544,-141.730215,0,-407.4760713,0,0,0,-401.6285628,-422.9570484,-440.7733165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Oriens Bistratified,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-227.9112319,-189.7314381,-140.1064506,-35.1786164,-185.1820716,-189.0889747,-187.3989169,-138.1398737,-114.5641333,0,0,-118.9602084,-59.36646573,-171.5553634,-42.30684624,-190.6166263,-82.23968589,-447.0003148,-128.3691444,-220.5113778,-294.7570287,-131.2496287,-143.1136506,-195.3106546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 OR LM,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-228.0095751,-325.7455203,-200.4504151,0,-146.4235324,-226.1537969,0,0,-304.4610634,-354.9286484,-390.1575252,0,0,-197.3118682,0,0,-188.815701,-382.3909762,0,0,-365.3103987,0,0,-242.8571163,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Perforant Path Associated,-410.1623955,-425.6154274,0,-173.0032605,-321.1879151,-302.9150239,-187.3308473,0,0,-235.4898376,-476.0878666,-300.6638341,-165.0215454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-685.5232628,-860.1806414,-603.8136113,0,-497.7785786,-685.0015288,0,0,-946.6298508,-1230.775373,-1228.24523,0,0,-608.0269932,0,0,-469.1268062,-801.9042632,0,0,-948.2328836,0,0,-553.411284,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Perforant Path Associated QuadD,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-41.5473279,-51.98031024,-34.88648646,0,-29.97886329,-39.87046042,0,0,-57.32426433,-69.668196,-71.90973046,0,0,-36.75600001,0,0,-28.47840173,-47.70372486,0,0,-56.07772036,0,0,-35.02076964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 Radiatum,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-53.54274288,-92.04617872,-46.49493507,0,-55.40466012,-60.22073793,0,-49.41774056,-79.28456652,0,0,0,0,-55.27097398,0,-52.51985281,-44.05437391,-127.6348814,-69.40554762,-95.85726641,-187.914491,0,0,-65.74362196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
CA1 R Receiving Apical Targeting,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-404.5567742,-501.1680042,-287.6613762,0,-293.7216113,-346.6326679,0,-158.8387052,-514.5635425,-196.082512,-182.1592344,0,0,-335.3059984,0,-162.5291355,-258.7916192,-533.8510166,-205.6718949,-321.3514595,-776.8062131,0,0,-334.4196654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
