sender,receiver,inhibitory_weight,baseline_terminal_peak,ablated_terminal_peak,delta_terminal_peak
CA1 Neurogliaform Projecting,DG Total Molecular Layer,6.112762354520286e-05,1.8954834973241436e-05,1.895483497327266e-05,3.122502256758253e-17
CA2 Bistratified,CA1 Schaffer Collateral Associated,8.827977943209238e-06,1.8954834973241436e-05,1.8954834973270926e-05,2.949029909160572e-17
CA3 Mossy Fiber Associated ORDEN,DG HIPROM,3.562462100191544e-05,1.8954834973241436e-05,1.8954834973265722e-05,2.42861286636753e-17
CA3 Mossy Fiber Associated ORDEN,DG Basket,3.708282215735177e-05,1.8954834973241436e-05,1.8954834973260518e-05,1.9081958235744878e-17
CA3 Spiny Lucidum,CA3 Granule,0.0001393591382395009,1.8954834973241436e-05,1.8954834973258783e-05,1.734723475976807e-17
CA3 Lucidum ORAX,CA3 Spiny Lucidum,5.595787686924555e-06,1.8954834973241436e-05,1.8954834973258783e-05,1.734723475976807e-17
CA3 Lucidum ORAX,CA3 Trilaminar,1.6011756213587532e-06,1.8954834973241436e-05,1.895483497325011e-05,8.673617379884035e-18
DG MOPP,DG Basket,0.00034262526848304997,1.8954834973241436e-05,1.895483497324664e-05,5.204170427930421e-18
DG Neurogliaform,DG HICAP,0.00016324031134503587,1.8954834973241436e-05,1.895483497324317e-05,1.734723475976807e-18
CA3 Spiny Lucidum,DG Axo Axonic,0.0035399183580364486,1.8954834973241436e-05,1.8954834973241436e-05,0.0
CA1 Neurogliaform Projecting,DG Basket,7.276836498036927e-05,1.8954834973241436e-05,1.89548349732397e-05,-1.734723475976807e-18
CA1 Schaffer Collateral Associated,CA1 Oriens Bistratified,0.0001238769415171302,1.8954834973241436e-05,1.8954834973234497e-05,-6.938893903907228e-18
CA1 Neurogliaform Projecting,CA1 Schaffer Collateral Associated,4.194167153392967e-05,1.8954834973241436e-05,1.8954834973232762e-05,-8.673617379884035e-18
DG HIPROM,CA3 Lucidum ORAX,3.384605183780777e-05,1.8954834973241436e-05,1.8954834973232762e-05,-8.673617379884035e-18
DG MOPP,DG HICAP,0.0007296871773701321,1.8954834973241436e-05,1.8954834973211945e-05,-2.949029909160572e-17
CA3 Trilaminar,CA1 Oriens Bistratified,0.0002590043238558432,1.8954834973241436e-05,1.8954834973201537e-05,-3.9898639947466563e-17
CA1 Neurogliaform Projecting,DG Neurogliaform,1.0386189822752376e-05,1.8954834973241436e-05,1.895483497318072e-05,-6.071532165918825e-17
DG HIPROM,DG Hilar Ectopic Granule,1.83799532758244e-05,1.8954834973241436e-05,1.895483497315817e-05,-8.326672684688674e-17
CA1 Perforant Path Associated,DG MOPP,0.00027622106855484675,1.8954834973241436e-05,1.895483497315123e-05,-9.020562075079397e-17
DG HIPROM,CA3 Granule,5.602674119634337e-07,1.8954834973241436e-05,1.895483497314776e-05,-9.367506770274758e-17
CA3 Trilaminar,CA3 Lucidum ORAX,0.01219024289211027,1.8954834973241436e-05,1.895483497314776e-05,-9.367506770274758e-17
CA3 Trilaminar,CA1 Radiatum Giant,2.397271355512763e-05,1.8954834973241436e-05,1.895483497314429e-05,-9.71445146547012e-17
DG MOPP,DG Axo Axonic,0.0009913173387646945,1.8954834973241436e-05,1.895483497312868e-05,-1.1275702593849246e-16
CA2 Bistratified,CA1 Ivy,1.0373183070782984e-05,1.8954834973241436e-05,1.8954834973102658e-05,-1.3877787807814457e-16
CA2 Bistratified,CA1 Radial Trilaminar,6.480044428636286e-05,1.8954834973241436e-05,1.8954834973102658e-05,-1.3877787807814457e-16
DG Neurogliaform,DG Total Molecular Layer,4.874497284065446e-05,1.8954834973241436e-05,1.8954834973102658e-05,-1.3877787807814457e-16
DG HICAP,DG Hilar Ectopic Granule,0.00013021601689333114,1.8954834973241436e-05,1.8954834973099188e-05,-1.4224732503009818e-16
CA3 Mossy Fiber Associated ORDEN,DG Total Molecular Layer,5.8838641029249296e-05,1.8954834973241436e-05,1.8954834973090515e-05,-1.5092094240998222e-16
CA3 Mossy Fiber Associated ORDEN,DG HIPP,1.3273849665582475e-05,1.8954834973241436e-05,1.895483497307837e-05,-1.6306400674181987e-16
CA1 Neurogliaform Projecting,CA1 Oriens Alveus,0.00019934583839506618,1.8954834973241436e-05,1.8954834973064494e-05,-1.7694179454963432e-16
CA3 Mossy Fiber Associated,DG HIPROM,0.0008769979908825089,1.8954834973241436e-05,1.8954834973047147e-05,-1.942890293094024e-16
CA1 Neurogliaform Projecting,CA1 Radial Trilaminar,0.00018134990966511675,1.8954834973241436e-05,1.8954834973043677e-05,-1.97758476261356e-16
CA3 Lucidum ORAX,CA3 Mossy Fiber Associated ORDEN,4.478413478272979e-05,1.8954834973241436e-05,1.8954834973038473e-05,-2.0296264668928643e-16
CA1 Radiatum,CA1 Radiatum Giant,7.035975121273674e-06,1.8954834973241436e-05,1.8954834973028065e-05,-2.1337098754514727e-16
CA3 Trilaminar,CA1 Axo Axonic,0.002236312848643542,1.8954834973241436e-05,1.895483497302633e-05,-2.1510571102112408e-16
DG Neurogliaform,DG Hilar Ectopic Granule,5.884384869600565e-05,1.8954834973241436e-05,1.8954834973024595e-05,-2.1684043449710089e-16
CA2 Bistratified,CA1 Horizontal Axo Axonic,4.8738262672053196e-05,1.8954834973241436e-05,1.8954834973010717e-05,-2.3071822230491534e-16
CA3 Mossy Fiber Associated,CA3 Granule,7.023076059787762e-05,1.8954834973241436e-05,1.895483497299337e-05,-2.480654570646834e-16
CA2 SP SR,CA2 Bistratified,0.0015100270054353676,1.8954834973241436e-05,1.8954834972991635e-05,-2.498001805406602e-16
CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,2.5813769690959048e-05,1.8954834973241436e-05,1.8954834972976023e-05,-2.654126918244515e-16
CA3 Lucidum ORAX,CA2 Wide Arbor Basket,2.194008259759889e-06,1.8954834973241436e-05,1.8954834972969084e-05,-2.723515857283587e-16
CA3 Lucidum ORAX,CA3 Granule,1.5530303784073802e-06,1.8954834973241436e-05,1.895483497296735e-05,-2.740863092043355e-16
DG MOPP,DG MOLAX,0.0003703366379155932,1.8954834973241436e-05,1.8954834972944798e-05,-2.96637714392034e-16
CA3 Mossy Fiber Associated ORDEN,CA3 Axo Axonic,0.00042156570320835563,1.8954834973241436e-05,1.8954834972915308e-05,-3.2612801348363973e-16
CA3 Spiny Lucidum,DG Neurogliaform,6.922315350857274e-05,1.8954834973241436e-05,1.8954834972910103e-05,-3.3133218391157016e-16
CA3 Trilaminar,CA1 Ivy,0.0019227797080966726,1.8954834973241436e-05,1.8954834972903165e-05,-3.382710778154774e-16
DG HIPROM,DG Neurogliaform,1.2703290579191275e-06,1.8954834973241436e-05,1.8954834972896226e-05,-3.452099717193846e-16
CA3 Spiny Lucidum,DG Hilar Ectopic Granule,0.00037323725087552733,1.8954834973241436e-05,1.8954834972856327e-05,-3.8510861166685117e-16
CA1 Radiatum,CA1 Ivy,9.041165879320281e-05,1.8954834973241436e-05,1.895483497284245e-05,-3.9898639947466563e-16
CA3 Trilaminar,CA1 Radiatum,0.0010489917084652053,1.8954834973241436e-05,1.8954834972826837e-05,-4.145989107584569e-16
CA3 Trilaminar,CA3 Axo Axonic,0.00503741574715498,1.8954834973241436e-05,1.895483497280602e-05,-4.354155924701786e-16
CA1 Schaffer Collateral Associated,CA1 Radiatum Giant,7.101606421904496e-05,1.8954834973241436e-05,1.895483497280602e-05,-4.354155924701786e-16
CA1 Neurogliaform Projecting,DG Hilar Ectopic Granule,4.194994721495509e-05,1.8954834973241436e-05,1.895483497279561e-05,-4.458239333260394e-16
CA3 Trilaminar,CA1 Schaffer Collateral Associated,0.00042275853280073774,1.8954834973241436e-05,1.895483497278e-05,-4.614364446098307e-16
CA2 Bistratified,CA1 Oriens Alveus,5.581957571226182e-05,1.8954834973241436e-05,1.8954834972741835e-05,-4.996003610813204e-16
CA3 Trilaminar,CA1 Recurrent O LM,0.0007243875637462539,1.8954834973241436e-05,1.8954834972741835e-05,-4.996003610813204e-16
CA1 Radiatum,CA1 Quadrilaminar,0.0002274109524345296,1.8954834973241436e-05,1.8954834972693263e-05,-5.48172618408671e-16
CA3 LMR Targeting,CA3 Lucidum ORAX,0.006036061335264538,1.8954834973241436e-05,1.8954834972656834e-05,-5.84601811404184e-16
CA3 Trilaminar,CA1 Radial Trilaminar,0.006056678923653744,1.8954834973241436e-05,1.895483497252673e-05,-7.147060721024445e-16
DG MOPP,DG Neurogliaform,5.9391448407983976e-05,1.8954834973241436e-05,1.895483497249377e-05,-7.476658181460039e-16
CA3 Lucidum ORAX,CA3 O LM,2.4064620172418e-05,1.8954834973241436e-05,1.8954834972429585e-05,-8.118505867571457e-16
CA1 Schaffer Collateral Associated,CA1 Quadrilaminar,0.005391871677094108,1.8954834973241436e-05,1.8954834972412238e-05,-8.291978215169138e-16
CA1 LMR,CA1 Neurogliaform Projecting,7.635523620244376e-05,1.8954834973241436e-05,1.895483497239142e-05,-8.500145032286355e-16
CA3 Mossy Fiber Associated ORDEN,DG MOLAX,7.138525646827561e-05,1.8954834973241436e-05,1.8954834972322032e-05,-9.194034422677078e-16
DG MOPP,DG Semilunar Granule,2.1790766682875626e-05,1.8954834973241436e-05,1.8954834972198867e-05,-1.042568809062061e-15
CA3 Trilaminar,CA1 O LM,0.0008451896557768528,1.8954834973241436e-05,1.8954834972110396e-05,-1.1310397063368782e-15
DG Axo Axonic,DG Hilar Ectopic Granule,0.00029624985012271094,1.8954834973241436e-05,1.8954834972032333e-05,-1.2091022627558345e-15
CA3 Mossy Fiber Associated ORDEN,CA3 Spiny Lucidum,0.00019974038478606158,1.8954834973241436e-05,1.8954834972004578e-05,-1.2368578383714635e-15
CA1 Quadrilaminar,CA1 Horizontal Axo Axonic,1.6988483579009173e-05,1.8954834973241436e-05,1.895483497199764e-05,-1.2437967322753707e-15
CA1 Schaffer Collateral Associated,CA1 Recurrent O LM,0.000540237779181965,1.8954834973241436e-05,1.8954834971985496e-05,-1.2559397966072083e-15
CA1 Perforant Path Associated,DG HICAP,0.001825420453669534,1.8954834973241436e-05,1.895483497198029e-05,-1.2611439670351388e-15
CA3 Trilaminar,CA3 Spiny Lucidum,0.0010301914101757744,1.8954834973241436e-05,1.8954834971969883e-05,-1.2715523078909996e-15
CA1 Neurogliaform Projecting,CA1 Basket,0.0001667781703435852,1.8954834973241436e-05,1.89548349719508e-05,-1.2906342661267445e-15
CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,0.0019526997805293367,1.8954834973241436e-05,1.895483497189182e-05,-1.349614864309956e-15
CA2 Bistratified,CA1 SO SO,0.00011728904511475061,1.8954834973241436e-05,1.8954834971881412e-05,-1.3600232051658168e-15
CA3 Mossy Fiber Associated ORDEN,CA3 LMR Targeting,9.271540756715319e-05,1.8954834973241436e-05,1.8954834971818962e-05,-1.4224732503009818e-15
MEC LIII Superficial Trilayered Interneuron,MEC LV Superficial Pyramidal,0.0012712968420112477,1.8954834973241436e-05,1.8954834971786003e-05,-1.4554329963445412e-15
CA3 Trilaminar,CA3 Horizontal Axo Axonic,0.0025676979240438986,1.8954834973241436e-05,1.8954834971664572e-05,-1.5768636396629176e-15
CA1 LMR,CA1 Quadrilaminar,0.0006171691239225948,1.8954834973241436e-05,1.8954834971633347e-05,-1.6080886622305002e-15
CA3 O LM,CA3 Lucidum ORAX,0.005382716444636912,1.8954834973241436e-05,1.8954834971522325e-05,-1.7191109646930158e-15
CA1 LMR,CA1 Ivy,0.00014296647916944383,1.8954834973241436e-05,1.8954834971506712e-05,-1.734723475976807e-15
CA3 Mossy Fiber Associated ORDEN,DG AIPRIM,0.00018824681168783756,1.8954834973241436e-05,1.895483497148416e-05,-1.7572748811645056e-15
CA3 Trilaminar,CA1 LMR,0.002752116169711196,1.8954834973241436e-05,1.8954834971478957e-05,-1.762479051592436e-15
CA1 LMR,CA1 Radiatum Giant,1.7436274257296568e-05,1.8954834973241436e-05,1.8954834971419976e-05,-1.8214596497756474e-15
CA3 Trilaminar,CA3 LMR Targeting,0.0011419696835130964,1.8954834973241436e-05,1.8954834971376608e-05,-1.8648277366750676e-15
CA1 Perforant Path Associated,CA1 Quadrilaminar,0.002176344321547904,1.8954834973241436e-05,1.895483497126385e-05,-1.97758476261356e-15
CA1 Schaffer Collateral Associated,CA1 Ivy,0.003029083136328775,1.8954834973241436e-05,1.8954834971217013e-05,-2.024422296464934e-15
CA1 R Receiving Apical Targeting,CA1 Neurogliaform Projecting,0.00017401424390282847,1.8954834973241436e-05,1.895483497110252e-05,-2.138914045879403e-15
