sender,receiver,inhibitory_weight,backbone_distance,abs_backbone_distance,direction_class,long_range
CA3 Mossy Fiber Associated,DG AIPRIM,0.004396072037980925,7,7,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,DG AIPRIM,0.00018824681168783756,6,6,feedforward inhibition,False
CA3 Spiny Lucidum,DG AIPRIM,0.0016428153123287164,3,3,feedforward inhibition,False
DG HICAP,DG AIPRIM,0.0007384060883556619,-4,4,feedback inhibition,False
DG HIPP,DG AIPRIM,0.023447553146199458,-5,5,feedback inhibition,False
DG HIPROM,DG AIPRIM,0.00017172328793128145,-6,6,feedback inhibition,False
DG MOLAX,DG AIPRIM,0.0198389588683543,-8,8,feedback inhibition,False
DG MOPP,DG AIPRIM,0.0007998332793908621,-9,9,feedback inhibition,False
DG Neurogliaform,DG AIPRIM,0.00017221151424765503,-11,11,feedback inhibition,False
DG Total Molecular Layer,DG AIPRIM,0.048746584150988204,-13,13,feedback inhibition,False
CA1 Back Projection,DG Axo Axonic,0.008354278325916285,47,47,feedforward inhibition,True
CA1 Neurogliaform Projecting,DG Axo Axonic,0.0002933663191987238,38,38,feedforward inhibition,False
CA1 Perforant Path Associated,DG Axo Axonic,0.0036316070473871053,32,32,feedforward inhibition,False
CA3 Mossy Fiber Associated,DG Axo Axonic,0.002974123695865345,8,8,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,DG Axo Axonic,0.00010037094317553425,7,7,feedforward inhibition,False
CA3 Spiny Lucidum,DG Axo Axonic,0.0035399183580364486,4,4,feedforward inhibition,False
DG AIPRIM,DG Axo Axonic,0.08735344167109715,1,1,feedforward inhibition,False
DG Basket,DG Axo Axonic,0.032744359381925846,-1,1,feedback inhibition,False
DG HICAP,DG Axo Axonic,0.0007612741147770873,-3,3,feedback inhibition,False
DG HIPP,DG Axo Axonic,0.03617197736467615,-4,4,feedback inhibition,False
DG HIPROM,DG Axo Axonic,0.00013713562800621252,-5,5,feedback inhibition,False
DG MOLAX,DG Axo Axonic,0.023009862032732867,-7,7,feedback inhibition,False
DG MOPP,DG Axo Axonic,0.0009913173387646945,-8,8,feedback inhibition,False
DG Neurogliaform,DG Axo Axonic,0.00044661548909555646,-10,10,feedback inhibition,False
DG Total Molecular Layer,DG Axo Axonic,0.0395383538289833,-12,12,feedback inhibition,False
CA1 Back Projection,DG Basket,0.003215310408812793,48,48,feedforward inhibition,True
CA1 Neurogliaform Projecting,DG Basket,7.276836498036927e-05,39,39,feedforward inhibition,False
CA1 Perforant Path Associated,DG Basket,0.0011558375715135431,33,33,feedforward inhibition,False
CA3 Mossy Fiber Associated,DG Basket,0.0011251336261651626,9,9,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,DG Basket,3.708282215735177e-05,8,8,feedforward inhibition,False
CA3 Spiny Lucidum,DG Basket,0.0011371615914608805,5,5,feedforward inhibition,False
DG AIPRIM,DG Basket,0.034041167147512284,2,2,feedforward inhibition,False
DG HICAP,DG Basket,0.00028590908518342384,-2,2,feedback inhibition,False
DG HIPP,DG Basket,0.012574511155260034,-3,3,feedback inhibition,False
DG HIPROM,DG Basket,5.2286001409943174e-05,-4,4,feedback inhibition,False
DG MOLAX,DG Basket,0.008084288264923445,-6,6,feedback inhibition,False
DG MOPP,DG Basket,0.00034262526848304997,-7,7,feedback inhibition,False
DG Neurogliaform,DG Basket,7.308415868076703e-05,-9,9,feedback inhibition,False
DG Total Molecular Layer,DG Basket,0.013570525539235209,-11,11,feedback inhibition,False
CA1 Neurogliaform Projecting,DG Granule,6.484139568239367e-05,40,40,feedforward inhibition,False
CA1 Perforant Path Associated,DG Granule,0.0007646279510156749,34,34,feedforward inhibition,False
CA3 Spiny Lucidum,DG Granule,0.0007005627173853376,6,6,feedforward inhibition,False
DG AIPRIM,DG Granule,0.009691471383191092,3,3,feedforward inhibition,False
DG Axo Axonic,DG Granule,0.0005412779004446399,2,2,feedforward inhibition,False
DG Basket,DG Granule,0.009912931697893262,1,1,feedforward inhibition,False
DG HICAP,DG Granule,0.000234815888104879,-1,1,feedback inhibition,False
DG HIPP,DG Granule,0.00842615543474596,-2,2,feedback inhibition,False
DG HIPROM,DG Granule,1.3418362888104773e-05,-3,3,feedback inhibition,False
DG MOLAX,DG Granule,0.006431129743111442,-5,5,feedback inhibition,False
DG MOPP,DG Granule,0.00026327330498404964,-6,6,feedback inhibition,False
DG Neurogliaform,DG Granule,9.079953852182465e-05,-8,8,feedback inhibition,False
DG Total Molecular Layer,DG Granule,0.007621759070775323,-10,10,feedback inhibition,False
CA1 Back Projection,DG HICAP,0.00783296014773162,50,50,feedforward inhibition,True
CA1 Neurogliaform Projecting,DG HICAP,0.0001699654778384124,41,41,feedforward inhibition,False
CA1 Perforant Path Associated,DG HICAP,0.001825420453669534,35,35,feedforward inhibition,False
CA3 Mossy Fiber Associated,DG HICAP,0.0029199970986711213,11,11,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,DG HICAP,0.00010086822984919375,10,10,feedforward inhibition,False
CA3 Spiny Lucidum,DG HICAP,0.001567695965873146,7,7,feedforward inhibition,False
DG AIPRIM,DG HICAP,0.08752995038652836,4,4,feedforward inhibition,False
DG Basket,DG HICAP,0.03678145512280408,2,2,feedforward inhibition,False
DG HIPP,DG HICAP,0.023158557271640578,-1,1,feedback inhibition,False
DG HIPROM,DG HICAP,0.0001306336467470376,-2,2,feedback inhibition,False
DG MOLAX,DG HICAP,0.01971966532041915,-4,4,feedback inhibition,False
DG MOPP,DG HICAP,0.0007296871773701321,-5,5,feedback inhibition,False
DG Neurogliaform,DG HICAP,0.00016324031134503587,-7,7,feedback inhibition,False
DG Total Molecular Layer,DG HICAP,0.038400215814986816,-9,9,feedback inhibition,False
CA1 Back Projection,DG HIPP,0.0008336566108424113,51,51,feedforward inhibition,True
CA3 Mossy Fiber Associated,DG HIPP,0.0002878580374863645,12,12,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,DG HIPP,1.3273849665582475e-05,11,11,feedforward inhibition,False
DG AIPRIM,DG HIPP,0.0025400393059684524,5,5,feedforward inhibition,False
DG Basket,DG HIPP,0.002184199792137038,3,3,feedforward inhibition,False
DG HIPROM,DG HIPP,3.5419165149930715e-06,-1,1,feedback inhibition,False
DG Total Molecular Layer,DG HIPP,0.001365242634673486,-8,8,feedback inhibition,False
CA1 Back Projection,DG HIPROM,0.0024545936986770595,52,52,feedforward inhibition,True
CA3 Mossy Fiber Associated,DG HIPROM,0.0008769979908825089,13,13,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,DG HIPROM,3.562462100191544e-05,12,12,feedforward inhibition,False
CA3 Spiny Lucidum,DG HIPROM,4.5433679531589036e-05,9,9,feedforward inhibition,False
DG AIPRIM,DG HIPROM,0.028572402747045658,6,6,feedforward inhibition,False
DG HICAP,DG HIPROM,0.00026453559218406913,2,2,feedforward inhibition,False
DG MOLAX,DG HIPROM,0.0022100730150684403,-2,2,feedback inhibition,False
DG Total Molecular Layer,DG HIPROM,0.008600822070949761,-7,7,feedback inhibition,False
CA1 Back Projection,DG Hilar Ectopic Granule,0.0018970747036282075,53,53,feedforward inhibition,True
CA1 Neurogliaform Projecting,DG Hilar Ectopic Granule,4.194994721495509e-05,44,44,feedforward inhibition,True
CA1 Perforant Path Associated,DG Hilar Ectopic Granule,0.00040358191740262394,38,38,feedforward inhibition,False
CA3 Mossy Fiber Associated,DG Hilar Ectopic Granule,0.000627117251596981,14,14,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,DG Hilar Ectopic Granule,3.203279434550701e-05,13,13,feedforward inhibition,False
CA3 Spiny Lucidum,DG Hilar Ectopic Granule,0.00037323725087552733,10,10,feedforward inhibition,False
DG AIPRIM,DG Hilar Ectopic Granule,0.013209150509744826,7,7,feedforward inhibition,False
DG Axo Axonic,DG Hilar Ectopic Granule,0.00029624985012271094,6,6,feedforward inhibition,False
DG HICAP,DG Hilar Ectopic Granule,0.00013021601689333114,3,3,feedforward inhibition,False
DG HIPP,DG Hilar Ectopic Granule,0.00431400042346183,2,2,feedforward inhibition,False
DG HIPROM,DG Hilar Ectopic Granule,1.83799532758244e-05,1,1,feedforward inhibition,False
DG MOLAX,DG Hilar Ectopic Granule,0.003558536684145546,-1,1,feedback inhibition,False
DG MOPP,DG Hilar Ectopic Granule,0.00014069774314938075,-2,2,feedback inhibition,False
DG Neurogliaform,DG Hilar Ectopic Granule,5.884384869600565e-05,-4,4,feedback inhibition,False
DG Total Molecular Layer,DG Hilar Ectopic Granule,0.00903042436406623,-6,6,feedback inhibition,False
CA1 Back Projection,DG MOLAX,0.004650690224292209,54,54,feedforward inhibition,True
CA1 Neurogliaform Projecting,DG MOLAX,0.0001120792422676504,45,45,feedforward inhibition,True
CA1 Perforant Path Associated,DG MOLAX,0.0007318339414288177,39,39,feedforward inhibition,False
CA3 Mossy Fiber Associated,DG MOLAX,0.0015757870084617826,15,15,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,DG MOLAX,7.138525646827561e-05,14,14,feedforward inhibition,False
CA3 Spiny Lucidum,DG MOLAX,0.0006626686175898262,11,11,feedforward inhibition,False
DG AIPRIM,DG MOLAX,0.037800398105999646,8,8,feedforward inhibition,False
DG Basket,DG MOLAX,0.01551641938079995,6,6,feedforward inhibition,False
DG HICAP,DG MOLAX,0.0004894885389406532,4,4,feedforward inhibition,False
DG HIPP,DG MOLAX,0.009766372176494703,3,3,feedforward inhibition,False
DG HIPROM,DG MOLAX,5.211615525736328e-05,2,2,feedforward inhibition,False
DG MOPP,DG MOLAX,0.0003703366379155932,-1,1,feedback inhibition,False
DG Neurogliaform,DG MOLAX,0.00013167378283395587,-3,3,feedback inhibition,False
DG Total Molecular Layer,DG MOLAX,0.023160260872114778,-5,5,feedback inhibition,False
CA1 Neurogliaform Projecting,DG MOPP,1.4734531115655045e-05,46,46,feedforward inhibition,True
CA1 Perforant Path Associated,DG MOPP,0.00027622106855484675,40,40,feedforward inhibition,False
CA3 Spiny Lucidum,DG MOPP,0.00015578498823578358,12,12,feedforward inhibition,False
DG HIPP,DG MOPP,0.0030541727089163336,4,4,feedforward inhibition,False
DG HIPROM,DG MOPP,2.0481794860384596e-06,3,3,feedforward inhibition,False
DG MOLAX,DG MOPP,0.0010419828102722995,1,1,feedforward inhibition,False
DG Neurogliaform,DG MOPP,7.309632158290131e-06,-2,2,feedback inhibition,False
DG Total Molecular Layer,DG MOPP,0.0010267378042831986,-4,4,feedback inhibition,False
CA1 Back Projection,DG Mossy,0.002895901840560121,56,56,feedforward inhibition,True
CA3 Mossy Fiber Associated,DG Mossy,0.0009856352096643116,17,17,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,DG Mossy,5.391650858551417e-05,16,16,feedforward inhibition,False
DG AIPRIM,DG Mossy,0.010053583499000434,10,10,feedforward inhibition,False
DG Axo Axonic,DG Mossy,0.00037265174646698885,9,9,feedforward inhibition,False
DG HIPROM,DG Mossy,1.3167317652792805e-05,4,4,feedforward inhibition,False
DG Total Molecular Layer,DG Mossy,0.0060904164035982125,-3,3,feedback inhibition,False
CA1 Neurogliaform Projecting,DG Neurogliaform,1.0386189822752376e-05,48,48,feedforward inhibition,True
CA1 Perforant Path Associated,DG Neurogliaform,0.00014894753567683578,42,42,feedforward inhibition,True
CA3 Spiny Lucidum,DG Neurogliaform,6.922315350857274e-05,14,14,feedforward inhibition,False
DG HIPP,DG Neurogliaform,0.0019282933341824558,6,6,feedforward inhibition,False
DG HIPROM,DG Neurogliaform,1.2703290579191275e-06,5,5,feedforward inhibition,False
DG MOLAX,DG Neurogliaform,0.0006643024306536066,3,3,feedforward inhibition,False
DG MOPP,DG Neurogliaform,5.9391448407983976e-05,2,2,feedforward inhibition,False
DG Total Molecular Layer,DG Neurogliaform,0.0006964770098007778,-2,2,feedback inhibition,False
CA1 Neurogliaform Projecting,DG Semilunar Granule,6.228490967602895e-06,49,49,feedforward inhibition,True
CA1 Perforant Path Associated,DG Semilunar Granule,7.129009214227733e-05,43,43,feedforward inhibition,True
CA3 Spiny Lucidum,DG Semilunar Granule,6.664452809514978e-05,15,15,feedforward inhibition,False
DG AIPRIM,DG Semilunar Granule,0.0007071282417293697,12,12,feedforward inhibition,False
DG HICAP,DG Semilunar Granule,1.7254066352662776e-05,8,8,feedforward inhibition,False
DG HIPP,DG Semilunar Granule,0.0007406394902875748,7,7,feedforward inhibition,False
DG HIPROM,DG Semilunar Granule,1.1865470465882542e-06,6,6,feedforward inhibition,False
DG MOLAX,DG Semilunar Granule,0.000530196738233898,4,4,feedforward inhibition,False
DG MOPP,DG Semilunar Granule,2.1790766682875626e-05,3,3,feedforward inhibition,False
DG Neurogliaform,DG Semilunar Granule,8.759248220773654e-06,1,1,feedforward inhibition,False
DG Total Molecular Layer,DG Semilunar Granule,0.0006548987802991915,-1,1,feedback inhibition,False
CA1 Back Projection,DG Total Molecular Layer,0.004340455854868522,59,59,feedforward inhibition,True
CA1 Neurogliaform Projecting,DG Total Molecular Layer,6.112762354520286e-05,50,50,feedforward inhibition,True
CA1 Perforant Path Associated,DG Total Molecular Layer,0.0005128389796244755,44,44,feedforward inhibition,True
CA3 Mossy Fiber Associated,DG Total Molecular Layer,0.001550867186819029,20,20,feedforward inhibition,False
CA3 Mossy Fiber Associated ORDEN,DG Total Molecular Layer,5.8838641029249296e-05,19,19,feedforward inhibition,False
CA3 Spiny Lucidum,DG Total Molecular Layer,0.0004309484830118011,16,16,feedforward inhibition,False
DG AIPRIM,DG Total Molecular Layer,0.028115592847653408,13,13,feedforward inhibition,False
DG Basket,DG Total Molecular Layer,0.016842498286785523,11,11,feedforward inhibition,False
DG HICAP,DG Total Molecular Layer,0.0002680918357153617,9,9,feedforward inhibition,False
DG HIPP,DG Total Molecular Layer,0.00750808254908129,8,8,feedforward inhibition,False
DG HIPROM,DG Total Molecular Layer,4.038423920669905e-05,7,7,feedforward inhibition,False
DG MOLAX,DG Total Molecular Layer,0.006201576829558709,5,5,feedforward inhibition,False
DG MOPP,DG Total Molecular Layer,0.0002808881976817557,4,4,feedforward inhibition,False
DG Neurogliaform,DG Total Molecular Layer,4.874497284065446e-05,2,2,feedforward inhibition,False
MEC LIII Superficial Multipolar Interneuron,EC LI II Multipolar Pyramidal,0.0017576856121284453,-17,17,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,EC LI II Multipolar Pyramidal,0.005402929237000869,-18,18,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,EC LI II Pyramidal Fan,0.0002807475630600689,-16,16,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,EC LI II Pyramidal Fan,0.0005314947397165248,-17,17,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,EC LII III Pyramidal Tripolar,0.00232964421498605,-15,15,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,EC LII III Pyramidal Tripolar,0.0011033672073519857,-16,16,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal,0.003209854435217928,-14,14,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,EC LIII Pyramidal,0.001395601282498096,-15,15,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,EC LIII Pyramidal Stellate,0.0028282847072716743,-13,13,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,EC LIII Pyramidal Stellate,0.0013764928976838185,-14,14,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,EC LIII Stellate,0.005287804319154771,-12,12,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,EC LIII Stellate,0.002654254418496709,-13,13,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,0.0008449149672315531,-11,11,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,EC LIII V Bipolar Pyramidal,0.0004279008260067293,-12,12,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,EC LV Deep Pyramidal,0.0003070213826717421,-9,9,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,EC LV Deep Pyramidal,0.0005845691771712756,-10,10,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,0.008721509396079574,-5,5,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,MEC LII III Pyramidal Multiform,0.004461237673262047,-6,6,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,MEC LII Oblique Pyramidal,0.0030659275884538342,-4,4,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,MEC LII Oblique Pyramidal,0.00576842339841594,-5,5,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,MEC LII Stellate,0.004476029089135552,-3,3,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,MEC LII Stellate,0.009700589452917685,-4,4,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,0.01679152308870359,-2,2,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,MEC LIII Bipolar Complex Pyramidal,0.00341943298284227,-3,3,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,0.01611183682286829,-1,1,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,MEC LIII Complex Pyramidal,0.007800615803899088,-2,2,feedback inhibition,False
MEC LIII Superficial Trilayered Interneuron,MEC LIII Superficial Multipolar Interneuron,0.10666298750604312,-1,1,feedback inhibition,False
MEC LIII Superficial Multipolar Interneuron,MEC LIII Superficial Trilayered Interneuron,0.006448866280389899,1,1,feedforward inhibition,False
MEC LIII Superficial Multipolar Interneuron,MEC LV Pyramidal,0.00046899947166128875,3,3,feedforward inhibition,False
MEC LIII Superficial Trilayered Interneuron,MEC LV Pyramidal,0.0018265215786254468,2,2,feedforward inhibition,False
MEC LIII Superficial Multipolar Interneuron,MEC LV Superficial Pyramidal,0.0026783149058948017,4,4,feedforward inhibition,False
MEC LIII Superficial Trilayered Interneuron,MEC LV Superficial Pyramidal,0.0012712968420112477,3,3,feedforward inhibition,False
CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,0.07906120546370247,68,68,feedforward inhibition,True
CA1 Trilaminar,SUB CA1 Projecting Pyramidal,0.0007515252287612384,57,57,feedforward inhibition,True
DG Neurogliaform,SUB CA1 Projecting Pyramidal,0.0002558422321386903,26,26,feedforward inhibition,False
