source,target,weight
CA3 Mossy Fiber Associated ORDEN,CA3 Basket,-81.71283984
CA3 Mossy Fiber Associated ORDEN,CA3 LMR Targeting,-32.58919175
CA3 Mossy Fiber Associated ORDEN,CA3 Lucidum ORAX,-56.55274499
CA3 Mossy Fiber Associated ORDEN,CA3 Spiny Lucidum,-350.6777641
CA3 Mossy Fiber Associated ORDEN,CA3 Mossy Fiber Associated ORDEN,-132.0610758
CA3 Mossy Fiber Associated ORDEN,CA2 Wide Arbor Basket,-23.68286695
CA3 Trilaminar,CA3 Pyramidal,-2136.473064
CA3 Trilaminar,CA3c Pyramidal,-1777.695478
CA3 Trilaminar,CA3 Granule,-201.8507867
CA3 Trilaminar,CA3 Axo Axonic,-1040.625325
CA3 Trilaminar,CA3 Basket,-990.5080531
CA3 Trilaminar,CA3 LMR Targeting,-401.3989688
CA3 Trilaminar,CA3 Lucidum ORAX,-941.35884
CA3 Trilaminar,CA3 Spiny Lucidum,-2320.313864
CA3 Trilaminar,CA3 Mossy Fiber Associated ORDEN,-2236.154941
CA3 Trilaminar,CA3 Trilaminar,-1080.898983
CA3 Trilaminar,CA2 Wide Arbor Basket,-171.0361928
CA3 Trilaminar,CA1 Pyramidal,-969.1136206
CA3 Trilaminar,CA1 Radiatum Giant,-313.6163273
CA3 Trilaminar,CA1 Axo Axonic,-704.3595132
CA3 Trilaminar,CA1 Horizontal Axo Axonic,-317.0559049
CA3 Trilaminar,CA1 Basket,-801.2179109
CA3 Trilaminar,CA1 Basket CCK+,-999.3735315
CA3 Trilaminar,CA1 Horizontal Basket,-1205.381116
CA3 Trilaminar,CA1 Ivy,-1050.964334
CA3 Trilaminar,CA1 LMR,-158.7025178
CA3 Trilaminar,CA1 Recurrent O LM,-533.4412237
CA3 Trilaminar,CA1 O LMR,-497.6728461
CA3 Trilaminar,CA1 Oriens Alveus,-833.3650759
CA3 Trilaminar,CA1 Oriens Bistratified,-342.3900395
CA3 Trilaminar,CA1 OR LM,-528.7711222
CA3 Trilaminar,CA1 Perforant Path Associated,-122.6980578
CA3 Trilaminar,CA1 Perforant Path Associated QuadD,-1637.045385
CA3 Trilaminar,CA1 Radiatum,-233.8953891
CA3 Trilaminar,CA1 R Receiving Apical Targeting,-354.3182666
CA3 Trilaminar,CA1 Schaffer Collateral Associated,-601.7736217
CA3 Trilaminar,CA1 SO SO,-611.5928072
CA3 Trilaminar,CA1 Trilaminar,-709.7553592
CA3 Trilaminar,CA1 Radial Trilaminar,-1162.135946
CA2 Basket,CA2 Basket,-5327.324146
CA2 Basket,CA2 Wide Arbor Basket,-4425.022201
CA2 Basket,CA2 Bistratified,-8982.065676
CA2 Basket,CA2 SP SR,-2453.760382
CA2 Wide Arbor Basket,CA3 Pyramidal,-15248.68322
CA2 Wide Arbor Basket,CA3c Pyramidal,-12050.8236
CA2 Wide Arbor Basket,CA3 Axo Axonic,-6434.414178
CA2 Wide Arbor Basket,CA3 Basket,-5965.263939
CA2 Wide Arbor Basket,CA3 Mossy Fiber Associated ORDEN,-11098.20101
CA2 Wide Arbor Basket,CA2 Basket,-5778.399772
CA2 Wide Arbor Basket,CA2 Wide Arbor Basket,-4827.875244
CA2 Wide Arbor Basket,CA2 Bistratified,-9875.045781
CA2 Wide Arbor Basket,CA2 SP SR,-2735.036449
CA2 Wide Arbor Basket,CA1 Pyramidal,-3863.998119
CA2 Wide Arbor Basket,CA1 Radiatum Giant,-5490.969402
CA2 Wide Arbor Basket,CA1 Axo Axonic,-3165.019439
CA2 Wide Arbor Basket,CA1 Basket,-3320.059957
CA2 Wide Arbor Basket,CA1 Basket CCK+,-11428.70911
CA2 Wide Arbor Basket,CA1 Horizontal Basket,-4067.732241
CA2 Wide Arbor Basket,CA1 Ivy,-4552.783056
CA2 Wide Arbor Basket,CA1 OR LM,-2350.132005
CA2 Wide Arbor Basket,CA1 Radial Trilaminar,-4892.897857
CA2 Bistratified,CA2 Basket,-701.2677084
CA2 Bistratified,CA2 Wide Arbor Basket,-544.702408
CA2 Bistratified,CA2 Bistratified,-1392.306989
CA2 Bistratified,CA2 SP SR,-317.24337
CA2 Bistratified,CA1 Pyramidal,-11.39667447
CA2 Bistratified,CA1 Radiatum Giant,-7.341343386
CA2 Bistratified,CA1 Axo Axonic,-6.865304196
CA2 Bistratified,CA1 Horizontal Axo Axonic,-3.451405356
CA2 Bistratified,CA1 Basket,-13.24449342
CA2 Bistratified,CA1 Basket CCK+,-14.45453502
CA2 Bistratified,CA1 Horizontal Basket,-32.37213636
CA2 Bistratified,CA1 Ivy,-5.66983591
CA2 Bistratified,CA1 LMR,-2.634804802
CA2 Bistratified,CA1 Recurrent O LM,-15.65555933
CA2 Bistratified,CA1 O LMR,-5.183377198
CA2 Bistratified,CA1 Oriens Alveus,-8.599398498
CA2 Bistratified,CA1 Oriens Bistratified,-4.72981463
CA2 Bistratified,CA1 OR LM,-12.46588635
CA2 Bistratified,CA1 Perforant Path Associated,-2.700157144
CA2 Bistratified,CA1 Perforant Path Associated QuadD,-29.96979309
CA2 Bistratified,CA1 Radiatum,-4.749411118
CA2 Bistratified,CA1 R Receiving Apical Targeting,-9.506003523
CA2 Bistratified,CA1 SO SO,-16.85952644
CA2 Bistratified,CA1 Trilaminar,-16.90605707
CA2 Bistratified,CA1 Radial Trilaminar,-12.43369949
CA2 SP SR,CA2 Basket,-156.6722243
CA2 SP SR,CA2 Wide Arbor Basket,-106.0852023
CA2 SP SR,CA2 Bistratified,-378.2645885
CA2 SP SR,CA2 SP SR,-101.4702474
CA1 Pyramidal,CA1 Pyramidal,96170.58579
CA1 Pyramidal,CA1 Axo Axonic,50979.62873
CA1 Pyramidal,CA1 Horizontal Axo Axonic,34139.20669
CA1 Pyramidal,CA1 Basket,42387.40709
CA1 Pyramidal,CA1 Basket CCK+,52663.47034
CA1 Pyramidal,CA1 Horizontal Basket,111130.9434
CA1 Pyramidal,CA1 Ivy,78455.60289
CA1 Pyramidal,CA1 Recurrent O LM,172923.8142
CA1 Pyramidal,CA1 O LMR,45331.42552
CA1 Pyramidal,CA1 Oriens Alveus,48773.83945
CA1 Pyramidal,CA1 Oriens Bistratified,54313.14416
CA1 Pyramidal,CA1 OR LM,76314.98469
CA1 Pyramidal,CA1 Perforant Path Associated QuadD,50774.80379
CA1 Pyramidal,CA1 SO SO,92632.40647
CA1 Pyramidal,CA1 Trilaminar,133386.2001
CA1 Pyramidal,CA1 Radial Trilaminar,35009.97556
CA1 Pyramidal,LEC LIII Multipolar Principal,82548.25544
CA1 Pyramidal,EC LIII V Bipolar Pyramidal,309145.2458
CA1 Pyramidal,EC LIV VI Deep Multipolar Principal,280911.9093
CA1 Pyramidal,EC LV Deep Pyramidal,347496.0963
CA1 Pyramidal,MEC LV Multipolar Pyramidal,183361.2451
CA1 Pyramidal,MEC LV Pyramidal,156562.7262
CA1 Pyramidal,MEC LV Superficial Pyramidal,68085.2758
CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,234917.3183
CA1 Pyramidal,LEC LVI Multipolar Pyramidal,282246.3869
CA1 Radiatum Giant,CA1 Pyramidal,1808.126275
CA1 Radiatum Giant,CA1 Axo Axonic,1022.707709
CA1 Radiatum Giant,CA1 Horizontal Axo Axonic,430.4094116
CA1 Radiatum Giant,CA1 Basket,702.4871956
CA1 Radiatum Giant,CA1 Basket CCK+,842.7368119
CA1 Radiatum Giant,CA1 Horizontal Basket,1168.90138
CA1 Radiatum Giant,CA1 Ivy,1110.750523
CA1 Radiatum Giant,CA1 Recurrent O LM,2623.701668
CA1 Radiatum Giant,CA1 O LMR,846.0242332
CA1 Radiatum Giant,CA1 Oriens Alveus,549.5984968
CA1 Radiatum Giant,CA1 Oriens Bistratified,666.6998045
CA1 Radiatum Giant,CA1 OR LM,1217.970273
CA1 Radiatum Giant,CA1 Perforant Path Associated QuadD,596.7808386
CA1 Radiatum Giant,CA1 SO SO,1478.028078
CA1 Radiatum Giant,CA1 Trilaminar,2390.546346
CA1 Radiatum Giant,CA1 Radial Trilaminar,392.7735947
CA1 Axo Axonic,CA1 Pyramidal,-288.4969942
CA1 Axo Axonic,CA1 Radiatum Giant,-25257.26217
CA1 Horizontal Axo Axonic,CA1 Pyramidal,-145.0420219
CA1 Horizontal Axo Axonic,CA1 Radiatum Giant,-16914.85888
CA1 Basket,CA1 Pyramidal,-6486.070905
CA1 Basket,CA1 Radiatum Giant,-5897.135275
CA1 Basket,CA1 Axo Axonic,-3684.105879
CA1 Basket,CA1 Basket,-3937.416918
CA1 Basket,CA1 Basket CCK+,-12244.72984
CA1 Basket,CA1 Horizontal Basket,-4629.172015
CA1 Basket,CA1 Ivy,-4705.46469
CA1 Basket,CA1 OR LM,-2633.577996
CA1 Basket,CA1 Radial Trilaminar,-5058.244394
CA1 Basket CCK+,CA1 Pyramidal,-3609.064098
CA1 Basket CCK+,CA1 Radiatum Giant,-4191.79469
CA1 Basket CCK+,CA1 Axo Axonic,-2652.374075
CA1 Basket CCK+,CA1 Basket,-2685.065619
CA1 Basket CCK+,CA1 Basket CCK+,-8908.811549
CA1 Basket CCK+,CA1 Horizontal Basket,-3235.689969
CA1 Basket CCK+,CA1 Ivy,-3693.971156
CA1 Basket CCK+,CA1 OR LM,-1872.984363
CA1 Basket CCK+,CA1 Radial Trilaminar,-4055.257007
CA1 Horizontal Basket,CA1 Pyramidal,-2941.988765
CA1 Horizontal Basket,CA1 Radiatum Giant,-4464.09032
CA1 Horizontal Basket,CA1 Axo Axonic,-2745.978179
CA1 Horizontal Basket,CA1 Basket,-2902.329525
CA1 Horizontal Basket,CA1 Basket CCK+,-9988.91611
CA1 Horizontal Basket,CA1 Horizontal Basket,-3478.561965
CA1 Horizontal Basket,CA1 Ivy,-4893.405686
CA1 Horizontal Basket,CA1 OR LM,-1981.976524
CA1 Horizontal Basket,CA1 Radial Trilaminar,-5525.324154
CA1 Ivy,CA2 Wide Arbor Basket,-198.3027302
CA1 Ivy,CA1 Pyramidal,-1319.094372
CA1 Ivy,CA1 Radiatum Giant,-410.0397489
CA1 Ivy,CA1 Axo Axonic,-988.8233425
CA1 Ivy,CA1 Horizontal Axo Axonic,-469.6637354
CA1 Ivy,CA1 Basket,-1159.115877
CA1 Ivy,CA1 Basket CCK+,-1365.561801
CA1 Ivy,CA1 Horizontal Basket,-1660.841787
CA1 Ivy,CA1 Ivy,-1533.389858
CA1 Ivy,CA1 LMR,-227.8120531
CA1 Ivy,CA1 Recurrent O LM,-633.4016482
CA1 Ivy,CA1 O LMR,-687.9370463
CA1 Ivy,CA1 Oriens Alveus,-1161.075719
CA1 Ivy,CA1 Oriens Bistratified,-473.4750614
CA1 Ivy,CA1 OR LM,-685.331667
CA1 Ivy,CA1 Perforant Path Associated,-165.1833972
CA1 Ivy,CA1 Perforant Path Associated QuadD,-2052.308601
CA1 Ivy,CA1 Radiatum,-273.0193758
CA1 Ivy,CA1 R Receiving Apical Targeting,-448.9042364
CA1 Ivy,CA1 Schaffer Collateral Associated,-569.3715301
CA1 Ivy,CA1 SO SO,-777.7708167
CA1 Ivy,CA1 Trilaminar,-844.7123803
