variant,motif,E_source,I_middle,E_receiver,E_to_I,I_to_E,signed_contribution,abs_contribution
no_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,2.7012587336522373,-0.0270926325221019,-0.0731842102179584,0.0731842102179584
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Granule,11.018761485889685,-0.00654534086639603,-0.0721215498506644,0.0721215498506644
no_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,2.7012587336522373,-0.02599597856561931,-0.07022186414021553,0.07022186414021553
no_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,CA1 Pyramidal,52.14549700201241,-0.0013421371289080548,-0.06998640763176452,0.06998640763176452
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA3c Pyramidal,11.018761485889685,-0.006067851884213048,-0.06686021264384989,0.06686021264384989
no_self,E-I-E,CA3c Pyramidal,CA1 Perforant Path Associated,DG Granule,52.14549700201241,-0.001233704886898071,-0.06433215448111142,0.06433215448111142
no_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,2.3555753114039235,-0.0270926325221019,-0.06381873629000225,0.06381873629000225
no_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Hilar Ectopic Granule,2.9581924384988225,-0.021312578900624397,-0.06304670974873663,0.06304670974873663
no_self,E-I-E,EC LII III Pyramidal Tripolar,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,2.3555753114039235,-0.02599597856561931,-0.06123548530495843,0.06123548530495843
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Pyramidal,11.018761485889685,-0.00538809623444781,-0.059370147270400776,0.059370147270400776
no_self,E-I-E,CA3 Pyramidal,CA1 Back Projection,DG Mossy,11.018761485889685,-0.004672453116486844,-0.051484646444570466,0.051484646444570466
no_self,E-I-E,CA3c Pyramidal,CA1 Bistratified,CA1 Pyramidal,13.103829309971303,-0.003900169113225791,-0.051107150339732905,0.051107150339732905
no_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Mossy,2.9581924384988225,-0.016221163609150324,-0.04798532353224076,0.04798532353224076
no_self,E-I-E,CA3 Pyramidal,CA1 Horizontal Basket,CA1 Pyramidal,8.035478823745976,-0.005759910083996683,-0.04628363550663625,0.04628363550663625
no_self,E-I-E,DG Semilunar Granule,DG AIPRIM,DG Granule,2.9581924384988225,-0.015636906276828677,-0.04625697790962937,0.04625697790962937
no_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Hilar Ectopic Granule,3.0135900632038934,-0.014570326201014753,-0.043908990257017395,0.043908990257017395
no_self,E-I-E,EC LI II Pyramidal Fan,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,2.966087470870238,-0.014071900914396784,-0.04173848899351974,0.04173848899351974
no_self,E-I-E,CA3c Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,1.8227019875761956,-0.021312578900624397,-0.03884647992254258,0.03884647992254258
no_self,E-I-E,CA2 Pyramidal,DG AIPRIM,DG Hilar Ectopic Granule,1.8099088009309952,-0.021312578900624397,-0.03857382412277633,0.03857382412277633
no_self,E-I-E,MEC LII Stellate,MEC LIII Superficial Multipolar Interneuron,MEC LII III Pyramidal Multiform,2.7012587336522373,-0.014071900914396784,-0.03801184524410322,0.03801184524410322
no_self,E-I-E,DG Granule,DG Basket,DG Granule,2.3480125863147876,-0.015994226032324317,-0.03755464403226112,0.03755464403226112
no_self,E-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,EC LIII V Bipolar Pyramidal,27.507132408334723,-0.0013632456447639355,-0.037498978455607214,0.037498978455607214
no_self,E-I-E,EC LIII Pyramidal,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,0.2914140713843413,-0.12756294798674275,-0.037173638030605666,0.037173638030605666
no_self,E-I-E,DG Granule,DG Total Molecular Layer,DG Granule,3.0135900632038934,-0.012297485855552324,-0.03705958117668291,0.03705958117668291
no_self,E-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Radiatum Giant,23.521170035249977,-0.0015420252584974516,-0.03627023830376886,0.03627023830376886
