variant,motif,E_source,I_first,I_second,E_receiver,E_to_I,I_to_I,I_to_E,signed_contribution,abs_contribution
with_self,E-I-I-E,DG Granule,DG AIPRIM,DG MOLAX,DG Granule,8.554852573701082,-0.034523120852748196,-0.005873553731326986,0.0017346965882234805,0.0017346965882234805
with_self,E-I-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Basket,CA3c Pyramidal,6.237137836109077,-0.03392153289169064,-0.008054368105544411,0.001704089048274607,0.001704089048274607
with_self,E-I-I-E,CA2 Pyramidal,CA1 Perforant Path Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,2.2469368238165517,-0.010379690017985164,-0.07220663505536314,0.0016840398036014402,0.0016840398036014402
with_self,E-I-I-E,EC LIII Pyramidal Stellate,CA1 Perforant Path Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,2.2153148457706804,-0.010379690017985164,-0.07220663505536314,0.0016603396847848348,0.0016603396847848348
with_self,E-I-I-E,CA3c Pyramidal,CA1 Perforant Path Associated QuadD,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,36.090773704809216,-0.0006301003871550182,-0.07220663505536314,0.0016420374034903493,0.0016420374034903493
with_self,E-I-I-E,DG Semilunar Granule,DG AIPRIM,DG AIPRIM,DG Mossy,1.6744762111676674,-0.10451361641756898,-0.009181942400868488,0.001606891012467422,0.001606891012467422
with_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.0639247463725188,-0.09741535519970727,-0.015335705705200414,0.0015894325206010256,0.0015894325206010256
no_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,82.72098568137669,-0.008135741798872288,-0.12756294798674275,0.08584942783846566,0.08584942783846566
no_self,E-I-I-E,CA3c Pyramidal,CA1 R Receiving Apical Targeting,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,35.37290174864722,-0.01011560314576307,-0.12756294798674275,0.045644349053520286,0.045644349053520286
no_self,E-I-I-E,CA3 Pyramidal,CA1 Back Projection,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,11.018761485889685,-0.03153642720906364,-0.12756294798674275,0.04432715106062935,0.04432715106062935
no_self,E-I-I-E,CA3c Pyramidal,CA1 Bistratified,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,13.103829309971303,-0.020778925570497295,-0.12756294798674275,0.03473328517261589,0.03473328517261589
no_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Basket,CA1 Pyramidal,23.521170035249977,-0.08992289814452986,-0.012698615868550379,0.02685873800691556,0.02685873800691556
no_self,E-I-I-E,CA3c Pyramidal,CA1 OR LM,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,24.070331226010282,-0.0073803962630905676,-0.12756294798674275,0.02266137690617868,0.02266137690617868
no_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Basket CCK+,CA1 Pyramidal,82.72098568137669,-0.011764509463791041,-0.021075657232328664,0.020510235683354694,0.020510235683354694
no_self,E-I-I-E,CA3c Pyramidal,CA1 Basket,CA1 Basket CCK+,CA1 Pyramidal,23.75884755384106,-0.03453702319572036,-0.021075657232328664,0.017293838539136297,0.017293838539136297
no_self,E-I-I-E,CA3c Pyramidal,CA1 Basket CCK+,CA1 Horizontal Basket,CA1 Pyramidal,23.521170035249977,-0.10268497605388141,-0.005759910083996683,0.013911742531838932,0.013911742531838932
no_self,E-I-I-E,CA3 Pyramidal,CA1 Trilaminar,CA1 Basket,CA1 Pyramidal,82.72098568137669,-0.01295973791936425,-0.012698615868550379,0.01361345329729334,0.01361345329729334
no_self,E-I-I-E,DG Granule,DG AIPRIM,DG Basket,DG Granule,15.113323215471299,-0.05492442986136539,-0.015994226032324317,0.013276657658080738,0.013276657658080738
no_self,E-I-I-E,CA3c Pyramidal,CA1 LMR,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,23.119451385613733,-0.004434123584176916,-0.12756294798674275,0.0130770524235573,0.0130770524235573
no_self,E-I-I-E,CA3c Pyramidal,CA1 Schaffer Collateral Associated,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,6.134485179534872,-0.01541591434117619,-0.12756294798674275,0.012063461911154306,0.012063461911154306
no_self,E-I-I-E,CA3c Pyramidal,CA1 Trilaminar,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,11.179293985621635,-0.008135741798872288,-0.12756294798674275,0.011602086029297486,0.011602086029297486
no_self,E-I-I-E,DG Granule,DG AIPRIM,DG Total Molecular Layer,DG Hilar Ectopic Granule,15.113323215471299,-0.045363688638522436,-0.014570326201014753,0.00998935865362452,0.00998935865362452
no_self,E-I-I-E,DG Granule,DG AIPRIM,DG MOLAX,DG Granule,15.113323215471299,-0.06098983931743341,-0.010376440178276288,0.009564578725074546,0.009564578725074546
no_self,E-I-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Basket,CA3c Pyramidal,11.018761485889685,-0.05992705147630224,-0.014229148594528344,0.009395818247069759,0.009395818247069759
no_self,E-I-I-E,CA3c Pyramidal,CA1 Perforant Path Associated QuadD,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,63.759313605709025,-0.0011131589617969883,-0.12756294798674275,0.00905368473185532,0.00905368473185532
no_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Bipolar Complex Pyramidal,1.8795693356887109,-0.1720976178840416,-0.0270926325221019,0.008763637730475362,0.008763637730475362
no_self,E-I-I-E,DG Granule,DG AIPRIM,DG Total Molecular Layer,DG Granule,15.113323215471299,-0.045363688638522436,-0.012297485855552324,0.008431108202672307,0.008431108202672307
no_self,E-I-I-E,EC LI II Multipolar Pyramidal,MEC LIII Superficial Trilayered Interneuron,MEC LIII Superficial Multipolar Interneuron,MEC LIII Complex Pyramidal,1.8795693356887109,-0.1720976178840416,-0.02599597856561931,0.008408903727330205,0.008408903727330205
no_self,E-I-I-E,CA3 Pyramidal,CA1 Back Projection,CA3 Basket,CA3 Pyramidal,11.018761485889685,-0.05992705147630224,-0.011352032745543287,0.007495995681212054,0.007495995681212054
no_self,E-I-I-E,CA3c Pyramidal,CA1 Basket,CA1 Horizontal Basket,CA1 Pyramidal,23.75884755384106,-0.049252863535437036,-0.005759910083996683,0.00674019653272997,0.00674019653272997
no_self,E-I-I-E,DG Granule,DG AIPRIM,DG Total Molecular Layer,DG Mossy,15.113323215471299,-0.045363688638522436,-0.009826709147085909,0.0067371533554449374,0.0067371533554449374
no_self,E-I-I-E,CA3c Pyramidal,CA1 Back Projection,CA1 Perforant Path Associated,SUB CA1 Projecting Pyramidal,1.6457798900626484,-0.03153642720906364,-0.12756294798674275,0.00662077438492286,0.00662077438492286
