variant,seed_mode,eigenvalue,timestep,loading_rank,cell_type,initial_mode_loading,signal_real,signal_imag,signal_magnitude
no_self,31,(-0.03414287313973623-0.007141245355197298j),10,3,LEC LIII Multipolar Principal (E),(0.04142324062469533+0.299621515706455j),-0.052217840538112036,-0.12460183379445965,0.13510114675829307
no_self,31,(-0.03414287313973623-0.007141245355197298j),10,4,EC LI II Multipolar Pyramidal (E),(-0.14477368360747583-0.2582398834979918j),-0.03529017212196059,-0.07287788244990626,0.08097272379499136
no_self,31,(-0.03414287313973623-0.007141245355197298j),10,5,EC LIII V Bipolar Pyramidal (E),(0.19179652797823032+0.17753345288325265j),-0.04771881461125596,-0.12143631009007047,0.1304755251999208
no_self,32,(-0.034142873139736234+0.007141245355197298j),0,1,MEC LIII Bipolar Complex Pyramidal (E),(0.005559175448389516+0.36051945129932256j),0.005559175448389516,0.36051945129932256,0.36056230972861075
no_self,32,(-0.034142873139736234+0.007141245355197298j),0,2,MEC LIII Complex Pyramidal (E),(0.02741075892669326-0.286221354242006j),0.02741075892669326,-0.286221354242006,0.28753089108661906
no_self,32,(-0.034142873139736234+0.007141245355197298j),0,3,LEC LVI Multipolar Pyramidal (E),(-0.0518107290981316+0.279645179298725j),-0.0518107290981316,0.279645179298725,0.28440425094343447
no_self,32,(-0.034142873139736234+0.007141245355197298j),0,4,MEC LII III Pyramidal Multiform (E),(-0.07396255013752848+0.2624460391456134j),-0.07396255013752848,0.2624460391456134,0.27266899766212377
no_self,32,(-0.034142873139736234+0.007141245355197298j),0,5,EC LIII V Bipolar Pyramidal (E),(-0.08136488196462482-0.24110721609590657j),-0.08136488196462482,-0.24110721609590657,0.25446597743241733
no_self,32,(-0.034142873139736234+0.007141245355197298j),1,1,MEC LIII Bipolar Complex Pyramidal (E),(0.005559175448389516+0.36051945129932256j),0.22558382414065933,0.08499741123473314,0.24106559611551842
no_self,32,(-0.034142873139736234+0.007141245355197298j),1,2,MEC LIII Complex Pyramidal (E),(0.02741075892669326-0.286221354242006j),0.109152165194434,0.04745156496087789,0.1190203603753132
no_self,32,(-0.034142873139736234+0.007141245355197298j),1,3,LEC LVI Multipolar Pyramidal (E),(-0.0518107290981316+0.279645179298725j),0.02492355141393425,0.017268890232026594,0.0303215762276437
no_self,32,(-0.034142873139736234+0.007141245355197298j),1,4,MEC LII III Pyramidal Multiform (E),(-0.07396255013752848+0.2624460391456134j),0.16247141820944425,0.04397621761517658,0.1683177633249845
no_self,32,(-0.034142873139736234+0.007141245355197298j),1,5,EC LIII V Bipolar Pyramidal (E),(-0.08136488196462482-0.24110721609590657j),0.06434321473939403,0.03381693475235834,0.07268861230650256
no_self,32,(-0.034142873139736234+0.007141245355197298j),2,1,MEC LIII Bipolar Complex Pyramidal (E),(0.005559175448389516+0.36051945129932256j),0.00874830689969659,-0.12117806504691883,0.12149344147782862
no_self,32,(-0.034142873139736234+0.007141245355197298j),2,2,MEC LIII Complex Pyramidal (E),(0.02741075892669326-0.286221354242006j),0.05563186421428141,-0.03645120482785723,0.0665101093771364
no_self,32,(-0.034142873139736234+0.007141245355197298j),2,3,LEC LVI Multipolar Pyramidal (E),(-0.0518107290981316+0.279645179298725j),0.015068208698901528,0.03473637437167572,0.03786379032641689
no_self,32,(-0.034142873139736234+0.007141245355197298j),2,4,MEC LII III Pyramidal Multiform (E),(-0.07396255013752848+0.2624460391456134j),0.04095305719664401,-0.0723955268113862,0.08317610952701342
no_self,32,(-0.034142873139736234+0.007141245355197298j),2,5,EC LIII V Bipolar Pyramidal (E),(-0.08136488196462482-0.24110721609590657j),0.028932078440330262,-0.00021779893024105834,0.028932898217279186
no_self,32,(-0.034142873139736234+0.007141245355197298j),3,1,MEC LIII Bipolar Complex Pyramidal (E),(0.005559175448389516+0.36051945129932256j),0.14508202027393519,0.06890096879468309,0.16061175582009068
no_self,32,(-0.034142873139736234+0.007141245355197298j),3,2,MEC LIII Complex Pyramidal (E),(0.02741075892669326-0.286221354242006j),0.07070711397350296,0.011248547201037155,0.0715962693203766
no_self,32,(-0.034142873139736234+0.007141245355197298j),3,3,LEC LVI Multipolar Pyramidal (E),(-0.0518107290981316+0.279645179298725j),0.0009012991652743579,0.050677988129356026,0.05068600221978918
no_self,32,(-0.034142873139736234+0.007141245355197298j),3,4,MEC LII III Pyramidal Multiform (E),(-0.07396255013752848+0.2624460391456134j),0.11268339222762329,0.033318111285129584,0.117505929312238
no_self,32,(-0.034142873139736234+0.007141245355197298j),3,5,EC LIII V Bipolar Pyramidal (E),(-0.08136488196462482-0.24110721609590657j),0.037864687202803574,0.03294253353787185,0.05018909296709762
no_self,32,(-0.034142873139736234+0.007141245355197298j),4,1,MEC LIII Bipolar Complex Pyramidal (E),(0.005559175448389516+0.36051945129932256j),0.015573888588283838,-0.06897370752495192,0.07071010066106459
no_self,32,(-0.034142873139736234+0.007141245355197298j),4,2,MEC LIII Complex Pyramidal (E),(0.02741075892669326-0.286221354242006j),0.03873796568438077,-0.01195787718105048,0.04054159360510326
no_self,32,(-0.034142873139736234+0.007141245355197298j),4,3,LEC LVI Multipolar Pyramidal (E),(-0.0518107290981316+0.279645179298725j),0.03818677263640998,0.010368424524951432,0.039569354701769956
