target,source,weight,absolute_weight,weight_share,cumulative_weight_share
DG Granule,DG HIPP,14156.9268743551,14156.9268743551,0.0011528056529363719,0.8872710694355916
MEC LII Stellate,CA2 Basket,14056.57040995257,14056.57040995257,0.0011446335757264855,0.8884157030113181
EC LI II Multipolar Pyramidal,MEC LIII Complex Pyramidal,13875.828485835094,13875.828485835094,0.0011299156702308613,0.889545618681549
CA2 Pyramidal,CA3 Basket,13863.94691818209,13863.94691818209,0.001128948148220068,0.8906745668297691
CA2 Pyramidal,CA2 Bistratified,13722.2747802921,13722.2747802921,0.0011174117150045365,0.8917919785447737
CA1 Pyramidal,CA1 Back Projection,13696.70368235844,13696.70368235844,0.0011153294476797604,0.8929073079924534
CA3 Pyramidal,CA1 LMR,13586.427324185684,13586.427324185684,0.0011063495885468384,0.8940136575810003
CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756,13564.64480225756,0.001104575826865591,0.8951182334078659
CA2 Pyramidal,CA1 SO SO,13538.025487380704,13538.025487380704,0.0011024082027096082,0.8962206416105755
CA3 Pyramidal,CA2 Wide Arbor Basket,12886.407133130904,12886.407133130904,0.0010493465934349976,0.8972699882040105
CA3 Pyramidal,CA1 Bistratified,12480.844017697664,12480.844017697664,0.0010163213856167067,0.8982863095896272
CA3 Pyramidal,CA2 Pyramidal,12467.302061608583,12467.302061608583,0.00101521865734313,0.8993015282469703
MEC LV Pyramidal,DG HICAP,12435.42722754114,12435.42722754114,0.0010126230736246097,0.9003141513205949
CA3 Pyramidal,CA1 Axo Axonic,12123.747652838503,12123.747652838503,0.000987242849596408,0.9013013941701913
CA3 Pyramidal,CA3 Mossy Fiber Associated,11541.577405356868,11541.577405356868,0.0009398364344736506,0.9022412306046649
CA1 Pyramidal,CA1 Horizontal Axo Axonic,11541.441606593928,11541.441606593928,0.0009398253763123019,0.9031810559809772
EC LIII Pyramidal Stellate,CA1 Basket,11083.84667560321,11083.84667560321,0.0009025631916670798,0.9040836191726442
CA3 Pyramidal,CA1 Pyramidal,11063.052901714414,11063.052901714414,0.0009008699442343825,0.9049844891168786
DG Granule,CA3 Basket,10812.19538353532,10812.19538353532,0.0008804424907619549,0.9058649316076405
CA2 Pyramidal,CA1 Radiatum,10665.348898948008,10665.348898948008,0.0008684847079007081,0.9067334163155412
CA1 Pyramidal,LEC LVI Multipolar Pyramidal,10569.009270094895,10569.009270094895,0.0008606397236234464,0.9075940560391647
MEC LIII Complex Pyramidal,MEC LIII Superficial Multipolar Interneuron,10502.673558883704,10502.673558883704,0.000855237973402193,0.9084492940125668
CA3 Pyramidal,CA1 Quadrilaminar,10138.342555159694,10138.342555159694,0.0008255703171120523,0.9092748643296789
CA2 Pyramidal,CA1 Basket CCK+,9997.878836619664,9997.878836619664,0.0008141322860900276,0.9100889966157689
MEC LII Stellate,CA3 LMR Targeting,9977.247403136664,9977.247403136664,0.0008124522581179634,0.9109014488738869
DG Granule,CA3 Axo Axonic,9784.00954172353,9784.00954172353,0.000796716802183531,0.9116981656760704
MEC LV Pyramidal,DG Granule,9568.736896643586,9568.736896643586,0.0007791870427679991,0.9124773527188385
CA2 Pyramidal,CA1 Oriens Alveus,9447.573245256512,9447.573245256512,0.0007693206258903041,0.9132466733447288
CA3 Pyramidal,CA3 Basket CCK+,9432.022048326837,9432.022048326837,0.0007680542841277474,0.9140147276288565
DG Granule,CA3 Lucidum ORAX,9388.29053519106,9388.29053519106,0.0007644932050883615,0.9147792208339448
CA2 Pyramidal,CA1 Back Projection,9268.651902533784,9268.651902533784,0.0007547509712504002,0.9155339718051952
EC LI II Pyramidal Fan,DG Basket,9160.852150622562,9160.852150622562,0.0007459727834069983,0.9162799445886023
EC LI II Pyramidal Fan,DG AIPRIM,9151.638747460996,9151.638747460996,0.0007452225313684238,0.9170251671199707
CA1 Pyramidal,CA1 OR LM,9137.956266662315,9137.956266662315,0.0007441083600972924,0.917769275480068
EC LI II Multipolar Pyramidal,LEC LIII Multipolar Principal,9033.652786408917,9033.652786408917,0.0007356148754078384,0.9185048903554759
CA3c Pyramidal,CA1 Recurrent O LM,8931.36795767509,8931.36795767509,0.0007272857705236715,0.9192321761259996
CA3c Pyramidal,DG Basket,8843.436287729754,8843.436287729754,0.0007201254505555898,0.9199523015765552
DG Semilunar Granule,DG MOLAX,8783.274503438308,8783.274503438308,0.0007152264462987018,0.9206675280228539
CA3 Pyramidal,CA1 Oriens Bistratified,8622.938328917056,8622.938328917056,0.0007021701912230951,0.921369698214077
CA3 Pyramidal,CA1 Radiatum,8342.91639965376,8342.91639965376,0.0006793678651345399,0.9220490660792116
CA2 Pyramidal,CA3 Mossy Fiber Associated ORDEN,8302.254189961015,8302.254189961015,0.0006760567210133115,0.9227251228002249
DG Semilunar Granule,DG Basket,8286.217004196167,8286.217004196167,0.0006747508049362569,0.9233998736051612
