g,spectral_abscissa_J,numerical_abscissa_J
41.80811468171386,-0.3474999999999999,20.00352393073624
42.096446507104986,-0.34299999999999997,20.148375819913728
42.38477833249612,-0.3384999999999999,20.29322770909122
42.67311015788725,-0.33399999999999996,20.438079598268715
42.96144198327838,-0.3295,20.582931487446203
43.24977380866951,-0.32499999999999996,20.727783376623695
43.53810563406064,-0.3204999999999999,20.872635265801186
43.82643745945177,-0.31599999999999995,21.017487154978678
44.1147692848429,-0.3114999999999999,21.16233904415617
44.403101110234026,-0.30700000000000005,21.307190933333658
44.69143293562516,-0.3025,21.45204282251115
44.97976476101629,-0.29799999999999993,21.596894711688645
45.26809658640742,-0.2935,21.741746600866133
45.55642841179855,-0.2889999999999999,21.886598490043625
45.84476023718968,-0.28449999999999986,22.03145037922112
46.13309206258081,-0.28,22.176302268398608
46.42142388797194,-0.27549999999999997,22.3211541575761
46.70975571336307,-0.2709999999999999,22.46600604675359
46.9980875387542,-0.26649999999999996,22.610857935931083
47.28641936414533,-0.2619999999999999,22.755709825108575
47.57475118953646,-0.25749999999999995,22.900561714286063
47.86308301492759,-0.253,23.045413603463555
48.15141484031872,-0.24849999999999994,23.19026549264105
48.43974666570985,-0.244,23.335117381818538
48.72807849110098,-0.23949999999999994,23.47996927099603
49.01641031649211,-0.23499999999999988,23.62482116017352
49.30474214188324,-0.23049999999999993,23.769673049351013
49.59307396727437,-0.22599999999999998,23.914524938528505
49.8814057926655,-0.22150000000000003,24.059376827705993
50.16973761805663,-0.21699999999999997,24.204228716883485
50.45806944344776,-0.2124999999999999,24.34908060606098
50.74640126883889,-0.20799999999999996,24.493932495238468
51.03473309423002,-0.2034999999999999,24.63878438441596
51.32306491962115,-0.19899999999999995,24.78363627359345
51.61139674501228,-0.1945,24.928488162770943
51.89972857040341,-0.18999999999999995,25.073340051948435
52.188060395794544,-0.1854999999999999,25.218191941125927
52.47639222118567,-0.18099999999999994,25.363043830303415
52.7647240465768,-0.17649999999999988,25.50789571948091
53.05305587196793,-0.17200000000000004,25.652747608658398
53.34138769735906,-0.16749999999999998,25.79759949783589
53.62971952275019,-0.16299999999999992,25.94245138701338
53.91805134814132,-0.15849999999999997,26.087303276190873
54.20638317353245,-0.15399999999999991,26.232155165368365
54.494714998923584,-0.14949999999999986,26.377007054545857
54.78304682431471,-0.14500000000000002,26.521858943723345
55.07137864970584,-0.14049999999999996,26.66671083290084
55.359710475096975,-0.1359999999999999,26.81156272207833
55.6480423004881,-0.13149999999999995,26.95641461125582
55.93637412587923,-0.1269999999999999,27.10126650043331
56.22470595127036,-0.12249999999999994,27.246118389610803
56.51303777666149,-0.118,27.390970278788295
56.801369602052624,-0.11349999999999993,27.535822167965787
57.08970142744375,-0.10899999999999999,27.680674057143275
57.37803325283488,-0.10449999999999993,27.82552594632077
57.666365078226015,-0.09999999999999987,27.97037783549826
57.95469690361714,-0.09549999999999992,28.11522972467575
58.24302872900827,-0.09099999999999997,28.26008161385324
58.5313605543994,-0.08650000000000002,28.404933503030733
58.81969237979053,-0.08199999999999996,28.549785392208225
59.108024205181664,-0.0774999999999999,28.694637281385717
59.39635603057279,-0.07299999999999995,28.839489170563205
59.68468785596392,-0.0684999999999999,28.9843410597407
59.973019681355055,-0.06399999999999995,29.12919294891819
60.26135150674618,-0.0595,29.27404483809568
60.54968333213731,-0.05499999999999994,29.41889672727317
60.838015157528446,-0.05049999999999988,29.563748616450667
61.12634698291957,-0.04599999999999993,29.708600505628155
61.414678808310704,-0.04149999999999987,29.853452394805647
61.70301063370183,-0.03700000000000003,29.99830428398314
61.99134245909296,-0.03249999999999997,30.14315617316063
62.279674284484095,-0.027999999999999914,30.288008062338122
62.56800610987522,-0.023499999999999965,30.43285995151561
62.85633793526635,-0.018999999999999906,30.577711840693105
63.144669760657486,-0.014499999999999846,30.722563729870597
63.43300158604861,-0.010000000000000009,30.867415619048085
63.721333411439744,-0.005499999999999949,31.012267508225577
64.00966523683087,-0.0010000000000000009,31.157119397403065
64.29799706222201,0.0035000000000000586,31.30197128658056
64.58632888761313,0.008000000000000007,31.446823175758055
64.87466071300426,0.012499999999999956,31.591675064935544
65.1629925383954,0.017000000000000126,31.73652695411304
65.45132436378653,0.021500000000000075,31.881378843290527
65.73965618917765,0.026000000000000023,32.026230732468015
66.02798801456878,0.03049999999999997,32.1710826216455
66.31631983995992,0.03500000000000014,32.315934510823
66.60465166535104,0.03950000000000009,32.46078640000049
66.89298349074217,0.04400000000000004,32.60563828917798
67.18131531613331,0.04850000000000021,32.75049017835548
67.46964714152443,0.05300000000000016,32.895342067532965
67.75797896691556,0.057499999999999885,33.04019395671045
68.0463107923067,0.062000000000000055,33.18504584588795
68.33464261769782,0.0665,33.32989773506544
68.62297444308895,0.07099999999999995,33.474749624242925
68.91130626848009,0.07550000000000012,33.61960151342042
69.19963809387122,0.08000000000000007,33.764453402597915
