node,absolute_in_strength,absolute_out_strength,signed_in_strength,signed_out_strength,positive_in_strength,positive_out_strength,negative_in_strength,negative_out_strength,in_degree,out_degree
CA1 Quadrilaminar,35.92304366855626,171416.57233614818,-35.92304366855626,169051.71814464073,0.0,170234.14524039446,-35.92304366855626,-1182.4270957537274,28,31
CA1 R Receiving Apical Targeting,971.5598493304743,652169.2744456213,-971.5598493304743,649401.7951400791,0.0,650785.5347928503,-971.5598493304743,-1383.7396527710885,19,18
CA1 Radiatum,193.92837429534077,165842.4616140327,-193.92837429534077,165066.26186433053,0.0,165454.36173918165,-193.92837429534077,-388.0998748510937,17,18
CA1 Schaffer Collateral Associated,3730.002527562471,106674.64810340368,-3730.002527562471,106241.47621466138,0.0,106458.06215903252,-3730.002527562471,-216.58594437115173,27,27
CA1 SO SO,1022.6849409671371,235904.47421568292,-1022.6849409671371,234272.59763874253,0.0,235088.5359272127,-1022.6849409671371,-815.9382884701936,20,18
CA1 Trilaminar,3085.9577928146427,1569024.5069452203,-3085.9577928146427,1562272.240206716,0.0,1565648.3735759682,-3085.9577928146427,-3376.133369252162,28,18
CA1 Radial Trilaminar,397.81324111265815,163941.79056540836,-397.81324111265815,152322.81746769472,0.0,158132.30401655153,-397.81324111265815,-5809.486548856819,27,35
SUB CA1 Projecting Pyramidal,9670.056637881002,11133.322477729544,9670.056637881002,7299.5649488497465,9670.056637881002,9216.443713289646,0.0,-1916.878764439899,22,13
EC LI II Multipolar Pyramidal,702954.1694889886,33325.199916849575,702954.1694889886,32982.34303697102,702954.1694889886,33153.7714769103,0.0,-171.42843993927914,19,13
EC LI II Pyramidal Fan,188794.15468905197,3687.2352005972703,188794.15468905197,3648.3442858500234,188794.15468905197,3667.789743223647,0.0,-19.44545737362343,32,13
MEC LII Oblique Pyramidal,1662.2982162978874,23947.11113434792,1662.2982162978874,23524.114215936846,1662.2982162978874,23735.612675142384,0.0,-211.49845920553386,13,11
MEC LII Stellate,181664.45659046868,35357.812533889904,181664.45659046868,34679.02289040728,181664.45659046868,35018.41771214859,0.0,-339.39482174131325,41,10
MEC LII III Pyramidal Multiform,13836.916506922298,30223.913634421016,13836.916506922298,29592.711478788773,13836.916506922298,29908.312556604895,0.0,-315.6010778161218,20,17
EC LII III Pyramidal Tripolar,109442.84946455901,36051.990999321366,109442.84946455901,35887.61522857407,109442.84946455901,35969.80311394772,0.0,-82.18788537365543,32,20
LEC LIII Multipolar Principal,3464.6755239328627,19050.004764425194,3464.6755239328627,19050.004764425194,3464.6755239328627,19050.004764425194,0.0,0.0,12,13
LEC LIII Complex Pyramidal,4212.1094348997685,24022.157355310068,4212.1094348997685,24022.157355310068,4212.1094348997685,24022.157355310068,0.0,0.0,12,11
MEC LIII Complex Pyramidal,17243.892537265136,33003.23355855055,17243.892537265136,31858.28314987801,17243.892537265136,32430.758354214282,0.0,-572.4752043362721,19,18
MEC LIII Bipolar Complex Pyramidal,5600.022277514241,39876.0640847784,5600.022277514241,38908.34476401429,5600.022277514241,39392.20442439635,0.0,-483.8596603820547,19,17
EC LIII Pyramidal,19811.655685966718,29810.665994193343,19811.655685966718,29590.152503234258,19811.655685966718,29700.4092487138,0.0,-110.25674547954357,34,20
EC LIII Pyramidal Stellate,260668.34815131576,27037.62299127087,260668.34815131576,26836.294339947923,260668.34815131576,26936.958665609396,0.0,-100.66432566147384,28,21
EC LIII Stellate,2635.5990369305287,38438.20989249885,2635.5990369305287,38057.936754510636,2635.5990369305287,38248.073323504745,0.0,-190.1365689941085,13,20
EC LIII V Bipolar Pyramidal,15749.772621550253,16674.789146949093,15749.772621550253,16613.845546333163,15749.772621550253,16644.317346641128,0.0,-30.471800307964642,19,23
EC LIV VI Deep Multipolar Principal,18220.645439668035,9356.040530881131,18220.645439668035,9356.040530881131,18220.645439668035,9356.040530881131,0.0,0.0,13,17
MEC LV Multipolar Pyramidal,3799.8239439364493,8854.834473896535,3799.8239439364493,8854.834473896535,3799.8239439364493,8854.834473896535,0.0,0.0,16,13
MEC LV Pyramidal,115089.10585368676,10899.440176908261,115089.10585368676,10789.528500106855,115089.10585368676,10844.484338507558,0.0,-54.9558384007038,34,17
EC LV Deep Pyramidal,2758.044158891288,14115.439014825854,2758.044158891288,14072.748831941051,2758.044158891288,14094.093923383452,0.0,-21.34509144240063,9,21
MEC LV Superficial Pyramidal,4961.293124932897,7470.22122107515,4961.293124932897,7281.110147633822,4961.293124932897,7375.665684354486,0.0,-94.55553672066465,20,20
MEC LV VI Pyramidal Polymorphic,1501.0645596662239,25011.526446752156,1501.0645596662239,25011.526446752156,1501.0645596662239,25011.526446752156,0.0,0.0,3,11
LEC LVI Multipolar Pyramidal,1320.56365009997,14466.251767960328,1320.56365009997,14466.251767960328,1320.56365009997,14466.251767960328,0.0,0.0,10,8
MEC LIII Superficial Multipolar Interneuron,6502.103609794381,584337.2008343751,-6502.103609794381,569846.0981617477,0.0,577091.6494980614,-6502.103609794381,-7245.551336313701,17,17
MEC LIII Superficial Trilayered Interneuron,3789.488884792867,38629.02914543698,-3789.488884792867,38133.50065523931,0.0,38381.264900338145,-3789.488884792867,-247.76424509883321,17,17
