target,source,i,j,weight,dalpha_dAij,domega_dAij,elasticity_alpha,elasticity_omega,priority,dG_dAij,elasticity_G
CA3c Pyramidal,CA2 Bistratified,15,31,0.057210549734611794,-8.703896400414443e-08,0.028289812510438564,-4.979546979008191e-09,0.0016184757256112884,0.0016184757256112884,17.83121184054902,1.0201334318321285
CA3 Pyramidal,CA1 SO SO,14,58,0.10730000113458314,-3.544289108490455e-07,0.01368476711921541,-3.8030222536231646e-08,0.0014683755274183196,0.0014683755274183196,13.916217805116458,1.4932101862781022
CA2 Pyramidal,CA1 Perforant Path Associated QuadD,28,53,0.04378534811780073,1.4260788805073674e-08,0.029861259294829676,6.244136022645864e-10,0.00130748563346003,0.00130748563346003,73.2996171854033,3.2094492553644125
CA2 Pyramidal,CA1 Trilaminar,28,59,0.05376267928632846,-3.974330875328884e-06,0.022349076481409377,-2.1367067622805986e-07,0.0012015462312156384,0.0012015462312156384,70.66048733295915,3.7988971186975578
CA3 Pyramidal,CA1 Back Projection,14,37,0.0973431227177819,-2.3641873817857955e-05,0.012284021898687745,-2.3013738243300617e-06,0.0011957650511518812,0.0011957650511518812,6.164224886236001,0.6000448995608761
CA3c Pyramidal,CA1 Schaffer Collateral Associated,15,57,0.05419392591504687,-8.965005156032397e-07,0.02202550929656437,-4.858488252540329e-08,0.0011936488190591856,0.0011936488190591856,10.160019410442564,0.5506113392249624
CA3 Pyramidal,CA1 Basket,14,38,0.022629793814658967,-8.100513904173412e-06,0.043469125692209475,-1.8331295944422246e-07,0.000983697351718195,0.000983697351718195,32.40102184184593,0.7332284436652352
CA3c Pyramidal,CA1 Ivy,15,42,0.04804442017771751,-6.442187103446015e-07,0.01922319319044364,-3.0951114406143325e-08,0.0009235671707991123,0.0009235671707991123,8.500297121184415,0.4083918465256266
CA1 Pyramidal,CA1 Trilaminar,33,59,0.0480034367817264,-5.17193685750999e-06,0.01684089140631195,-2.4827074397856153e-07,0.0008084206659708151,0.0008084206659708151,152.24941864793215,7.308495343120607
CA2 Pyramidal,CA1 Perforant Path Associated,28,52,0.03506798354104108,-3.545869704886766e-06,0.02278022649659837,-1.243465004496453e-07,0.0007988566078438995,0.0007988566078438995,54.06640409114719,1.8959997687916257
CA3 Pyramidal,CA3c Pyramidal,14,15,0.004033333235528992,0.004336068209872246,0.1965663501272226,1.748880802239843e-05,0.0007928175929547554,0.0007928175929547554,2949.0120757057207,11.894348416920224
CA3c Pyramidal,CA2 Pyramidal,15,28,0.014542108071864197,0.00031863754744679247,0.04774357489498118,4.633661650725012e-06,0.0006942922258599587,0.0006942922258599587,575.7910721292703,8.373215997718402
CA2 Pyramidal,CA1 R Receiving Apical Targeting,28,55,0.04189305207462101,-1.2968065173826847e-06,0.015846034229606915,-5.4327182963420726e-08,0.0006638387371571495,0.0006638387371571495,38.69884240323116,1.6212126200261148
CA3 Pyramidal,CA1 Horizontal Basket,14,39,0.07098788754414039,-3.4671223831224558e-06,0.009090621157033447,-2.461236938348689e-07,0.0006453239924018737,0.0006453239924018737,8.421247067856118,0.597806539834392
EC LI II Multipolar Pyramidal,MEC LII Stellate,62,65,0.014369441710168457,0.04096783776276704,8.030114086869109e-07,0.000588684956723719,1.1538825629726827e-08,0.000588684956723719,2.5718767128107367,0.03695643251047354
CA3 Pyramidal,CA1 Horizontal Axo Axonic,14,36,0.06658350077333561,-1.5104988517958348e-07,0.008719768527962475,-1.0057430146667052e-08,0.0005805927145248969,0.0005805927145248969,9.115350471674438,0.60693194517996
MEC LII Stellate,EC LI II Multipolar Pyramidal,65,62,0.0007024817726186964,0.7866879243662177,8.030114086869109e-07,0.0005526339276065035,5.641008778074176e-10,0.0005526339276065035,,
CA3 Pyramidal,CA1 Basket CCK+,14,40,0.011598594707910094,-1.316182929807939e-05,0.04190452406895121,-1.5265872364311966e-07,0.0004860335911036287,0.0004860335911036287,,
EC LI II Multipolar Pyramidal,MEC LIII Superficial Multipolar Interneuron,62,83,0.24300645486043962,-0.001754689801381601,1.4107763049041571e-07,-0.0004264009480135118,3.4282774845586987e-08,0.0004264009480135118,,
CA3c Pyramidal,CA1 SO SO,15,58,0.015276621644386241,-1.6537296437935486e-07,0.027666293591275374,-2.5263402070339674e-09,0.0004226474994964217,0.0004226474994964217,,
EC LI II Pyramidal Fan,EC LI II Multipolar Pyramidal,63,62,0.00444900933926694,0.09078370710455833,3.974018206913734e-07,0.0004038975607614545,1.7680444116976065e-09,0.0004038975607614545,,
