node,absolute_in_strength,absolute_out_strength,signed_in_strength,signed_out_strength,positive_in_strength,positive_out_strength,negative_in_strength,negative_out_strength,in_degree,out_degree,out_weight_share,in_weight_share
DG HIPROM,21.725774231962045,57122.70587198674,-21.725774231962045,55059.35739957858,0.0,56091.03163578266,-21.725774231962045,-1031.674236204082,30,16,0.004651530577553243,1.7691406878984907e-06
CA3 Lucidum ORAX,6.505686561167486,55200.85168656522,-6.505686561167486,52616.42597734655,0.0,53908.63883195588,-6.505686561167486,-1292.2128546093354,15,16,0.0044950330277151685,5.297613182937138e-07
CA3 Mossy Fiber Associated ORDEN,116.72622230277157,49670.420585760345,-116.72622230277157,37691.31359330152,0.0,43680.86708953094,-116.72622230277157,-5989.55349622941,21,19,0.004044687250501891,9.505074802660695e-06
CA2 Pyramidal,648346.970217273,48613.254141570746,648346.970217273,48309.225614886745,648346.970217273,48461.23987822874,0.0,-152.0142633420026,55,9,0.0039586016569424535,0.052795218832737634
DG Hilar Ectopic Granule,29.06392568499523,46710.538943190404,29.06392568499523,45076.29139171523,29.06392568499523,45893.41516745281,0.0,-817.1237757375848,20,25,0.00380366260441445,2.3666900396920637e-06
MEC LIII Bipolar Complex Pyramidal,5600.022277514241,39876.0640847784,5600.022277514241,38908.34476401429,5600.022277514241,39392.20442439635,0.0,-483.8596603820547,19,17,0.0032471278902385125,0.0004560126216221708
MEC LIII Superficial Trilayered Interneuron,3789.488884792867,38629.02914543698,-3789.488884792867,38133.50065523931,0.0,38381.264900338145,-3789.488884792867,-247.76424509883321,17,17,0.0031455812099285287,0.0003085799797442104
EC LIII Stellate,2635.5990369305287,38438.20989249885,2635.5990369305287,38057.936754510636,2635.5990369305287,38248.073323504745,0.0,-190.1365689941085,13,20,0.0031300427024947824,0.00021461815093154376
EC LII III Pyramidal Tripolar,109442.84946455901,36051.990999321366,109442.84946455901,35887.61522857407,109442.84946455901,35969.80311394772,0.0,-82.18788537365543,32,20,0.002935731701695473,0.008911986100935155
MEC LII Stellate,181664.45659046868,35357.812533889904,181664.45659046868,34679.02289040728,181664.45659046868,35018.41771214859,0.0,-339.39482174131325,41,10,0.002879204401229881,0.014793027777410657
CA3 Mossy Fiber Associated,741.5566838775244,34631.51849083054,-741.5566838775244,33574.07491879254,0.0,34102.79670481154,-741.5566838775244,-528.7217860189985,22,16,0.002820061913176944,6.0385332546665625e-05
EC LI II Multipolar Pyramidal,702954.1694889886,33325.199916849575,702954.1694889886,32982.34303697102,702954.1694889886,33153.7714769103,0.0,-171.42843993927914,19,13,0.002713687736776486,0.057241910446684696
MEC LIII Complex Pyramidal,17243.892537265136,33003.23355855055,17243.892537265136,31858.28314987801,17243.892537265136,32430.758354214282,0.0,-572.4752043362721,19,18,0.002687469854802764,0.001404178814513522
CA1 Neurogliaform,1186.1105063033824,32682.35760941464,-1186.1105063033824,32031.319235954477,0.0,32356.83842268456,-1186.1105063033824,-325.51918673008095,14,15,0.00266134076539387,9.65855731833078e-05
MEC LII III Pyramidal Multiform,13836.916506922298,30223.913634421016,13836.916506922298,29592.711478788773,13836.916506922298,29908.312556604895,0.0,-315.6010778161218,20,17,0.0024611484399723175,0.0011267470482795201
EC LIII Pyramidal,19811.655685966718,29810.665994193343,19811.655685966718,29590.152503234258,19811.655685966718,29700.4092487138,0.0,-110.25674547954357,34,20,0.002427497477447389,0.0016132730550571447
DG Granule,896592.6306550346,29542.546946126648,896592.6306550346,27399.537194566783,896592.6306550346,28471.042070346717,0.0,-1071.5048757799325,24,20,0.0024056644089421675,0.07300998741983687
EC LIII Pyramidal Stellate,260668.34815131576,27037.62299127087,260668.34815131576,26836.294339947923,260668.34815131576,26936.958665609396,0.0,-100.66432566147384,28,21,0.00220168719545776,0.02122635427571296
CA2 SP SR,61.59184162005653,26799.770700084387,-61.59184162005653,26494.273530867493,0.0,26647.022115475942,-61.59184162005653,-152.74858460844948,5,7,0.0021823187641394955,5.0154545421142005e-06
MEC LV VI Pyramidal Polymorphic,1501.0645596662239,25011.526446752156,1501.0645596662239,25011.526446752156,1501.0645596662239,25011.526446752156,0.0,0.0,3,11,0.0020367011380566253,0.0001222324396504659
CA3 Granule,66.85458159773101,24208.027208416384,66.85458159773101,23139.346401921302,66.85458159773101,23673.686805168843,0.0,-534.3404032475455,10,12,0.001971271792245602,5.444002096964359e-06
LEC LIII Complex Pyramidal,4212.1094348997685,24022.157355310068,4212.1094348997685,24022.157355310068,4212.1094348997685,24022.157355310068,0.0,0.0,12,11,0.0019561363169215357,0.00034299418301970123
MEC LII Oblique Pyramidal,1662.2982162978874,23947.11113434792,1662.2982162978874,23524.114215936846,1662.2982162978874,23735.612675142384,0.0,-211.49845920553386,13,11,0.0019500252655242586,0.00013536177714427498
CA3 Basket CCK+,10265.966320774727,23904.009240327785,-10265.966320774727,16753.264473853615,0.0,20328.6368570907,-10265.966320774727,-3575.3723832370856,6,20,0.0019465154566851181,0.0008359627843301003
CA3 O LM,2564.628353142055,22488.24476812549,-2564.628353142055,21039.50607219926,0.0,21763.875420162374,-2564.628353142055,-724.3693479631135,13,8,0.0018312290459219325,0.00020883897256958453
LEC LIII Multipolar Principal,3464.6755239328627,19050.004764425194,3464.6755239328627,19050.004764425194,3464.6755239328627,19050.004764425194,0.0,0.0,12,13,0.0015512514386632787,0.00028213026492460684
DG HIPP,3263.31046180801,18550.702790869585,-3263.31046180801,18204.628442035006,0.0,18377.665616452294,-3263.31046180801,-173.0371744172877,12,13,0.0015105930286322235,0.00026573300696165726
EC LIII V Bipolar Pyramidal,15749.772621550253,16674.789146949093,15749.772621550253,16613.845546333163,15749.772621550253,16644.317346641128,0.0,-30.471800307964642,19,23,0.0013578364401208116,0.0012825118807017024
CA3 LMR Targeting,2147.7416512267773,15952.09638989918,-2147.7416512267773,14242.098587750388,0.0,15097.097488824784,-2147.7416512267773,-854.9989010743975,10,17,0.0012989872065931245,0.00017489167942699529
LEC LVI Multipolar Pyramidal,1320.56365009997,14466.251767960328,1320.56365009997,14466.251767960328,1320.56365009997,14466.251767960328,0.0,0.0,10,8,0.0011779941341022954,0.00010753416009057992
EC LV Deep Pyramidal,2758.044158891288,14115.439014825854,2758.044158891288,14072.748831941051,2758.044158891288,14094.093923383452,0.0,-21.34509144240063,9,21,0.0011494272757350188,0.00022458891860051763
CA3c Pyramidal,5646830.374830413,12586.1335213602,5646830.374830413,10671.711641333117,5646830.374830413,11628.922581346658,0.0,-957.2109400135416,57,21,0.0010248951626867083,0.4598242284538079
CA1 Oriens Bistratified,680.1355728006129,11654.51389736702,-680.1355728006129,11553.363644687171,0.0,11603.938771027097,-680.1355728006129,-50.57512633992558,25,18,0.0009490329096386068,5.538378067827527e-05
SUB CA1 Projecting Pyramidal,9670.056637881002,11133.322477729544,9670.056637881002,7299.5649488497465,9670.056637881002,9216.443713289646,0.0,-1916.878764439899,22,13,0.0009065920310388588,0.0007874375600934877
MEC LV Pyramidal,115089.10585368676,10899.440176908261,115089.10585368676,10789.528500106855,115089.10585368676,10844.484338507558,0.0,-54.9558384007038,34,17,0.0008875468780263819,0.009371763589445428
CA3 Horizontal Axo Axonic,9.628441152488833,10742.759766706658,-9.628441152488833,10177.96037005654,0.0,10460.3600683816,-9.628441152488833,-282.3996983250592,2,8,0.000874788313672137,7.840487902541317e-07
CA3 Pyramidal,2777439.222463003,10138.432289080229,2777439.222463003,8007.573464712571,2777439.222463003,9073.0028768964,0.0,-1065.4294121838284,44,22,0.0008255776241901895,0.2261682683508533
EC LIV VI Deep Multipolar Principal,18220.645439668035,9356.040530881131,18220.645439668035,9356.040530881131,18220.645439668035,9356.040530881131,0.0,0.0,13,17,0.0007618670710689046,0.00148371629305004
MEC LV Multipolar Pyramidal,3799.8239439364493,8854.834473896535,3799.8239439364493,8854.834473896535,3799.8239439364493,8854.834473896535,0.0,0.0,16,13,0.0007210536105696173,0.00030942156879174134
MEC LV Superficial Pyramidal,4961.293124932897,7470.22122107515,4961.293124932897,7281.110147633822,4961.293124932897,7375.665684354486,0.0,-94.55553672066465,20,20,0.000608303859218244,0.0004040005865014077
CA1 Radiatum Giant,3436.1036020371084,4988.036077639754,3436.1036020371084,4835.663201566375,3436.1036020371084,4911.849639603065,0.0,-76.18643803668974,20,30,0.00040617827854787307,0.00027980363900013814
CA1 Neurogliaform Projecting,109.05342943633529,4756.095001914741,-109.05342943633529,4088.5164696299125,0.0,4422.305735772327,-109.05342943633529,-333.7892661424146,25,26,0.0003872912004682162,8.880275432801652e-06
EC LI II Pyramidal Fan,188794.15468905197,3687.2352005972703,188794.15468905197,3648.3442858500234,188794.15468905197,3667.789743223647,0.0,-19.44545737362343,32,13,0.0003002534109754059,0.015373602668043548
CA3 Trilaminar,4282.16676812871,2693.3260446674167,-4282.16676812871,2613.6427414628424,0.0,2653.4843930651296,-4282.16676812871,-39.84165160228683,41,8,0.0002193188901129219,0.0003486989867876906
CA3 Spiny Lucidum,455.0965034732049,2593.5778959883182,-455.0965034732049,2456.5532675716167,0.0,2525.065581779967,-455.0965034732049,-68.51231420835084,24,12,0.00021119634835737295,3.705873643988763e-05
DG MOPP,101.92900364390897,2551.7693197634926,-101.92900364390897,2280.750110412896,0.0,2416.2597150881943,-101.92900364390897,-135.50960467529828,12,13,0.00020779185503470786,8.30012986870239e-06
DG Semilunar Granule,149816.67928196985,1915.42050640165,149816.67928196985,1780.1081920110944,149816.67928196985,1847.7643492063721,0.0,-67.6561571952779,22,18,0.0001559736521299689,0.012199647304336156
DG Neurogliaform,35.69684940209376,904.5092981196817,-35.69684940209376,733.0220788326315,0.0,818.7656884761566,-35.69684940209376,-85.74360964352513,13,13,7.365464562049445e-05,2.906812343383432e-06
