method,seed,step,edge_type,sender,receiver,weight
greedy_tree_path,DG Granule,9,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,DG Granule,10,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,DG Granule,11,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,DG Granule,12,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,DG Granule,13,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,DG Granule,14,transition,CA3 Granule,CA3 Pyramidal,0.942018883295193
greedy_tree_path,DG Granule,15,transition,CA3 Pyramidal,CA2 Pyramidal,12467.302061608583
greedy_tree_path,DG Granule,16,transition,CA2 Pyramidal,CA1 Radiatum Giant,263.0645063940111
greedy_tree_path,DG Hilar Ectopic Granule,1,transition,DG Hilar Ectopic Granule,DG Mossy,1.6138578915994803
greedy_tree_path,DG Hilar Ectopic Granule,2,transition,DG Mossy,DG Granule,968.2502990077752
greedy_tree_path,DG Hilar Ectopic Granule,3,transition,DG Granule,CA2 Pyramidal,3360.733225493062
greedy_tree_path,DG Hilar Ectopic Granule,4,transition,CA2 Pyramidal,CA1 Pyramidal,5532.563189259333
greedy_tree_path,DG Hilar Ectopic Granule,5,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,DG Hilar Ectopic Granule,6,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,DG Hilar Ectopic Granule,7,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,DG Hilar Ectopic Granule,8,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,DG Hilar Ectopic Granule,9,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,DG Hilar Ectopic Granule,10,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,DG Hilar Ectopic Granule,11,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,DG Hilar Ectopic Granule,12,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,DG Hilar Ectopic Granule,13,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,DG Hilar Ectopic Granule,14,transition,CA3 Granule,CA3c Pyramidal,2.280811281935155
greedy_tree_path,DG Hilar Ectopic Granule,15,transition,CA3c Pyramidal,CA1 Radiatum Giant,4064.510468839344
greedy_tree_path,DG Mossy,1,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,DG Mossy,2,transition,DG Hilar Ectopic Granule,CA3c Pyramidal,0.0550567880071112
greedy_tree_path,DG Mossy,3,transition,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
greedy_tree_path,DG Mossy,4,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,DG Mossy,5,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,DG Mossy,6,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,DG Mossy,7,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,DG Mossy,8,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,DG Mossy,9,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,DG Mossy,10,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,DG Mossy,11,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,DG Mossy,12,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,DG Mossy,13,transition,CA3 Granule,CA3 Pyramidal,0.942018883295193
greedy_tree_path,DG Mossy,14,transition,CA3 Pyramidal,CA2 Pyramidal,12467.302061608583
greedy_tree_path,DG Mossy,15,transition,CA2 Pyramidal,CA1 Radiatum Giant,263.0645063940111
greedy_tree_path,DG Semilunar Granule,1,transition,DG Semilunar Granule,DG Mossy,5155.105798787127
greedy_tree_path,DG Semilunar Granule,2,transition,DG Mossy,DG Hilar Ectopic Granule,2119.754290320353
greedy_tree_path,DG Semilunar Granule,3,transition,DG Hilar Ectopic Granule,CA3c Pyramidal,0.0550567880071112
greedy_tree_path,DG Semilunar Granule,4,transition,CA3c Pyramidal,CA1 Pyramidal,85609.60976338176
greedy_tree_path,DG Semilunar Granule,5,transition,CA1 Pyramidal,MEC LV VI Pyramidal Polymorphic,13564.64480225756
greedy_tree_path,DG Semilunar Granule,6,transition,MEC LV VI Pyramidal Polymorphic,EC LIV VI Deep Multipolar Principal,86.77596588341953
greedy_tree_path,DG Semilunar Granule,7,transition,EC LIV VI Deep Multipolar Principal,LEC LVI Multipolar Pyramidal,2246.3636143897743
greedy_tree_path,DG Semilunar Granule,8,transition,LEC LVI Multipolar Pyramidal,LEC LIII Multipolar Principal,304.0317537911717
greedy_tree_path,DG Semilunar Granule,9,transition,LEC LIII Multipolar Principal,LEC LIII Complex Pyramidal,556.0635991085179
greedy_tree_path,DG Semilunar Granule,10,transition,LEC LIII Complex Pyramidal,EC LIII Pyramidal Stellate,538.1000722266449
greedy_tree_path,DG Semilunar Granule,11,transition,EC LIII Pyramidal Stellate,MEC LIII Complex Pyramidal,647.4324185181202
greedy_tree_path,DG Semilunar Granule,12,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,DG Semilunar Granule,13,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
greedy_tree_path,DG Semilunar Granule,14,transition,CA3 Granule,CA3 Pyramidal,0.942018883295193
greedy_tree_path,DG Semilunar Granule,15,transition,CA3 Pyramidal,CA2 Pyramidal,12467.302061608583
greedy_tree_path,DG Semilunar Granule,16,transition,CA2 Pyramidal,CA1 Radiatum Giant,263.0645063940111
greedy_tree_path,EC LI II Multipolar Pyramidal,1,transition,EC LI II Multipolar Pyramidal,MEC LIII Bipolar Complex Pyramidal,30698.001365671505
greedy_tree_path,EC LI II Multipolar Pyramidal,2,transition,MEC LIII Bipolar Complex Pyramidal,MEC LIII Complex Pyramidal,861.1914192115519
greedy_tree_path,EC LI II Multipolar Pyramidal,3,transition,MEC LIII Complex Pyramidal,MEC LII Stellate,1193.0847203135872
greedy_tree_path,EC LI II Multipolar Pyramidal,4,transition,MEC LII Stellate,CA3 Granule,19640.6765649223
