sender,receiver,inhibitory_weight,is_self_connection,baseline_terminal_peak,ablated_terminal_peak,delta_terminal_peak
CA1 Trilaminar,CA1 O LM,0.0006946598329258991,False,0.0008288548062565291,0.0008288483086115201,-6.497645008954507e-09
CA1 Basket CCK+,CA1 Radial Trilaminar,0.07056173590978469,False,0.0008288548062565291,0.000828847805681501,-7.000575028091177e-09
CA1 Trilaminar,CA1 Radial Trilaminar,0.00911085123061506,False,0.0008288548062565291,0.000828847787582143,-7.018674386041063e-09
CA1 Trilaminar,CA1 Ivy,0.003117678952547953,False,0.0008288548062565291,0.0008288477361006073,-7.070155921763861e-09
CA1 Back Projection,CA1 Neurogliaform,0.003193699571351163,False,0.0008288548062565291,0.0008288476206508396,-7.185605689456753e-09
CA1 Ivy,CA2 Wide Arbor Basket,0.0006083136922484975,False,0.0008288548062565291,0.0008288474655156545,-7.340740874536844e-09
CA3 Mossy Fiber Associated ORDEN,CA3 Basket CCK+,0.0002805858891955016,False,0.0008288548062565291,0.0008288472567375785,-7.54951895052744e-09
CA1 Radial Trilaminar,CA1 Back Projection,0.00062357856858071,False,0.0008288548062565291,0.0008288471132063042,-7.69305022484991e-09
CA1 Trilaminar,CA1 Schaffer Collateral Associated,0.0006094556030018624,False,0.0008288548062565291,0.0008288470986349144,-7.707621614626119e-09
CA2 Wide Arbor Basket,CA2 Bistratified,0.04412549236316661,False,0.0008288548062565291,0.0008288470432281,-7.76302842907077e-09
CA1 Perforant Path Associated,DG Total Molecular Layer,0.0005740403839245011,False,0.0008288548062565291,0.0008288464248263446,-8.381430184438432e-09
CA1 Perforant Path Associated,CA1 Perforant Path Associated QuadD,0.012688415861184802,False,0.0008288548062565291,0.0008288464024193938,-8.403837135299158e-09
CA3 Trilaminar,CA3 Basket CCK+,0.004430871617750692,False,0.0008288548062565291,0.0008288462047764766,-8.601480052414061e-09
CA1 Bistratified,CA1 Bistratified,0.0067939990470739136,True,0.0008288548062565291,0.0008288460896832774,-8.716573251708014e-09
CA1 Horizontal Basket,CA1 OR LM,0.011096004407924699,False,0.0008288548062565291,0.0008288455882312457,-9.218025283407386e-09
CA3 O LM,CA3 O LM,0.00763036398380327,True,0.0008288548062565291,0.0008288455032242158,-9.30303231325147e-09
CA3 O LM,CA3 LMR Targeting,0.014058020147924401,False,0.0008288548062565291,0.0008288453499761427,-9.456280386337113e-09
DG Neurogliaform,SUB CA1 Projecting Pyramidal,0.0002863740452579006,False,0.0008288548062565291,0.0008288452042113415,-9.602045187608044e-09
CA1 Bistratified,CA2 Wide Arbor Basket,0.00031212342144871336,False,0.0008288548062565291,0.0008288451810646767,-9.625191852314502e-09
DG HIPP,DG Basket,0.014075133712562077,False,0.0008288548062565291,0.000828844831237801,-9.975018728006733e-09
CA1 Schaffer Collateral Associated,CA2 Wide Arbor Basket,0.0006079014160869001,False,0.0008288548062565291,0.0008288445843197708,-1.0221936758299764e-08
CA1 Perforant Path Associated,DG MOLAX,0.0008191698630521372,False,0.0008288548062565291,0.0008288444598726986,-1.0346383830413253e-08
CA1 R Receiving Apical Targeting,CA1 R Receiving Apical Targeting,0.0038968360559231453,True,0.0008288548062565291,0.0008288438191777667,-1.0987078762308804e-08
CA2 Wide Arbor Basket,CA1 OR LM,0.02311383477301559,False,0.0008288548062565291,0.0008288437954227366,-1.1010833792478303e-08
CA1 Back Projection,CA3 Trilaminar,0.0008607775550575837,False,0.0008288548062565291,0.000828843742216858,-1.1064039671091798e-08
CA3 Trilaminar,CA3 Basket,0.012584499983019271,False,0.0008288548062565291,0.0008288437010473465,-1.1105209182576611e-08
CA1 Bistratified,CA1 R Receiving Apical Targeting,0.014427678230548632,False,0.0008288548062565291,0.0008288436807854485,-1.1125471080530337e-08
CA1 Back Projection,CA1 Perforant Path Associated QuadD,0.060399334919966116,False,0.0008288548062565291,0.0008288436080503684,-1.1198206160641967e-08
CA3 Trilaminar,CA1 Pyramidal,0.0013162842806354643,False,0.0008288548062565291,0.0008288435380640596,-1.1268192469490908e-08
CA1 Oriens Alveus,CA2 Wide Arbor Basket,0.0002041218164157949,False,0.0008288548062565291,0.0008288423523413865,-1.2453915142532877e-08
CA1 R Receiving Apical Targeting,CA1 LMR,0.009988111379546543,False,0.0008288548062565291,0.0008288422873047016,-1.2518951827446279e-08
CA3 Mossy Fiber Associated ORDEN,CA3 Basket,0.0010381694811632425,False,0.0008288548062565291,0.0008288421111177129,-1.269513881616436e-08
DG MOLAX,DG Total Molecular Layer,0.00694166333999014,False,0.0008288548062565291,0.0008288418697970703,-1.2936459458778166e-08
CA1 Back Projection,CA1 R Receiving Apical Targeting,0.009118576881487948,False,0.0008288548062565291,0.0008288407758339769,-1.4030422552176354e-08
CA1 Trilaminar,CA1 O LMR,0.0012161997467273866,False,0.0008288548062565291,0.0008288399313102067,-1.4874946322319775e-08
DG HIPP,DG AIPRIM,0.02624574758336506,False,0.0008288548062565291,0.0008288384197789778,-1.6386477551277347e-08
DG MOLAX,DG MOLAX,0.01008237765768876,True,0.0008288548062565291,0.0008288384136668214,-1.6392589707631307e-08
CA2 Wide Arbor Basket,CA3 Mossy Fiber Associated ORDEN,0.04490219572347981,False,0.0008288548062565291,0.000828837179689812,-1.762656671707233e-08
CA1 Back Projection,CA3 Horizontal Axo Axonic,0.007459422759714256,False,0.0008288548062565291,0.0008288367407103389,-1.8065546190178423e-08
CA1 Back Projection,CA1 Bistratified,0.007278095925147721,False,0.0008288548062565291,0.0008288360451627351,-1.8761093793957795e-08
CA1 Basket,CA1 OR LM,0.014743965275912011,False,0.0008288548062565291,0.0008288358551869564,-1.895106957266416e-08
CA2 Basket,CA2 Bistratified,0.04013531472804447,False,0.0008288548062565291,0.0008288356362125578,-1.9170043971282122e-08
CA1 Back Projection,CA1 LMR,0.028401341752023863,False,0.0008288548062565291,0.0008288355203825425,-1.928587398656624e-08
CA3 Basket CCK+,CA3 Mossy Fiber Associated ORDEN,0.13278272629536952,False,0.0008288548062565291,0.0008288352704463169,-1.9535810212144983e-08
CA1 Radiatum,CA1 Pyramidal,7.272364075155555e-05,False,0.0008288548062565291,0.0008288336134981219,-2.1192758407114626e-08
CA1 Back Projection,DG MOLAX,0.005205696345120822,False,0.0008288548062565291,0.0008288333107236086,-2.1495532920474958e-08
CA2 Wide Arbor Basket,CA1 Bistratified,0.024529988233358252,False,0.0008288548062565291,0.0008288332834682139,-2.1522788315139242e-08
CA1 Trilaminar,CA1 OR LM,0.0025232815826650087,False,0.0008288548062565291,0.0008288329088314622,-2.1897425066881755e-08
DG MOLAX,DG Basket,0.009049054622858689,False,0.0008288548062565291,0.0008288321698163689,-2.2636440160143066e-08
CA1 Back Projection,CA3 Mossy Fiber Associated ORDEN,0.022281991952737144,False,0.0008288548062565291,0.0008288321450765771,-2.2661179951955455e-08
CA1 Back Projection,DG Basket,0.003599020540253903,False,0.0008288548062565291,0.0008288317499152976,-2.3056341231413383e-08
CA1 Back Projection,DG Total Molecular Layer,0.00485843908971299,False,0.0008288548062565291,0.0008288316160002488,-2.3190256280276704e-08
CA1 Radial Trilaminar,CA1 Pyramidal,0.00022539254509128714,False,0.0008288548062565291,0.0008288313651033031,-2.3441153225965683e-08
CA1 Perforant Path Associated,DG Basket,0.0012937734253192705,False,0.0008288548062565291,0.0008288294552316288,-2.535102490029608e-08
CA1 Horizontal Axo Axonic,CA1 Pyramidal,0.00015286684715258388,False,0.0008288548062565291,0.0008288283166541957,-2.6489602333369146e-08
DG AIPRIM,DG HICAP,0.09797563820434929,False,0.0008288548062565291,0.0008288255607259257,-2.9245530603358785e-08
CA1 Perforant Path Associated,CA1 Neurogliaform,0.004074762049196826,False,0.0008288548062565291,0.0008288249110727174,-2.989518381164933e-08
DG Total Molecular Layer,DG Total Molecular Layer,0.017057509900751326,True,0.0008288548062565291,0.0008288248684565242,-2.993780000488423e-08
CA3 LMR Targeting,CA3 LMR Targeting,0.015417493514337834,True,0.0008288548062565291,0.0008288241122713695,-3.069398515952518e-08
DG AIPRIM,DG HIPP,0.0028431636367600827,False,0.0008288548062565291,0.0008288240855774744,-3.072067905466637e-08
CA2 Wide Arbor Basket,CA2 Basket,0.023807343267957443,False,0.0008288548062565291,0.0008288240445644132,-3.0761692115886113e-08
CA1 Back Projection,CA3 Mossy Fiber Associated,0.01047530549193402,False,0.0008288548062565291,0.0008288233450259252,-3.1461230603894476e-08
DG Basket,DG MOLAX,0.01736812467923193,False,0.0008288548062565291,0.0008288228813457195,-3.1924910809562335e-08
CA1 Horizontal Basket,CA1 Bistratified,0.015638817948622964,False,0.0008288548062565291,0.0008288215537440196,-3.3252512509469e-08
CA3 Mossy Fiber Associated,CA3 Basket CCK+,0.0009869758781649394,False,0.0008288548062565291,0.0008288206285580757,-3.417769845338436e-08
CA1 Perforant Path Associated,DG AIPRIM,0.002023004461537018,False,0.0008288548062565291,0.0008288198564882085,-3.494976832051598e-08
CA1 Recurrent O LM,CA1 Pyramidal,0.00024013103637384223,False,0.0008288548062565291,0.0008288196350403704,-3.517121615866439e-08
DG Total Molecular Layer,DG Basket,0.015190010900310361,False,0.0008288548062565291,0.0008288195197738329,-3.5286482696190134e-08
CA1 Basket,CA1 Bistratified,0.014089615436520781,False,0.0008288548062565291,0.0008288190921363327,-3.571412019636247e-08
CA1 Trilaminar,CA1 LMR,0.007503511604205264,False,0.0008288548062565291,0.0008288164728649381,-3.8333391590974694e-08
CA3 Basket,CA3 Mossy Fiber Associated ORDEN,0.05497198990343929,False,0.0008288548062565291,0.0008288160613074416,-3.8744949087498974e-08
DG Total Molecular Layer,DG MOLAX,0.025924170297186713,False,0.0008288548062565291,0.0008288159895779951,-3.881667853399169e-08
DG Basket,DG Total Molecular Layer,0.018852455774468767,False,0.0008288548062565291,0.0008288147552293398,-4.0051027189289164e-08
CA1 Perforant Path Associated,CA1 LMR,0.018374882017408667,False,0.0008288548062565291,0.0008288143728759081,-4.0433380620974284e-08
CA1 Trilaminar,CA1 Perforant Path Associated QuadD,0.028409210748178884,False,0.0008288548062565291,0.0008288143038313899,-4.050242513912398e-08
CA1 Basket CCK+,CA1 OR LM,0.031276208767920845,False,0.0008288548062565291,0.000828810588108922,-4.4218147607008595e-08
CA1 O LM,CA1 Pyramidal,0.000373300659347227,False,0.0008288548062565291,0.0008288088435417719,-4.5962714757146785e-08
DG Basket,DG Basket,0.015916787954213116,True,0.0008288548062565291,0.0008288088196089123,-4.598664761674715e-08
CA3 Mossy Fiber Associated,CA3 Basket,0.0029313588543528825,False,0.0008288548062565291,0.0008288086849062378,-4.612135029121757e-08
DG MOLAX,DG AIPRIM,0.022206509290287522,False,0.0008288548062565291,0.0008288058937535014,-4.8912503027671514e-08
CA1 Horizontal Basket,CA1 Pyramidal,0.003995912845044576,False,0.0008288548062565291,0.0008288042629735368,-5.0543282992298114e-08
CA1 O LMR,CA1 Pyramidal,0.000494057793469234,False,0.0008288548062565291,0.0008288009599693733,-5.3846287155772006e-08
CA2 Bistratified,CA2 Wide Arbor Basket,0.0016709297582721168,False,0.0008288548062565291,0.0008288000207596907,-5.478549683834641e-08
CA1 Ivy,CA1 Back Projection,0.006717531651453814,False,0.0008288548062565291,0.0008287943823695049,-6.04238870241915e-08
CA1 Trilaminar,CA1 R Receiving Apical Targeting,0.005454739721698323,False,0.0008288548062565291,0.0008287918006061007,-6.300565042838355e-08
CA1 Back Projection,CA2 Wide Arbor Basket,0.0010431655190303512,False,0.0008288548062565291,0.0008287902295795426,-6.457667698646884e-08
CA1 Schaffer Collateral Associated,CA1 Back Projection,0.0051607845933367945,False,0.0008288548062565291,0.0008287868429727758,-6.796328375329851e-08
