variant,omega,gain_2norm,gain_fro
no_self,35.01900461431709,0.09609739163770564,0.285598012169185
no_self,39.349272630958495,0.07771218711473546,0.25017287344469225
no_self,44.21499907374487,0.06308300626250696,0.2197825625836845
no_self,49.68239594734388,0.0514234832088123,0.19355563278817098
no_self,55.82586268862695,0.04211100239576174,0.17080275991480298
no_self,62.728998581962436,0.03465321527901749,0.15097427477201722
no_self,70.48574036451903,0.028661361279675456,0.133627792139143
no_self,79.20164050192548,0.023828969176137617,0.11840368123725976
no_self,88.99530352885225,0.019914821982073005,0.1050065427402676
no_self,100.0,0.016729318444387048,0.09319123596631593
