edge_label,source_node,target_node,source_idx,target_idx,original_weight
CA3c Pyramidal→CA3 Trilaminar,CA3c Pyramidal,CA3 Trilaminar,14,22,40886.40713
CA3c Pyramidal→CA2 Basket,CA3c Pyramidal,CA2 Basket,14,23,1119782.669
CA3c Pyramidal→CA2 Wide Arbor Basket,CA3c Pyramidal,CA2 Wide Arbor Basket,14,24,541851.3914
CA3c Pyramidal→CA2 Bistratified,CA3c Pyramidal,CA2 Bistratified,14,25,1005433.811
CA3c Pyramidal→CA2 SP SR,CA3c Pyramidal,CA2 SP SR,14,26,636442.6318
CA3c Pyramidal→CA1 Pyramidal,CA3c Pyramidal,CA1 Pyramidal,14,27,2946974.519
CA3c Pyramidal→CA1 Radiatum Giant,CA3c Pyramidal,CA1 Radiatum Giant,14,28,2221043.972
CA3c Pyramidal→CA1 Axo Axonic,CA3c Pyramidal,CA1 Axo Axonic,14,29,2006266.478
CA3c Pyramidal→CA1 Horizontal Axo Axonic,CA3c Pyramidal,CA1 Horizontal Axo Axonic,14,30,52687.91822
CA3c Pyramidal→CA1 Basket,CA3c Pyramidal,CA1 Basket,14,31,2116029.98
CA3c Pyramidal→CA1 Basket CCK+,CA3c Pyramidal,CA1 Basket CCK+,14,32,2795834.075
CA3c Pyramidal→CA1 Horizontal Basket,CA3c Pyramidal,CA1 Horizontal Basket,14,33,111868.5427
CA3c Pyramidal→CA1 Ivy,CA3c Pyramidal,CA1 Ivy,14,34,1842331.582
CA3c Pyramidal→CA1 LMR,CA3c Pyramidal,CA1 LMR,14,35,826291.8396
CA3c Pyramidal→CA1 Recurrent O LM,CA3c Pyramidal,CA1 Recurrent O LM,14,38,274726.7905
CA3c Pyramidal→CA1 O LMR,CA3c Pyramidal,CA1 O LMR,14,39,115467.0882
CA3c Pyramidal→CA1 Oriens Alveus,CA3c Pyramidal,CA1 Oriens Alveus,14,40,1743888.309
CA3c Pyramidal→CA1 Oriens Bistratified,CA3c Pyramidal,CA1 Oriens Bistratified,14,41,81403.51345
CA3c Pyramidal→CA1 OR LM,CA3c Pyramidal,CA1 OR LM,14,42,2982732.151
CA3c Pyramidal→CA1 Perforant Path Associated,CA3c Pyramidal,CA1 Perforant Path Associated,14,43,1334059.612
CA3c Pyramidal→CA1 Perforant Path Associated QuadD,CA3c Pyramidal,CA1 Perforant Path Associated QuadD,14,44,2795497.155
CA3c Pyramidal→CA1 Radiatum,CA3c Pyramidal,CA1 Radiatum,14,45,1362763.212
CA3c Pyramidal→CA1 R Receiving Apical Targeting,CA3c Pyramidal,CA1 R Receiving Apical Targeting,14,46,2023667.388
CA3c Pyramidal→CA1 SO SO,CA3c Pyramidal,CA1 SO SO,14,48,154057.071
CA3c Pyramidal→CA1 Trilaminar,CA3c Pyramidal,CA1 Trilaminar,14,49,274426.1153
CA3c Pyramidal→CA1 Radial Trilaminar,CA3c Pyramidal,CA1 Radial Trilaminar,14,50,1107880.821
CA3 Granule→CA3 Pyramidal,CA3 Granule,CA3 Pyramidal,15,13,76.58690108
CA3 Granule→CA3c Pyramidal,CA3 Granule,CA3c Pyramidal,15,14,133.2249581
CA3 Granule→CA3 Axo Axonic,CA3 Granule,CA3 Axo Axonic,15,16,68.72718369
CA3 Granule→CA3 Basket,CA3 Granule,CA3 Basket,15,17,75.53845131
CA3 Granule→CA3 LMR Targeting,CA3 Granule,CA3 LMR Targeting,15,18,53.25509613
CA3 Granule→CA3 Lucidum ORAX,CA3 Granule,CA3 Lucidum ORAX,15,19,80.26403534
CA3 Granule→CA3 Spiny Lucidum,CA3 Granule,CA3 Spiny Lucidum,15,20,240.6769874
CA3 Granule→CA3 Mossy Fiber Associated ORDEN,CA3 Granule,CA3 Mossy Fiber Associated ORDEN,15,21,57.56240378
CA3 Axo Axonic→CA3 Pyramidal,CA3 Axo Axonic,CA3 Pyramidal,16,13,-393.0578362
CA3 Axo Axonic→CA3c Pyramidal,CA3 Axo Axonic,CA3c Pyramidal,16,14,-1201.911623
CA3 Basket→CA3 Pyramidal,CA3 Basket,CA3 Pyramidal,17,13,-13694.30406
CA3 Basket→CA3c Pyramidal,CA3 Basket,CA3c Pyramidal,17,14,-12332.37145
CA3 Basket→CA3 Axo Axonic,CA3 Basket,CA3 Axo Axonic,17,16,-5265.150496
