triad_id,motif,rees_superpattern,rees_superpattern_name,node_a,node_b,node_c,node_ei_signature,edge_ei_signature,region_signature,region_count,within_region,nonself_edge_count,self_edge_count,edge_count,nonself_total_weight,nonself_total_abs_weight,self_total_weight,self_total_abs_weight,total_weight,total_abs_weight,mean_abs_weight,spectral_radius,max_real,edge_1_pre,edge_1_post,edge_1_pre_class,edge_1_post_class,edge_1_pre_region,edge_1_post_region,edge_1_weight,edge_1_abs_weight,edge_1_edge_type,edge_2_pre,edge_2_post,edge_2_pre_class,edge_2_post_class,edge_2_pre_region,edge_2_post_region,edge_2_weight,edge_2_abs_weight,edge_2_edge_type,edge_3_pre,edge_3_post,edge_3_pre_class,edge_3_post_class,edge_3_pre_region,edge_3_post_region,edge_3_weight,edge_3_abs_weight,edge_3_edge_type,edge_4_pre,edge_4_post,edge_4_pre_class,edge_4_post_class,edge_4_pre_region,edge_4_post_region,edge_4_weight,edge_4_abs_weight,edge_4_edge_type,edge_5_pre,edge_5_post,edge_5_pre_class,edge_5_post_class,edge_5_pre_region,edge_5_post_region,edge_5_weight,edge_5_abs_weight,edge_5_edge_type
T027748,021U,A,simple regulation,CA1 LMR,CA3c Pyramidal,EC LIII Pyramidal Stellate,2E-1I,E->I + E->I,CA1-CA3c-EC,3,False,2,3,5,370578.61174625513,370578.61174625513,914.9916989016705,1085.1025660651453,371493.6034451568,371663.7143123203,74332.74286246407,639.8640695461409,639.8640695461409,CA3c Pyramidal,CA1 LMR,e,i,CA3c,CA1,343043.32011398184,343043.32011398184,between_nodes,EC LIII Pyramidal Stellate,CA1 LMR,e,i,EC,CA1,27535.291632273314,27535.291632273314,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,CA3c Pyramidal,CA3c Pyramidal,e,e,CA3c,CA3c,639.8640695461409,639.8640695461409,self,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,e,e,EC,EC,360.1830629372671,360.1830629372671,self
T028145,021C,B,three-node chain,CA1 LMR,DG Neurogliaform,SUB CA1 Projecting Pyramidal,1E-2I,I->E + E->I,CA1-DG-SUB,3,False,2,3,5,523.3798492051185,535.6298125532942,875.1097592886279,1045.3759334361137,1398.4896084937463,1581.0057459894078,316.2011491978816,960.2428463623708,960.2428463623708,DG Neurogliaform,SUB CA1 Projecting Pyramidal,i,e,DG,SUB,-6.124981674087877,6.124981674087877,between_nodes,SUB CA1 Projecting Pyramidal,CA1 LMR,e,i,SUB,CA1,529.5048308792063,529.5048308792063,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,DG Neurogliaform,DG Neurogliaform,i,i,DG,DG,-0.0776534920054159,0.0776534920054159,self,SUB CA1 Projecting Pyramidal,SUB CA1 Projecting Pyramidal,e,e,SUB,SUB,960.2428463623708,960.2428463623708,self
T028197,021C,B,three-node chain,CA1 LMR,EC LI II Multipolar Pyramidal,EC LIII Pyramidal,2E-1I,E->E + E->I,CA1-EC,2,False,2,3,5,26118.220813128697,26118.220813128697,18228.568089753095,18398.67895691657,44346.78890288179,44516.89977004527,8903.379954009053,18296.078460202098,18296.078460202098,EC LI II Multipolar Pyramidal,EC LIII Pyramidal,e,e,EC,EC,24063.94192432837,24063.94192432837,between_nodes,EC LIII Pyramidal,CA1 LMR,e,i,EC,CA1,2054.2788888003256,2054.2788888003256,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LI II Multipolar Pyramidal,EC LI II Multipolar Pyramidal,e,e,EC,EC,18296.078460202098,18296.078460202098,self,EC LIII Pyramidal,EC LIII Pyramidal,e,e,EC,EC,17.545063132735347,17.545063132735347,self
T028198,021C,B,three-node chain,CA1 LMR,EC LI II Multipolar Pyramidal,EC LIII Pyramidal Stellate,2E-1I,E->E + E->I,CA1-EC,2,False,2,3,5,46168.694931220125,46168.694931220125,18571.20608955763,18741.3169567211,64739.901020777754,64910.011887941226,12982.002377588247,18296.078460202098,18296.078460202098,EC LI II Multipolar Pyramidal,EC LIII Pyramidal Stellate,e,e,EC,EC,18633.40329894681,18633.40329894681,between_nodes,EC LIII Pyramidal Stellate,CA1 LMR,e,i,EC,CA1,27535.291632273314,27535.291632273314,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LI II Multipolar Pyramidal,EC LI II Multipolar Pyramidal,e,e,EC,EC,18296.078460202098,18296.078460202098,self,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,e,e,EC,EC,360.1830629372671,360.1830629372671,self
T028219,021C,B,three-node chain,CA1 LMR,EC LI II Pyramidal Fan,EC LIII Pyramidal,2E-1I,E->E + E->I,CA1-EC,2,False,2,3,5,3712.2715045769664,3712.2715045769664,303.2440905595386,473.3549577230135,4015.515595136505,4185.62646229998,837.1252924599961,370.7544610085407,370.7544610085407,EC LI II Pyramidal Fan,EC LIII Pyramidal,e,e,EC,EC,1657.9926157766406,1657.9926157766406,between_nodes,EC LIII Pyramidal,CA1 LMR,e,i,EC,CA1,2054.2788888003256,2054.2788888003256,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LI II Pyramidal Fan,EC LI II Pyramidal Fan,e,e,EC,EC,370.7544610085407,370.7544610085407,self,EC LIII Pyramidal,EC LIII Pyramidal,e,e,EC,EC,17.545063132735347,17.545063132735347,self
T028220,021C,B,three-node chain,CA1 LMR,EC LI II Pyramidal Fan,EC LIII Pyramidal Stellate,2E-1I,E->E + E->I,CA1-EC,2,False,2,3,5,29440.09597232416,29440.09597232416,645.8820903640703,815.9929575275453,30085.97806268823,30256.088929851707,6051.2177859703415,370.7544610085407,370.7544610085407,EC LI II Pyramidal Fan,EC LIII Pyramidal Stellate,e,e,EC,EC,1904.8043400508457,1904.8043400508457,between_nodes,EC LIII Pyramidal Stellate,CA1 LMR,e,i,EC,CA1,27535.291632273314,27535.291632273314,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LI II Pyramidal Fan,EC LI II Pyramidal Fan,e,e,EC,EC,370.7544610085407,370.7544610085407,self,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,e,e,EC,EC,360.1830629372671,360.1830629372671,self
T028239,021C,B,three-node chain,CA1 LMR,EC LI II Pyramidal Fan,SUB CA1 Projecting Pyramidal,2E-1I,E->E + E->I,CA1-EC-SUB,3,False,2,3,5,1216.8560844661192,1216.8560844661192,1245.941873789174,1416.052740952649,2462.797958255293,2632.908825418768,526.5817650837537,960.2428463623708,960.2428463623708,EC LI II Pyramidal Fan,SUB CA1 Projecting Pyramidal,e,e,EC,SUB,687.3512535869128,687.3512535869128,between_nodes,SUB CA1 Projecting Pyramidal,CA1 LMR,e,i,SUB,CA1,529.5048308792063,529.5048308792063,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LI II Pyramidal Fan,EC LI II Pyramidal Fan,e,e,EC,EC,370.7544610085407,370.7544610085407,self,SUB CA1 Projecting Pyramidal,SUB CA1 Projecting Pyramidal,e,e,SUB,SUB,960.2428463623708,960.2428463623708,self
T028260,021C,B,three-node chain,CA1 LMR,EC LII III Pyramidal Tripolar,SUB CA1 Projecting Pyramidal,2E-1I,E->E + E->I,CA1-EC-SUB,3,False,2,3,5,966.0076045397077,966.0076045397077,3152.4852551377344,3322.5961223012096,4118.4928596774425,4288.603726840917,857.7207453681834,2277.297842357101,2277.297842357101,EC LII III Pyramidal Tripolar,SUB CA1 Projecting Pyramidal,e,e,EC,SUB,436.50277366050136,436.50277366050136,between_nodes,SUB CA1 Projecting Pyramidal,CA1 LMR,e,i,SUB,CA1,529.5048308792063,529.5048308792063,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LII III Pyramidal Tripolar,EC LII III Pyramidal Tripolar,e,e,EC,EC,2277.297842357101,2277.297842357101,self,SUB CA1 Projecting Pyramidal,SUB CA1 Projecting Pyramidal,e,e,SUB,SUB,960.2428463623708,960.2428463623708,self
T028264,021D,C,single input module,CA1 LMR,EC LIII Pyramidal,EC LIV VI Deep Multipolar Principal,2E-1I,E->I + E->E,CA1-EC,2,False,2,3,5,2097.6838146280825,2097.6838146280825,1901.833763303718,2071.944630467193,3999.5175779318,4169.628445095275,833.9256890190551,1969.34413375272,1969.34413375272,EC LIII Pyramidal,CA1 LMR,e,i,EC,CA1,2054.2788888003256,2054.2788888003256,between_nodes,EC LIII Pyramidal,EC LIV VI Deep Multipolar Principal,e,e,EC,EC,43.40492582775664,43.40492582775664,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LIII Pyramidal,EC LIII Pyramidal,e,e,EC,EC,17.545063132735347,17.545063132735347,self,EC LIV VI Deep Multipolar Principal,EC LIV VI Deep Multipolar Principal,e,e,EC,EC,1969.34413375272,1969.34413375272,self
T028265,021D,C,single input module,CA1 LMR,EC LIII Pyramidal,EC LV Deep Pyramidal,2E-1I,E->I + E->E,CA1-EC,2,False,2,3,5,2085.7612708500583,2085.7612708500583,330.66783185127963,500.7786990147545,2416.4291027013383,2586.539969864813,517.3079939729625,398.1782023002817,398.1782023002817,EC LIII Pyramidal,CA1 LMR,e,i,EC,CA1,2054.2788888003256,2054.2788888003256,between_nodes,EC LIII Pyramidal,EC LV Deep Pyramidal,e,e,EC,EC,31.48238204973288,31.48238204973288,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LIII Pyramidal,EC LIII Pyramidal,e,e,EC,EC,17.545063132735347,17.545063132735347,self,EC LV Deep Pyramidal,EC LV Deep Pyramidal,e,e,EC,EC,398.1782023002817,398.1782023002817,self
T028270,021C,B,three-node chain,CA1 LMR,EC LIII Pyramidal,MEC LII Oblique Pyramidal,2E-1I,E->I + E->E,CA1-EC-MEC,3,False,2,2,4,2066.265592542367,2066.265592542367,-67.51037044900211,102.60049671447281,1998.7552220933649,2168.86608925684,542.2165223142099,85.05543358173746,17.545063132735347,EC LIII Pyramidal,CA1 LMR,e,i,EC,CA1,2054.2788888003256,2054.2788888003256,between_nodes,MEC LII Oblique Pyramidal,EC LIII Pyramidal,e,e,MEC,EC,11.986703742041488,11.986703742041488,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LIII Pyramidal,EC LIII Pyramidal,e,e,EC,EC,17.545063132735347,17.545063132735347,self,,,,,,,,,
T028271,021C,B,three-node chain,CA1 LMR,EC LIII Pyramidal,MEC LII Stellate,2E-1I,E->I + E->E,CA1-EC-MEC,3,False,2,2,4,2728.356981857165,2728.356981857165,-67.51037044900211,102.60049671447281,2660.846611408163,2830.9574785716377,707.7393696429094,85.05543358173746,17.545063132735347,EC LIII Pyramidal,CA1 LMR,e,i,EC,CA1,2054.2788888003256,2054.2788888003256,between_nodes,MEC LII Stellate,EC LIII Pyramidal,e,e,MEC,EC,674.0780930568393,674.0780930568393,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LIII Pyramidal,EC LIII Pyramidal,e,e,EC,EC,17.545063132735347,17.545063132735347,self,,,,,,,,,
T028279,021D,C,single input module,CA1 LMR,EC LIII Pyramidal,MEC LV VI Pyramidal Polymorphic,2E-1I,E->I + E->E,CA1-EC-MEC,3,False,2,3,5,2102.179765223019,2102.179765223019,1268.549715972438,1438.660583135913,3370.729481195457,3540.840348358932,708.1680696717864,1336.06008642144,1336.06008642144,EC LIII Pyramidal,CA1 LMR,e,i,EC,CA1,2054.2788888003256,2054.2788888003256,between_nodes,EC LIII Pyramidal,MEC LV VI Pyramidal Polymorphic,e,e,EC,MEC,47.90087642269345,47.90087642269345,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LIII Pyramidal,EC LIII Pyramidal,e,e,EC,EC,17.545063132735347,17.545063132735347,self,MEC LV VI Pyramidal Polymorphic,MEC LV VI Pyramidal Polymorphic,e,e,MEC,MEC,1336.06008642144,1336.06008642144,self
T028283,021C,B,three-node chain,CA1 LMR,EC LIII Pyramidal Stellate,EC LIV VI Deep Multipolar Principal,2E-1I,E->I + E->E,CA1-EC,2,False,2,3,5,28546.83734595967,28546.83734595967,2244.4717631082494,2414.5826302717246,30791.30910906792,30961.419976231395,6192.283995246278,1969.34413375272,1969.34413375272,EC LIII Pyramidal Stellate,CA1 LMR,e,i,EC,CA1,27535.291632273314,27535.291632273314,between_nodes,EC LIV VI Deep Multipolar Principal,EC LIII Pyramidal Stellate,e,e,EC,EC,1011.5457136863564,1011.5457136863564,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,e,e,EC,EC,360.1830629372671,360.1830629372671,self,EC LIV VI Deep Multipolar Principal,EC LIV VI Deep Multipolar Principal,e,e,EC,EC,1969.34413375272,1969.34413375272,self
T028287,021C,B,three-node chain,CA1 LMR,EC LIII Pyramidal Stellate,LEC LVI Multipolar Pyramidal,2E-1I,E->I + E->E,CA1-EC-LEC,3,False,2,3,5,27674.285834822673,27674.285834822673,487.79518700081974,657.9060541642947,28162.08102182349,28332.191888986967,5666.4383777973935,360.1830629372671,360.1830629372671,EC LIII Pyramidal Stellate,CA1 LMR,e,i,EC,CA1,27535.291632273314,27535.291632273314,between_nodes,LEC LVI Multipolar Pyramidal,EC LIII Pyramidal Stellate,e,e,LEC,EC,138.9942025493572,138.9942025493572,between_nodes,CA1 LMR,CA1 LMR,i,i,CA1,CA1,-85.05543358173746,85.05543358173746,self,EC LIII Pyramidal Stellate,EC LIII Pyramidal Stellate,e,e,EC,EC,360.1830629372671,360.1830629372671,self,LEC LVI Multipolar Pyramidal,LEC LVI Multipolar Pyramidal,e,e,LEC,LEC,212.6675576452901,212.6675576452901,self
