mode,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,cell_index,cell_type,region,ei,loading_rank,loading_real,loading_imag,loading_magnitude,energy_fraction
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,9,CA1 Neurogliaform (I),CA1,i,49,-0.017511057384276635,0.03936606608794778,0.04308508198850388,0.0018563242899561016
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,41,CA3 Mossy Fiber Associated ORDEN (I),CA3,i,50,0.028293694568622376,0.029853841177732907,0.04113131392756366,0.0016917849854077923
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,73,MEC LII III Pyramidal Multiform (E),MEC,e,51,-0.028034983998016905,0.028697110080233595,0.04011838050976271,0.0016094844547261088
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,24,CA1 Recurrent O LM (I),CA1,i,52,0.0378288954682767,0.0064858613437410876,0.03838087713588683,0.0014730917297200404
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,7,CA1 Ivy (I),CA1,i,53,-0.02115555684492198,0.02692630790199811,0.03424300866822206,0.001172583642651931
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,43,CA3 Pyramidal (E),CA3,e,54,-0.031853411148758816,0.005281783067529021,0.03228834207859407,0.0010425370341843087
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,69,EC LV Deep Pyramidal (E),EC,e,55,0.028366680804943145,0.011394768913059506,0.03056974547606763,0.0009345093384715572
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,63,EC LII III Pyramidal Tripolar (E),EC,e,56,-0.030245190378525872,0.003580158290626176,0.03045634703012187,0.0009275890744192131
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,5,CA1 Horizontal Axo Axonic (I),CA1,i,57,-0.02858569686907305,-0.007875231221310484,0.029650654837282027,0.000879161332279636
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,48,DG Axo Axonic (I),DG,i,58,-0.029428435607718045,-0.003021036820246871,0.029583094594495936,0.0008751594857868947
35,-0.003351100043401927,0.0020953731155547895,0.003952272763142517,0,CA1 Axo Axonic (I),CA1,i,59,-0.007447674889901265,-0.02721488532660454,0.02821556032769686,0.0007961178446059009
