mode,dominant_region,dominant_cell_type,dominant_loading,eigenvalue_real,eigenvalue_imag,eigenvalue_magnitude,n_high_loading_cells,n_high_loading_inhibitory,high_loading_inhibitory_cells
66,CA1,CA1 Ivy (I),0.3983683658347243,9.14607047357568e-05,7.642972384178912e-20,9.14607047357568e-05,40,25,"CA1 Ivy (I), CA2 SP SR (I), CA1 Schaffer Collateral Associated (I), CA1 Recurrent O LM (I), CA1 O LMR (I), DG MOPP (I), CA3 Horizontal Axo Axonic (I), CA1 Bistratified (I), DG HIPP (I), CA3 Spiny Lucidum (I), CA3 LMR Targeting (I), DG Basket (I), DG Total Molecular Layer (E), CA1 O LM (I), CA1 Basket (I), DG Neurogliaform (I), CA1 Horizontal Axo Axonic (I), CA3 Axo Axonic (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 Basket CCK+ (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 SO SO (I), CA3 Mossy Fiber Associated (I), CA2 Basket (I), CA1 Oriens Bistratified (I)"
76,CA1,CA1 Radiatum Giant (I),0.439884152015146,1.7072803384001894e-05,-8.961496860819732e-21,1.7072803384001894e-05,33,19,"CA1 O LM (I), DG Neurogliaform (I), CA3 Spiny Lucidum (I), DG MOPP (I), CA3 Trilaminar (I), CA1 O LMR (I), CA2 Wide Arbor Basket (I), CA1 Oriens Bistratified (I), CA1 Recurrent O LM (I), CA1 Bistratified (I), CA1 Quadrilaminar (I), CA3 Mossy Fiber Associated (I), CA2 Basket (I), CA1 Ivy (I), DG HIPP (I), CA2 SP SR (I), CA3 Axo Axonic (I), CA1 Oriens Alveus (I), CA1 Back Projection (E)"
77,CA1,CA1 Radiatum Giant (I),0.4140400854057474,-1.07974011760262e-05,-1.2896738663183665e-05,1.6819920936273997e-05,31,13,"CA1 Oriens Bistratified (I), CA3 Trilaminar (I), CA1 O LMR (I), CA3 Horizontal Axo Axonic (I), DG MOPP (I), CA1 Recurrent O LM (I), DG Neurogliaform (I), CA3 Spiny Lucidum (I), CA1 SO SO (I), CA3 O LM (I), CA1 Bistratified (I), CA1 Schaffer Collateral Associated (I), CA1 Oriens Alveus (I)"
78,CA1,CA1 Recurrent O LM (I),0.5707019820593042,-5.557833368240833e-06,3.01904190765882e-06,6.324881484212289e-06,31,16,"CA1 Recurrent O LM (I), CA1 O LMR (I), CA1 Oriens Bistratified (I), CA1 O LM (I), CA1 Ivy (I), CA3 Horizontal Axo Axonic (I), CA1 Horizontal Axo Axonic (I), CA1 Quadrilaminar (I), CA2 SP SR (I), CA1 Oriens Alveus (I), CA3 Trilaminar (I), DG MOPP (I), CA1 SO SO (I), CA1 Schaffer Collateral Associated (I), DG HIPP (I), CA1 Basket CCK+ (I)"
79,CA1,CA1 Oriens Bistratified (I),0.4669050864182703,-5.557833368240821e-06,-3.0190419076588187e-06,6.324881484212278e-06,23,10,"CA1 Oriens Bistratified (I), CA3 Trilaminar (I), CA1 O LM (I), CA1 O LMR (I), MEC LIII Superficial Trilayered Interneuron (I), CA1 Recurrent O LM (I), CA1 Ivy (I), CA3 Spiny Lucidum (I), CA1 Schaffer Collateral Associated (I), CA3 Horizontal Axo Axonic (I)"
81,CA1,CA1 Oriens Bistratified (I),0.6744735346399479,3.2744812791687494e-06,-1.7734598881228086e-21,3.2744812791687494e-06,28,12,"CA1 Oriens Bistratified (I), CA1 O LM (I), CA3 Trilaminar (I), DG MOPP (I), CA3 Horizontal Axo Axonic (I), CA1 Recurrent O LM (I), MEC LIII Superficial Trilayered Interneuron (I), CA3 Spiny Lucidum (I), CA3 O LM (I), DG Neurogliaform (I), CA1 Horizontal Axo Axonic (I), DG Basket (I)"
16,CA2,CA2 Bistratified (I),0.33417815663359385,0.04867709863781557,-0.013037140705466051,0.0503927273479988,43,31,"CA2 Bistratified (I), CA1 Horizontal Basket (I), CA1 LMR (I), DG HICAP (I), CA3 Mossy Fiber Associated ORDEN (I), CA2 Basket (I), CA1 OR LM (I), CA1 R Receiving Apical Targeting (I), CA3 Lucidum ORAX (I), CA1 Oriens Alveus (I), CA1 Neurogliaform (I), DG HIPROM (I), CA2 Wide Arbor Basket (I), CA3 Basket (I), CA3 O LM (I), CA1 SO SO (I), CA1 Horizontal Axo Axonic (I), DG Total Molecular Layer (E), DG Basket (I), CA3 Basket CCK+ (I), CA1 Basket CCK+ (I), CA1 Axo Axonic (I), CA1 Perforant Path Associated (I), CA1 Basket (I), CA1 Bistratified (I), CA1 Back Projection (E), DG AIPRIM (I), CA1 Quadrilaminar (I), CA3 Mossy Fiber Associated (I), DG MOLAX (I), CA1 Radiatum (I)"
19,CA2,CA2 Bistratified (I),0.3920150898638058,-0.011791845007181594,0.016600180837202595,0.020362063070848733,39,33,"CA2 Bistratified (I), CA3 Lucidum ORAX (I), CA3 O LM (I), CA1 R Receiving Apical Targeting (I), CA2 Basket (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 Horizontal Basket (I), CA1 OR LM (I), CA1 Neurogliaform (I), CA1 LMR (I), DG Total Molecular Layer (E), CA3 LMR Targeting (I), CA1 Perforant Path Associated (I), CA1 Horizontal Axo Axonic (I), CA3 Horizontal Axo Axonic (I), CA1 Oriens Alveus (I), DG MOLAX (I), CA1 Basket CCK+ (I), CA2 Wide Arbor Basket (I), CA1 Bistratified (I), CA3 Mossy Fiber Associated (I), DG HIPROM (I), CA3 Axo Axonic (I), CA1 SO SO (I), CA1 Basket (I), CA1 Radial Trilaminar (I), CA3 Basket (I), DG HICAP (I), DG AIPRIM (I), CA1 Trilaminar (I), CA1 Radiatum (I), CA1 Schaffer Collateral Associated (I), CA3 Basket CCK+ (I)"
20,CA2,CA2 Bistratified (I),0.4209826317377644,-0.011791845007181546,-0.016600180837202577,0.02036206307084869,42,29,"CA2 Bistratified (I), CA3 Mossy Fiber Associated ORDEN (I), CA3 Lucidum ORAX (I), CA3 O LM (I), CA3 LMR Targeting (I), CA1 Neurogliaform (I), CA1 R Receiving Apical Targeting (I), CA1 LMR (I), DG Total Molecular Layer (E), CA2 Basket (I), CA1 Horizontal Basket (I), CA1 OR LM (I), CA1 Oriens Alveus (I), DG MOLAX (I), CA3 Horizontal Axo Axonic (I), CA3 Mossy Fiber Associated (I), CA1 Horizontal Axo Axonic (I), DG HIPROM (I), CA1 Perforant Path Associated (I), CA3 Basket (I), DG HICAP (I), CA1 Radial Trilaminar (I), CA1 Basket (I), CA2 Wide Arbor Basket (I), CA3 Axo Axonic (I), CA1 Radiatum (I), CA1 Basket CCK+ (I), CA1 Bistratified (I), CA1 SO SO (I)"
21,CA2,CA2 Basket (I),0.4641624568718261,-0.0195432492212901,1.190271161380701e-19,0.0195432492212901,25,20,"CA2 Basket (I), CA2 Bistratified (I), CA3 Mossy Fiber Associated (I), DG HIPROM (I), DG MOLAX (I), DG Basket (I), DG Total Molecular Layer (E), DG AIPRIM (I), CA1 Neurogliaform Projecting (I), CA3 Lucidum ORAX (I), CA1 Horizontal Basket (I), CA1 Radial Trilaminar (I), CA3 LMR Targeting (I), CA3 Basket CCK+ (I), DG HIPP (I), DG MOPP (I), CA3 Mossy Fiber Associated ORDEN (I), CA1 Horizontal Axo Axonic (I), CA2 SP SR (I), CA3 Axo Axonic (I)"
