Presynaptic,Postsynaptic,wij
CA3c Pyramidal,CA2 SP SR,636442.6318356859
CA3c Pyramidal,CA1 Pyramidal,2946974.5185329346
CA3c Pyramidal,CA1 Radiatum Giant,2221043.9720433573
CA3c Pyramidal,CA1 Axo Axonic,2006266.478154768
CA3c Pyramidal,CA1 Horizontal Axo Axonic,52687.91822002493
CA3c Pyramidal,CA1 Basket,2116029.980411057
CA3c Pyramidal,CA1 Basket CCK+,2795834.074983893
CA3c Pyramidal,CA1 Horizontal Basket,111868.5426625028
CA3c Pyramidal,CA1 Ivy,1842331.581818685
CA3c Pyramidal,CA1 LMR,826291.8395654251
CA3c Pyramidal,CA1 Recurrent O LM,274726.7904544783
CA3c Pyramidal,CA1 O LMR,115467.08815002012
CA3c Pyramidal,CA1 Oriens Alveus,1743888.3093962292
CA3c Pyramidal,CA1 Oriens Bistratified,81403.51344598243
CA3c Pyramidal,CA1 OR LM,2982732.150530972
CA3c Pyramidal,CA1 Perforant Path Associated,1334059.6116201745
CA3c Pyramidal,CA1 Perforant Path Associated QuadD,2795497.155275865
CA3c Pyramidal,CA1 Radiatum,1362763.212436586
CA3c Pyramidal,CA1 R Receiving Apical Targeting,2023667.388273065
CA3c Pyramidal,CA1 SO SO,154057.07098671794
CA3c Pyramidal,CA1 Trilaminar,274426.1152931656
CA3c Pyramidal,CA1 Radial Trilaminar,1107880.820651227
CA3 Granule,CA3 Pyramidal,76.58690108091
CA3 Granule,CA3c Pyramidal,133.22495805696
CA3 Granule,CA3 Axo Axonic,68.727183686112
CA3 Granule,CA3 Basket,75.5384513096472
CA3 Granule,CA3 LMR Targeting,53.25509613324
CA3 Granule,CA3 Lucidum ORAX,80.26403533702398
CA3 Granule,CA3 Spiny Lucidum,240.6769873737734
CA3 Granule,CA3 Mossy Fiber Associated ORDEN,57.562403784192014
CA3 Axo Axonic,CA3 Pyramidal,-393.0578361548685
CA3 Axo Axonic,CA3c Pyramidal,-1201.9116230449415
CA3 Basket,CA3 Pyramidal,-13694.304060989987
CA3 Basket,CA3c Pyramidal,-12332.37144815058
CA3 Basket,CA3 Axo Axonic,-5265.150495764399
CA3 Basket,CA3 Basket,-6212.436995566355
CA3 Basket,CA3 Mossy Fiber Associated ORDEN,-9496.35352203238
CA3 LMR Targeting,CA3 Pyramidal,-6333.728912114999
CA3 LMR Targeting,CA3c Pyramidal,-440.6883700128
CA3 LMR Targeting,CA3 Granule,-2862.1156771584
CA3 LMR Targeting,CA3 Axo Axonic,-2438.593872624
CA3 LMR Targeting,CA3 Basket,-2658.76986604032
CA3 LMR Targeting,CA3 LMR Targeting,-4841.434196881919
CA3 LMR Targeting,CA3 Lucidum ORAX,-466.1186612162688
CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,-377.582895024192
CA3 Lucidum ORAX,CA3 Pyramidal,-9.745853616
CA3 Lucidum ORAX,CA3c Pyramidal,-8.74190284704
CA3 Lucidum ORAX,CA3 Granule,-0.5047551916279198
CA3 Lucidum ORAX,CA3 Axo Axonic,-4.95162840942
CA3 Lucidum ORAX,CA3 Basket,-4.69314899352
CA3 Lucidum ORAX,CA3 LMR Targeting,-1.5267116390399995
CA3 Lucidum ORAX,CA3 Lucidum ORAX,-3.854790117
CA3 Lucidum ORAX,CA3 Spiny Lucidum,-11.422731697575216
CA3 Lucidum ORAX,CA3 Mossy Fiber Associated ORDEN,-8.659663626239999
CA3 Lucidum ORAX,CA3 Trilaminar,-3.7729219347456
CA3 Lucidum ORAX,CA2 Wide Arbor Basket,-0.8005727042060801
CA3 Spiny Lucidum,DG Granule,-598.6907982819889
CA3 Spiny Lucidum,DG Semilunar Granule,-758.9987819343305
CA3 Spiny Lucidum,DG AIPRIM,-300.86732482878523
CA3 Spiny Lucidum,DG Axo Axonic,-537.7078660489402
CA3 Spiny Lucidum,DG Basket,-689.8718978093812
CA3 Spiny Lucidum,DG HICAP,-396.4168160932557
CA3 Spiny Lucidum,DG HIPROM,-70.77830968262872
CA3 Spiny Lucidum,DG MOLAX,-411.3566062161119
CA3 Spiny Lucidum,DG MOPP,-673.3246295486841
CA3 Spiny Lucidum,DG Neurogliaform,-250.6976544794898
CA3 Spiny Lucidum,DG Total Molecular Layer,-246.11580093486768
CA3 Spiny Lucidum,CA3 Pyramidal,-471.9910301363161
CA3 Spiny Lucidum,CA3c Pyramidal,-278.5529166239785
CA3 Spiny Lucidum,CA3 Granule,-54.83127440954848
CA3 Spiny Lucidum,CA3 Axo Axonic,-248.25567050788624
CA3 Spiny Lucidum,CA3 Basket,-254.3644037555152
CA3 Spiny Lucidum,CA3 LMR Targeting,-124.45714269792158
CA3 Spiny Lucidum,CA3 Lucidum ORAX,-459.4739318233027
CA3 Spiny Lucidum,CA3 Spiny Lucidum,-98.6360596281619
CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,-387.6990947295399
CA3 Spiny Lucidum,CA1 Neurogliaform Projecting,-310.6091460257138
CA3 Mossy Fiber Associated ORDEN,DG Mossy,-44.50986955791599
CA3 Mossy Fiber Associated ORDEN,DG AIPRIM,-18.0196559928
CA3 Mossy Fiber Associated ORDEN,DG Axo Axonic,-8.877043565207998
CA3 Mossy Fiber Associated ORDEN,DG Basket,-9.718445080842402
CA3 Mossy Fiber Associated ORDEN,DG HICAP,-10.351440365616
CA3 Mossy Fiber Associated ORDEN,DG HIPP,-24.287585310576
CA3 Mossy Fiber Associated ORDEN,DG HIPROM,-26.7189832797888
CA3 Mossy Fiber Associated ORDEN,DG MOLAX,-22.970378251772004
CA3 Mossy Fiber Associated ORDEN,DG Total Molecular Layer,-18.933122988256404
CA3 Mossy Fiber Associated ORDEN,CA3 Pyramidal,-144.96456240000003
CA3 Mossy Fiber Associated ORDEN,CA3c Pyramidal,-149.23378355508004
CA3 Mossy Fiber Associated ORDEN,CA3 Axo Axonic,-87.086706525
CA3 Mossy Fiber Associated ORDEN,CA3 Basket,-81.71283984192
CA3 Mossy Fiber Associated ORDEN,CA3 LMR Targeting,-32.58919175232
CA3 Mossy Fiber Associated ORDEN,CA3 Lucidum ORAX,-56.552744986416
CA3 Mossy Fiber Associated ORDEN,CA3 Spiny Lucidum,-350.6777640738611
CA3 Mossy Fiber Associated ORDEN,CA3 Mossy Fiber Associated ORDEN,-132.06107584824
CA3 Mossy Fiber Associated ORDEN,CA2 Wide Arbor Basket,-23.68286694737717
CA3 Trilaminar,CA3 Pyramidal,-2136.4730641338
CA3 Trilaminar,CA3c Pyramidal,-1777.69547802
CA3 Trilaminar,CA3 Granule,-201.8507866561536
CA3 Trilaminar,CA3 Axo Axonic,-1040.6253247790396
CA3 Trilaminar,CA3 Basket,-990.5080531272192
CA3 Trilaminar,CA3 LMR Targeting,-401.39896882176
CA3 Trilaminar,CA3 Lucidum ORAX,-941.358840006312
CA3 Trilaminar,CA3 Spiny Lucidum,-2320.313863592716
CA3 Trilaminar,CA3 Mossy Fiber Associated ORDEN,-2236.154940923904
CA3 Trilaminar,CA3 Trilaminar,-1080.898983370752
CA3 Trilaminar,CA2 Wide Arbor Basket,-171.03619277472004
CA3 Trilaminar,CA1 Pyramidal,-969.1136205835392
CA3 Trilaminar,CA1 Radiatum Giant,-313.61632727039995
CA3 Trilaminar,CA1 Axo Axonic,-704.359513194456
CA3 Trilaminar,CA1 Horizontal Axo Axonic,-317.05590493584
CA3 Trilaminar,CA1 Basket,-801.2179108828161
CA3 Trilaminar,CA1 Basket CCK+,-999.3735315127874
CA3 Trilaminar,CA1 Horizontal Basket,-1205.3811158849153
CA3 Trilaminar,CA1 Ivy,-1050.9643338963554
CA3 Trilaminar,CA1 LMR,-158.70251779459
CA3 Trilaminar,CA1 Recurrent O LM,-533.44122368768
CA3 Trilaminar,CA1 O LMR,-497.6728460594099
CA3 Trilaminar,CA1 Oriens Alveus,-833.3650758909057
