null_id,spectral_radius,max_real_eigenvalue,chain_count,divergent_count,convergent_count,reciprocal_count,chain_score_sum,chain_abs_score_sum,divergent_score_sum,divergent_abs_score_sum,convergent_score_sum,convergent_abs_score_sum,reciprocal_score_sum,reciprocal_abs_score_sum
21,0.7486315006454034,0.7179163562503815,28263,14638,14345,198,563.1259410214291,662.2427489703884,2641.674605817565,2641.674605817565,2428.4819558019226,2486.907204409443,0.1647887480778542,0.45611853122502677
22,1.126848696666668,1.126848696666668,28226,14667,14276,173,335.9984539860347,416.9173774941466,2641.04486797937,2641.04486797937,956.721910088306,1011.1392057254404,0.21723703765509286,0.35685355131266916
23,0.6834767133434173,0.6780625259259454,28372,14720,14475,198,317.01343542408233,397.963412862239,5688.429392703127,5688.429392703127,1843.3492028000123,1927.8141181661344,0.6879310632757899,0.7382134984232694
24,0.7992930010544277,0.7738228144955402,28044,14584,14294,171,406.93297654743503,484.7690631414282,2696.960707940904,2696.960707940904,1076.7843227449985,1150.350303255761,0.13421506621359625,0.18428989405082918
25,0.7120966677606747,0.7120966677606747,28229,14576,14350,180,440.1319447012387,512.6863785711015,2399.7365776208135,2399.7365776208135,938.9014524150807,1002.9639521769955,0.3600690726284392,0.3949439280764348
26,0.8246158948467113,0.8246158948467113,28062,14933,14413,172,306.9524354768424,401.1031792013548,2346.962427034038,2346.962427034038,2069.5448197837186,2140.524875912927,0.13321330444587226,0.15479591447945745
27,0.7974997574766969,0.7974997574766969,28057,14632,14385,177,422.6181618531106,506.3748935960844,3022.6454194506177,3022.6454194506177,954.1480315889406,1013.0476580902742,0.12928347514995744,0.2832997996582442
28,0.7677226384094977,0.7677226384094977,28281,14507,14375,195,333.08206599854503,423.6953093517024,2386.247665339219,2386.247665339219,1498.6213675475021,1555.531881893636,0.1674639911955647,0.5353301306530837
29,0.6881349447670804,0.6881349447670804,28259,14605,14394,202,281.22524269436053,364.77899466384775,2818.29993617163,2818.29993617163,981.5942012930789,1042.45694845842,0.12103738121399459,0.36093538054716634
30,0.9590024002949815,0.9590024002949815,28321,14571,14519,185,307.0827270305149,397.00972702944114,3772.9455749394174,3772.9455749394174,2672.741395747864,2735.988860270595,0.3431685996339183,0.5563244189517134
