seed_mode,eigenvalue,timestep,loading_rank,cell_type,initial_mode_loading,signal_real,signal_imag,signal_magnitude
48,(-0.0008341208463246763-0.000727241026288259j),5,4,CA3 Spiny Lucidum,(0.07910577923031867+0.17586437243005704j),0.00019927282462458537,7.72792634784838e-05,0.00021373287813913344
48,(-0.0008341208463246763-0.000727241026288259j),5,5,CA3 LMR Targeting,(-0.04754484371748342-0.17723755832068278j),0.003789426879548755,0.0012072285097595573,0.003977078921799629
48,(-0.0008341208463246763-0.000727241026288259j),6,1,MEC LV Superficial Pyramidal,(0.28354301395514964+0.4114872607667672j),0.0011430037839026172,0.00013150364074381225,0.0011505437225697156
48,(-0.0008341208463246763-0.000727241026288259j),6,2,CA1 Horizontal Axo Axonic,(-0.19404942371856568+0.09510364922572863j),0.008391104861321901,0.0010394105551627445,0.008455235957433936
48,(-0.0008341208463246763-0.000727241026288259j),6,3,MEC LIII Superficial Trilayered Interneuron,(0.17871714283157136+0.1006073578904332j),0.010202755181322902,0.0030604261000632058,0.01065187407003854
48,(-0.0008341208463246763-0.000727241026288259j),6,4,CA3 Spiny Lucidum,(0.07910577923031867+0.17586437243005704j),0.000142575614991077,-1.3326001301903217e-05,0.00014319702615900288
48,(-0.0008341208463246763-0.000727241026288259j),6,5,CA3 LMR Targeting,(-0.04754484371748342-0.17723755832068278j),0.0035198188091893237,0.001004405061789151,0.0036603215675225335
48,(-0.0008341208463246763-0.000727241026288259j),7,1,MEC LV Superficial Pyramidal,(0.28354301395514964+0.4114872607667672j),0.0011932558311214445,0.000297121961686931,0.0012296913997511811
48,(-0.0008341208463246763-0.000727241026288259j),7,2,CA1 Horizontal Axo Axonic,(-0.19404942371856568+0.09510364922572863j),0.00877829403900067,0.00232098665897819,0.009079946327281315
48,(-0.0008341208463246763-0.000727241026288259j),7,3,MEC LIII Superficial Trilayered Interneuron,(0.17871714283157136+0.1006073578904332j),0.009664014960392375,0.002860102359204547,0.010078361506704107
48,(-0.0008341208463246763-0.000727241026288259j),7,4,CA3 Spiny Lucidum,(0.07910577923031867+0.17586437243005704j),0.0001765801701097005,5.500919423279044e-05,0.00018495017687504824
48,(-0.0008341208463246763-0.000727241026288259j),7,5,CA3 LMR Targeting,(-0.04754484371748342-0.17723755832068278j),0.0033803027688817113,0.0010167641539424567,0.003529908802511998
48,(-0.0008341208463246763-0.000727241026288259j),8,1,MEC LV Superficial Pyramidal,(0.28354301395514964+0.4114872607667672j),0.0011544217501710237,0.0003153949622124092,0.0011967303620519104
48,(-0.0008341208463246763-0.000727241026288259j),8,2,CA1 Horizontal Axo Axonic,(-0.19404942371856568+0.09510364922572863j),0.008437618210176209,0.0023669237150446346,0.008763317233418968
48,(-0.0008341208463246763-0.000727241026288259j),8,3,MEC LIII Superficial Trilayered Interneuron,(0.17871714283157136+0.1006073578904332j),0.009176931667607082,0.002711523351502915,0.009569139653995824
48,(-0.0008341208463246763-0.000727241026288259j),8,4,CA3 Spiny Lucidum,(0.07910577923031867+0.17586437243005704j),0.00015847310505150405,3.555339088872226e-05,0.00016241234136712428
48,(-0.0008341208463246763-0.000727241026288259j),8,5,CA3 LMR Targeting,(-0.04754484371748342-0.17723755832068278j),0.0031925325358516713,0.0009334327483585512,0.0033261931225020145
48,(-0.0008341208463246763-0.000727241026288259j),9,1,MEC LV Superficial Pyramidal,(0.28354301395514964+0.4114872607667672j),0.001109707136453884,0.0003208692522805642,0.0011551653586200407
48,(-0.0008341208463246763-0.000727241026288259j),9,2,CA1 Horizontal Axo Axonic,(-0.19404942371856568+0.09510364922572863j),0.0080769931548659,0.002347513762647544,0.008411221034402214
48,(-0.0008341208463246763-0.000727241026288259j),9,3,MEC LIII Superficial Trilayered Interneuron,(0.17871714283157136+0.1006073578904332j),0.00871415072413346,0.0025694721389009478,0.009085076219575921
48,(-0.0008341208463246763-0.000727241026288259j),9,4,CA3 Spiny Lucidum,(0.07910577923031867+0.17586437243005704j),0.00015760267245327605,4.5466679875980595e-05,0.00016402994038699006
48,(-0.0008341208463246763-0.000727241026288259j),9,5,CA3 LMR Targeting,(-0.04754484371748342-0.17723755832068278j),0.003038425263938477,0.0008960036338306771,0.003167783230648426
48,(-0.0008341208463246763-0.000727241026288259j),10,1,MEC LV Superficial Pyramidal,(0.28354301395514964+0.4114872607667672j),0.0010562093272021226,0.0003078816693453807,0.0011001678350086674
48,(-0.0008341208463246763-0.000727241026288259j),10,2,CA1 Horizontal Axo Axonic,(-0.19404942371856568+0.09510364922572863j),0.007681493141216666,0.002242393632336772,0.008002103853418999
48,(-0.0008341208463246763-0.000727241026288259j),10,3,MEC LIII Superficial Trilayered Interneuron,(0.17871714283157136+0.1006073578904332j),0.008277880545409453,0.0024401323791539272,0.008630037795506097
48,(-0.0008341208463246763-0.000727241026288259j),10,4,CA3 Spiny Lucidum,(0.07910577923031867+0.17586437243005704j),0.00014974297998081507,4.321130751711771e-05,0.00015585306269327433
48,(-0.0008341208463246763-0.000727241026288259j),10,5,CA3 LMR Targeting,(-0.04754484371748342-0.17723755832068278j),0.0028856921527200814,0.0008498673867977902,0.0030082376527483267
49,(0.0009670108373188811-1.1272792367362226e-18j),0,1,MEC LIII Superficial Trilayered Interneuron,(-0.16172185726613084-0.2731330957839263j),-0.16172185726613084,-0.2731330957839263,0.31742030043794967
49,(0.0009670108373188811-1.1272792367362226e-18j),0,2,DG Hilar Ectopic Granule,(-0.15709212778524034-0.2653139155745572j),-0.15709212778524034,-0.2653139155745572,0.30833327814168476
49,(0.0009670108373188811-1.1272792367362226e-18j),0,3,DG Basket,(0.1494277439373766+0.252369487882273j),0.1494277439373766,0.252369487882273,0.2932899743806033
49,(0.0009670108373188811-1.1272792367362226e-18j),0,4,CA1 OR LM,(-0.11535043192135372-0.19481609414641957j),-0.11535043192135372,-0.19481609414641957,0.22640457743364967
49,(0.0009670108373188811-1.1272792367362226e-18j),0,5,MEC LV Pyramidal,(0.11099822798901506+0.18746562863966723j),0.11099822798901506,0.18746562863966723,0.21786226965210606
49,(0.0009670108373188811-1.1272792367362226e-18j),1,1,MEC LIII Superficial Trilayered Interneuron,(-0.16172185726613084-0.2731330957839263j),-0.032909174324638225,-0.05558051839702547,0.06459262945577858
49,(0.0009670108373188811-1.1272792367362226e-18j),1,2,DG Hilar Ectopic Granule,(-0.15709212778524034-0.2653139155745572j),0.04153246086744824,0.07014444308281317,0.08151802378065931
49,(0.0009670108373188811-1.1272792367362226e-18j),1,3,DG Basket,(0.1494277439373766+0.252369487882273j),0.06987388809737771,0.11801046372532217,0.13714528714655289
49,(0.0009670108373188811-1.1272792367362226e-18j),1,4,CA1 OR LM,(-0.11535043192135372-0.19481609414641957j),0.08708027125479244,0.14707043606595402,0.17091719283453638
49,(0.0009670108373188811-1.1272792367362226e-18j),1,5,MEC LV Pyramidal,(0.11099822798901506+0.18746562863966723j),-0.00230873654185889,-0.0038992401502641453,0.004531482998880886
49,(0.0009670108373188811-1.1272792367362226e-18j),2,1,MEC LIII Superficial Trilayered Interneuron,(-0.16172185726613084-0.2731330957839263j),-0.020268605021690728,-0.03423177874890383,0.039782295381729935
49,(0.0009670108373188811-1.1272792367362226e-18j),2,2,DG Hilar Ectopic Granule,(-0.15709212778524034-0.2653139155745572j),0.039678188684203204,0.06701275074142292,0.07787854273926362
49,(0.0009670108373188811-1.1272792367362226e-18j),2,3,DG Basket,(0.1494277439373766+0.252369487882273j),0.04788516956189494,0.08087357408377818,0.09398683125340372
49,(0.0009670108373188811-1.1272792367362226e-18j),2,4,CA1 OR LM,(-0.11535043192135372-0.19481609414641957j),0.0665506958847595,0.11239790279966023,0.13062267673152167
49,(0.0009670108373188811-1.1272792367362226e-18j),2,5,MEC LV Pyramidal,(0.11099822798901506+0.18746562863966723j),-0.0004222557176226702,-0.0007131504257766438,0.0008287843029705887
49,(0.0009670108373188811-1.1272792367362226e-18j),3,1,MEC LIII Superficial Trilayered Interneuron,(-0.16172185726613084-0.2731330957839263j),-0.02123617306393449,-0.035865910703774595,0.04168139389478847
49,(0.0009670108373188811-1.1272792367362226e-18j),3,2,DG Hilar Ectopic Granule,(-0.15709212778524034-0.2653139155745572j),-0.00655171674769098,-0.011065236995463442,0.012859411421513324
49,(0.0009670108373188811-1.1272792367362226e-18j),3,3,DG Basket,(0.1494277439373766+0.252369487882273j),-0.014260187184195717,-0.024084122813826804,0.027989246332114633
49,(0.0009670108373188811-1.1272792367362226e-18j),3,4,CA1 OR LM,(-0.11535043192135372-0.19481609414641957j),0.046617275795745296,0.0787322200619551,0.09149826707922236
49,(0.0009670108373188811-1.1272792367362226e-18j),3,5,MEC LV Pyramidal,(0.11099822798901506+0.18746562863966723j),-0.002042524974910497,-0.0034496337047083795,0.004008975052278722
49,(0.0009670108373188811-1.1272792367362226e-18j),4,1,MEC LIII Superficial Trilayered Interneuron,(-0.16172185726613084-0.2731330957839263j),-0.019752263326108455,-0.03335972590347661,0.03876884340367942
