seed,length_edges__boltzmann_path_sampling,length_edges__branch_and_bound,length_edges__greedy_tree_path,length_edges__maximum_spanning_tree,length_edges__monte_carlo_tree_search,length_edges__weighted_random_walk_ensemble,n_nodes_visited__boltzmann_path_sampling,n_nodes_visited__branch_and_bound,n_nodes_visited__greedy_tree_path,n_nodes_visited__maximum_spanning_tree,n_nodes_visited__monte_carlo_tree_search,n_nodes_visited__weighted_random_walk_ensemble,summed_weight__boltzmann_path_sampling,summed_weight__branch_and_bound,summed_weight__greedy_tree_path,summed_weight__maximum_spanning_tree,summed_weight__monte_carlo_tree_search,summed_weight__weighted_random_walk_ensemble,terminus__boltzmann_path_sampling,terminus__branch_and_bound,terminus__greedy_tree_path,terminus__maximum_spanning_tree,terminus__monte_carlo_tree_search,terminus__weighted_random_walk_ensemble,transition_weight_sum__boltzmann_path_sampling,transition_weight_sum__branch_and_bound,transition_weight_sum__greedy_tree_path,transition_weight_sum__maximum_spanning_tree,transition_weight_sum__monte_carlo_tree_search,transition_weight_sum__weighted_random_walk_ensemble
MEC LII III Pyramidal Multiform,27,26,18,6,27,26,28,27,19,7,28,27,229225.67409035243,137899.99787034604,71071.14371673469,110497.64468019406,229764.80456539325,229039.79864331058,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,229225.67409035243,137899.99787034604,71071.14371673469,110497.64468019406,229764.80456539325,229039.79864331058
MEC LII Oblique Pyramidal,26,28,22,6,25,25,27,29,23,7,26,26,229426.8562197683,226106.23716999684,195127.34249268565,110393.82015762746,229802.22363579078,222140.40921088302,CA1 Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,229426.8562197683,226106.23716999684,195127.34249268565,110393.82015762746,229802.22363579078,222140.40921088302
MEC LII Stellate,26,29,22,6,20,26,27,30,23,7,21,27,231788.15078045626,230528.89843912577,194238.90435129302,111573.68975652223,229647.87119522027,222679.3717103615,CA1 Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,231788.15078045626,230528.89843912577,194238.90435129302,111573.68975652223,229647.87119522027,222679.3717103615
MEC LIII Bipolar Complex Pyramidal,28,25,13,6,28,25,29,26,14,7,29,26,228073.06292943584,230973.9907462514,125000.90537671298,110504.660577025,230697.27404470168,218398.51622203318,CA1 Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,228073.06292943584,230973.9907462514,125000.90537671298,110504.660577025,230697.27404470168,218398.51622203318
MEC LIII Complex Pyramidal,26,29,21,6,26,27,27,30,22,7,27,28,232404.99227050928,231311.95628027228,194671.9025982207,110945.87340362713,228818.78485755145,226704.96934323042,CA1 Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA1 Radiatum Giant,232404.99227050928,231311.95628027228,194671.9025982207,110945.87340362713,228818.78485755145,226704.96934323042
MEC LV Multipolar Pyramidal,24,29,21,7,25,23,25,30,22,8,26,24,232591.82164337015,231469.79164425572,194829.73796220415,58407.13279806113,230969.7907725893,217576.97907283265,CA1 Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA1 Radiatum Giant,232591.82164337015,231469.79164425572,194829.73796220415,58407.13279806113,230969.7907725893,217576.97907283265
MEC LV Pyramidal,20,25,17,4,25,18,21,26,18,5,26,19,231903.17784851734,208179.92328274035,193715.34808400166,110545.50294065647,230074.50820576545,229227.71678336713,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,MEC LV VI Pyramidal Polymorphic,CA1 Radiatum Giant,CA2 Pyramidal,231903.17784851734,208179.92328274035,193715.34808400166,110545.50294065647,230074.50820576545,229227.71678336713
MEC LV Superficial Pyramidal,21,27,21,7,27,19,22,28,22,8,28,20,228667.6825536405,226053.46580290186,195006.64800196647,58407.13279806113,223018.50504047764,221208.153248548,CA1 Radiatum Giant,CA1 Radiatum Giant,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA1 Radiatum Giant,228667.6825536405,226053.46580290186,195006.64800196647,58407.13279806113,223018.50504047764,221208.153248548
MEC LV VI Pyramidal Polymorphic,26,26,17,7,26,24,27,27,18,8,27,25,227552.32123978078,137299.15952357117,69767.13232928966,58407.13279806113,224365.91925727495,213646.22954581876,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA3 Granule,CA1 Radiatum Giant,CA1 Radiatum Giant,227552.32123978078,137299.15952357117,69767.13232928966,58407.13279806113,224365.91925727495,213646.22954581876
SUB CA1 Projecting Pyramidal,21,25,16,7,29,27,22,26,17,8,30,28,140824.45183423354,133529.2378614637,70570.04312511656,58513.34136166145,147180.0797594274,134024.47978253866,CA3 Granule,CA3 Granule,CA1 Radiatum Giant,CA3 Granule,CA3 Granule,CA3 Granule,140824.45183423354,133529.2378614637,70570.04312511656,58513.34136166145,147180.0797594274,134024.47978253866
