table_type,method,seed,terminal,count,probability
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,CA3c Pyramidal,69,0.0345
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,MEC LV VI Pyramidal Polymorphic,106,0.053
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,EC LIII Pyramidal,29,0.0145
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,MEC LII Oblique Pyramidal,13,0.0065
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,MEC LV Multipolar Pyramidal,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,DG Hilar Ectopic Granule,79,0.0395
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,MEC LII III Pyramidal Multiform,26,0.013
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,CA3 Granule,176,0.088
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,MEC LII Stellate,20,0.01
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,DG Granule,72,0.036
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,CA3 Pyramidal,49,0.0245
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,EC LII III Pyramidal Tripolar,21,0.0105
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,MEC LV Superficial Pyramidal,21,0.0105
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,MEC LV Pyramidal,30,0.015
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,SUB CA1 Projecting Pyramidal,44,0.022
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,EC LIV VI Deep Multipolar Principal,38,0.019
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,EC LI II Multipolar Pyramidal,20,0.01
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,MEC LIII Bipolar Complex Pyramidal,32,0.016
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,DG Semilunar Granule,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,LEC LIII Complex Pyramidal,21,0.0105
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,EC LIII Pyramidal Stellate,23,0.0115
terminal_distribution,weighted_random_walk_ensemble,CA2 Pyramidal,EC LI II Pyramidal Fan,1,0.0005
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,CA3 Pyramidal,78,0.039
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,MEC LV VI Pyramidal Polymorphic,126,0.063
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,CA2 Pyramidal,48,0.024
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,EC LIII Pyramidal,23,0.0115
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,DG Granule,88,0.044
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,CA1 Radiatum Giant,726,0.363
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,EC LIII Pyramidal Stellate,33,0.0165
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,LEC LIII Complex Pyramidal,33,0.0165
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,DG Hilar Ectopic Granule,76,0.038
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,MEC LV Pyramidal,30,0.015
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,MEC LIII Complex Pyramidal,42,0.021
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,MEC LV Multipolar Pyramidal,38,0.019
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,CA3c Pyramidal,75,0.0375
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,EC LI II Multipolar Pyramidal,25,0.0125
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,EC LV Deep Pyramidal,44,0.022
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,SUB CA1 Projecting Pyramidal,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,LEC LIII Multipolar Principal,36,0.018
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,CA1 Pyramidal,88,0.044
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,MEC LIII Bipolar Complex Pyramidal,34,0.017
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,EC LIII Stellate,24,0.012
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,EC LIV VI Deep Multipolar Principal,43,0.0215
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,MEC LII III Pyramidal Multiform,20,0.01
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,LEC LVI Multipolar Pyramidal,36,0.018
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,DG Semilunar Granule,34,0.017
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,EC LII III Pyramidal Tripolar,24,0.012
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,DG Mossy,44,0.022
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,EC LIII V Bipolar Pyramidal,35,0.0175
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,MEC LII Oblique Pyramidal,21,0.0105
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,MEC LII Stellate,31,0.0155
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,MEC LV Superficial Pyramidal,14,0.007
terminal_distribution,weighted_random_walk_ensemble,CA3 Granule,EC LI II Pyramidal Fan,4,0.002
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,MEC LII Stellate,23,0.0115
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,DG Hilar Ectopic Granule,200,0.1
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,EC LIII V Bipolar Pyramidal,20,0.01
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,CA1 Radiatum Giant,520,0.26
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,DG Semilunar Granule,82,0.041
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,CA1 Pyramidal,92,0.046
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,LEC LIII Multipolar Principal,30,0.015
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,MEC LIII Complex Pyramidal,37,0.0185
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,CA3c Pyramidal,63,0.0315
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,CA3 Granule,211,0.1055
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,MEC LV VI Pyramidal Polymorphic,99,0.0495
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,EC LIII Pyramidal Stellate,31,0.0155
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,MEC LV Pyramidal,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,MEC LV Multipolar Pyramidal,27,0.0135
terminal_distribution,weighted_random_walk_ensemble,CA3 Pyramidal,CA2 Pyramidal,48,0.024
