pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,tau_d
1026,2036,DG HIPROM,CA3 Mossy Fiber Associated,i,i,6.75193724
1026,2043,DG HIPROM,CA3 Basket,i,i,4.333
1026,2044,DG HIPROM,CA3 Basket CCK+,i,i,4.947
1026,2047,DG HIPROM,CA3 Horizontal Axo Axonic,i,i,6.222
1026,3007,DG HIPROM,CA2 Wide Arbor Basket,i,i,5.915
1026,4011,DG HIPROM,CA1 Neurogliaform Projecting,i,i,6.612
1027,1000,DG AIPRIM,DG Granule,i,e,7.215
1027,1001,DG AIPRIM,DG Semilunar Granule,i,e,6.049
1027,1002,DG AIPRIM,DG Mossy,i,e,5.803
1027,1004,DG AIPRIM,DG Total Molecular Layer,i,i,5.934
1027,1005,DG AIPRIM,DG MOLAX,i,i,6.093
1027,1009,DG AIPRIM,DG HICAP,i,i,6.239
1027,1010,DG AIPRIM,DG Axo Axonic,i,i,5.816
1027,1013,DG AIPRIM,DG HIPP,i,i,7.029
1027,1026,DG AIPRIM,DG HIPROM,i,i,6.32
1027,1027,DG AIPRIM,DG AIPRIM,i,i,5.947
1027,1035,DG AIPRIM,DG Basket,i,i,5.617
1027,1041,DG AIPRIM,DG Hilar Ectopic Granule,i,e,6.239
1035,1000,DG Basket,DG Granule,i,e,6.846
1035,1004,DG Basket,DG Total Molecular Layer,i,i,5.736
1035,1005,DG Basket,DG MOLAX,i,i,5.992
1035,1009,DG Basket,DG HICAP,i,i,5.934
1035,1010,DG Basket,DG Axo Axonic,i,i,5.492
1035,1013,DG Basket,DG HIPP,i,i,6.458
1035,1035,DG Basket,DG Basket,i,i,4.56
1041,1002,DG Hilar Ectopic Granule,DG Mossy,e,e,4.022
1041,1004,DG Hilar Ectopic Granule,DG Total Molecular Layer,e,i,4.266
1041,1005,DG Hilar Ectopic Granule,DG MOLAX,e,i,4.349
1041,1009,DG Hilar Ectopic Granule,DG HICAP,e,i,3.855
1041,1010,DG Hilar Ectopic Granule,DG Axo Axonic,e,i,4.131
1041,1013,DG Hilar Ectopic Granule,DG HIPP,e,i,4.295
1041,1026,DG Hilar Ectopic Granule,DG HIPROM,e,i,3.998
1041,1027,DG Hilar Ectopic Granule,DG AIPRIM,e,i,3.702
1041,1035,DG Hilar Ectopic Granule,DG Basket,e,i,3.802
1041,1041,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,e,e,4.264
1041,2000,DG Hilar Ectopic Granule,CA3 Pyramidal,e,e,7.267
1041,2004,DG Hilar Ectopic Granule,CA3c Pyramidal,e,e,6.357
1041,2005,DG Hilar Ectopic Granule,CA3 LMR Targeting,e,i,4.294
1041,2013,DG Hilar Ectopic Granule,CA3 Lucidum ORAX,e,i,4.365
1041,2019,DG Hilar Ectopic Granule,CA3 Spiny Lucidum,e,i,4.422438519
1041,2028,DG Hilar Ectopic Granule,CA3 Axo Axonic,e,i,3.535
1041,2035,DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated ORDEN,e,i,4.226
1041,2036,DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated,e,i,4.372256093
1041,2043,DG Hilar Ectopic Granule,CA3 Basket,e,i,3.032
1041,2044,DG Hilar Ectopic Granule,CA3 Basket CCK+,e,i,2.942
2000,2000,CA3 Pyramidal,CA3 Pyramidal,e,e,10.22
2000,2001,CA3 Pyramidal,CA3 Granule,e,e,5.877
2000,2004,CA3 Pyramidal,CA3c Pyramidal,e,e,7.961
2000,2005,CA3 Pyramidal,CA3 LMR Targeting,e,i,5.667
2000,2009,CA3 Pyramidal,CA3 O LM,e,i,4.916
2000,2013,CA3 Pyramidal,CA3 Lucidum ORAX,e,i,6.046
2000,2020,CA3 Pyramidal,CA3 Trilaminar,e,i,5.592
2000,2028,CA3 Pyramidal,CA3 Axo Axonic,e,i,4.923
2000,2035,CA3 Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,5.948
2000,2036,CA3 Pyramidal,CA3 Mossy Fiber Associated,e,i,6.044588747
2000,2043,CA3 Pyramidal,CA3 Basket,e,i,3.971
2000,2044,CA3 Pyramidal,CA3 Basket CCK+,e,i,4.294
2000,2047,CA3 Pyramidal,CA3 Horizontal Axo Axonic,e,i,5.718
2000,3000,CA3 Pyramidal,CA2 Pyramidal,e,e,5.887
2000,3003,CA3 Pyramidal,CA2 Bistratified,e,i,5.054
2000,3006,CA3 Pyramidal,CA2 Basket,e,i,5.05
2000,3007,CA3 Pyramidal,CA2 Wide Arbor Basket,e,i,5.555
2000,3008,CA3 Pyramidal,CA2 SP SR,e,i,4.52
