pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,g_ij
1013,1008,DG HIPP,DG MOPP,i,i,1.431
1013,1009,DG HIPP,DG HICAP,i,i,1.049
1013,1010,DG HIPP,DG Axo Axonic,i,i,1.506
1013,1027,DG HIPP,DG AIPRIM,i,i,1.478
1013,1035,DG HIPP,DG Basket,i,i,1.391
1013,1041,DG HIPP,DG Hilar Ectopic Granule,i,e,1.279
1013,4011,DG HIPP,CA1 Neurogliaform Projecting,i,i,1.533
1026,1000,DG HIPROM,DG Granule,i,e,1.691
1026,1001,DG HIPROM,DG Semilunar Granule,i,e,1.467
1026,1002,DG HIPROM,DG Mossy,i,e,1.531
1026,1004,DG HIPROM,DG Total Molecular Layer,i,i,1.539
1026,1005,DG HIPROM,DG MOLAX,i,i,1.432
1026,1007,DG HIPROM,DG Neurogliaform,i,i,1.393
1026,1008,DG HIPROM,DG MOPP,i,i,1.462
1026,1009,DG HIPROM,DG HICAP,i,i,1.004
1026,1010,DG HIPROM,DG Axo Axonic,i,i,1.48
1026,1013,DG HIPROM,DG HIPP,i,i,1.078
1026,1026,DG HIPROM,DG HIPROM,i,i,1.582
1026,1027,DG HIPROM,DG AIPRIM,i,i,1.497
1026,1035,DG HIPROM,DG Basket,i,i,1.333
1026,1041,DG HIPROM,DG Hilar Ectopic Granule,i,e,1.326
1026,2000,DG HIPROM,CA3 Pyramidal,i,e,1.267
1026,2001,DG HIPROM,CA3 Granule,i,e,1.881
1026,2004,DG HIPROM,CA3c Pyramidal,i,e,1.804
1026,2005,DG HIPROM,CA3 LMR Targeting,i,i,1.461
1026,2009,DG HIPROM,CA3 O LM,i,i,1.327
1026,2013,DG HIPROM,CA3 Lucidum ORAX,i,i,1.43
1026,2019,DG HIPROM,CA3 Spiny Lucidum,i,i,1.218854523
1026,2020,DG HIPROM,CA3 Trilaminar,i,i,1.477
1026,2028,DG HIPROM,CA3 Axo Axonic,i,i,1.537
1026,2035,DG HIPROM,CA3 Mossy Fiber Associated ORDEN,i,i,1.433
1026,2036,DG HIPROM,CA3 Mossy Fiber Associated,i,i,1.572378727
1026,2043,DG HIPROM,CA3 Basket,i,i,1.885
1026,2044,DG HIPROM,CA3 Basket CCK+,i,i,1.304
1026,2047,DG HIPROM,CA3 Horizontal Axo Axonic,i,i,1.572
1026,3007,DG HIPROM,CA2 Wide Arbor Basket,i,i,1.324
1026,4011,DG HIPROM,CA1 Neurogliaform Projecting,i,i,1.503
1027,1000,DG AIPRIM,DG Granule,i,e,2.379
1027,1001,DG AIPRIM,DG Semilunar Granule,i,e,1.674
1027,1002,DG AIPRIM,DG Mossy,i,e,1.734
1027,1004,DG AIPRIM,DG Total Molecular Layer,i,i,1.782
1027,1005,DG AIPRIM,DG MOLAX,i,i,1.674
1027,1009,DG AIPRIM,DG HICAP,i,i,1.181
1027,1010,DG AIPRIM,DG Axo Axonic,i,i,1.725
1027,1013,DG AIPRIM,DG HIPP,i,i,1.24
1027,1026,DG AIPRIM,DG HIPROM,i,i,1.868
1027,1027,DG AIPRIM,DG AIPRIM,i,i,1.729
1027,1035,DG AIPRIM,DG Basket,i,i,1.476
1027,1041,DG AIPRIM,DG Hilar Ectopic Granule,i,e,1.579
1035,1000,DG Basket,DG Granule,i,e,1.774
1035,1004,DG Basket,DG Total Molecular Layer,i,i,1.448
1035,1005,DG Basket,DG MOLAX,i,i,1.277
1035,1009,DG Basket,DG HICAP,i,i,1.032
1035,1010,DG Basket,DG Axo Axonic,i,i,1.386
1035,1013,DG Basket,DG HIPP,i,i,1.004
1035,1035,DG Basket,DG Basket,i,i,1.462
1041,1002,DG Hilar Ectopic Granule,DG Mossy,e,e,1.605
1041,1004,DG Hilar Ectopic Granule,DG Total Molecular Layer,e,i,1.431
1041,1005,DG Hilar Ectopic Granule,DG MOLAX,e,i,1.369
1041,1009,DG Hilar Ectopic Granule,DG HICAP,e,i,1.252
1041,1010,DG Hilar Ectopic Granule,DG Axo Axonic,e,i,1.455
1041,1013,DG Hilar Ectopic Granule,DG HIPP,e,i,1.215
1041,1026,DG Hilar Ectopic Granule,DG HIPROM,e,i,1.699
1041,1027,DG Hilar Ectopic Granule,DG AIPRIM,e,i,1.634
1041,1035,DG Hilar Ectopic Granule,DG Basket,e,i,1.313
1041,1041,DG Hilar Ectopic Granule,DG Hilar Ectopic Granule,e,e,1.372
1041,2000,DG Hilar Ectopic Granule,CA3 Pyramidal,e,e,1.11
1041,2004,DG Hilar Ectopic Granule,CA3c Pyramidal,e,e,1.683
1041,2005,DG Hilar Ectopic Granule,CA3 LMR Targeting,e,i,1.405
1041,2013,DG Hilar Ectopic Granule,CA3 Lucidum ORAX,e,i,1.378
1041,2019,DG Hilar Ectopic Granule,CA3 Spiny Lucidum,e,i,0.979353546
1041,2028,DG Hilar Ectopic Granule,CA3 Axo Axonic,e,i,1.399
1041,2035,DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated ORDEN,e,i,1.439
1041,2036,DG Hilar Ectopic Granule,CA3 Mossy Fiber Associated,e,i,1.548703846
1041,2043,DG Hilar Ectopic Granule,CA3 Basket,e,i,1.574
1041,2044,DG Hilar Ectopic Granule,CA3 Basket CCK+,e,i,1.347
2000,2000,CA3 Pyramidal,CA3 Pyramidal,e,e,0.5531
2000,2001,CA3 Pyramidal,CA3 Granule,e,e,1.009
2000,2004,CA3 Pyramidal,CA3c Pyramidal,e,e,1.011
2000,2005,CA3 Pyramidal,CA3 LMR Targeting,e,i,0.9208
2000,2009,CA3 Pyramidal,CA3 O LM,e,i,0.7097
2000,2013,CA3 Pyramidal,CA3 Lucidum ORAX,e,i,0.8518
2000,2020,CA3 Pyramidal,CA3 Trilaminar,e,i,0.9432
2000,2028,CA3 Pyramidal,CA3 Axo Axonic,e,i,0.9326
2000,2035,CA3 Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,0.8803
2000,2036,CA3 Pyramidal,CA3 Mossy Fiber Associated,e,i,0.979923571
2000,2043,CA3 Pyramidal,CA3 Basket,e,i,1.172
2000,2044,CA3 Pyramidal,CA3 Basket CCK+,e,i,0.8475
2000,2047,CA3 Pyramidal,CA3 Horizontal Axo Axonic,e,i,1.002
2000,3000,CA3 Pyramidal,CA2 Pyramidal,e,e,1.115
2000,3003,CA3 Pyramidal,CA2 Bistratified,e,i,0.9381
2000,3006,CA3 Pyramidal,CA2 Basket,e,i,1.228
2000,3007,CA3 Pyramidal,CA2 Wide Arbor Basket,e,i,0.8643
2000,3008,CA3 Pyramidal,CA2 SP SR,e,i,0.819
2000,4000,CA3 Pyramidal,CA1 Pyramidal,e,e,0.9295
2000,4003,CA3 Pyramidal,CA1 Quadrilaminar,e,i,0.8764
2000,4005,CA3 Pyramidal,CA1 LMR,e,i,0.83
2000,4006,CA3 Pyramidal,CA1 Perforant Path Associated,e,i,0.7615
2000,4013,CA3 Pyramidal,CA1 Radial Trilaminar,e,i,0.651
2000,4015,CA3 Pyramidal,CA1 Schaffer Collateral Associated,e,i,0.943982667
2000,4023,CA3 Pyramidal,CA1 Back Projection,e,i,0.8794
2000,4028,CA3 Pyramidal,CA1 Radiatum,e,i,0.7737
2000,4033,CA3 Pyramidal,CA1 SO SO,e,i,0.4782
2000,4035,CA3 Pyramidal,CA1 Trilaminar,e,i,0.9334
2000,4036,CA3 Pyramidal,CA1 Axo Axonic,e,i,0.8578
2000,4038,CA3 Pyramidal,CA1 Horizontal Axo Axonic,e,i,0.6662
2000,4039,CA3 Pyramidal,CA1 Horizontal Basket,e,i,0.6887
2000,4054,CA3 Pyramidal,CA1 Radiatum Giant,e,e,0.9459
2000,4055,CA3 Pyramidal,CA1 Oriens Alveus,e,i,1.024
2000,4061,CA3 Pyramidal,CA1 R Receiving Apical Targeting,e,i,0.8772
2000,4066,CA3 Pyramidal,CA1 OR LM,e,i,0.8483
2000,4069,CA3 Pyramidal,CA1 O LM,e,i,0.6481
2000,4076,CA3 Pyramidal,CA1 Perforant Path Associated QuadD,e,i,0.8496
2000,4078,CA3 Pyramidal,CA1 Basket,e,i,0.8084
2000,4079,CA3 Pyramidal,CA1 Basket CCK+,e,i,1.114
2000,4080,CA3 Pyramidal,CA1 Bistratified,e,i,1.016
2000,4081,CA3 Pyramidal,CA1 Ivy,e,i,0.9431
2000,4083,CA3 Pyramidal,CA1 Oriens Bistratified,e,i,1.014
2000,4087,CA3 Pyramidal,CA1 O LMR,e,i,0.6651
2000,4089,CA3 Pyramidal,CA1 Recurrent O LM,e,i,0.717
2001,2000,CA3 Granule,CA3 Pyramidal,e,e,1.165
2001,2004,CA3 Granule,CA3c Pyramidal,e,e,1.68
2001,2005,CA3 Granule,CA3 LMR Targeting,e,i,1.525
2001,2013,CA3 Granule,CA3 Lucidum ORAX,e,i,1.517
2001,2019,CA3 Granule,CA3 Spiny Lucidum,e,i,1.021821025
2001,2028,CA3 Granule,CA3 Axo Axonic,e,i,1.514
2001,2035,CA3 Granule,CA3 Mossy Fiber Associated ORDEN,e,i,1.614
2001,2036,CA3 Granule,CA3 Mossy Fiber Associated,e,i,1.742228646
2001,2043,CA3 Granule,CA3 Basket,e,i,1.713
2001,2044,CA3 Granule,CA3 Basket CCK+,e,i,1.405
2004,1000,CA3c Pyramidal,DG Granule,e,e,1.798
2004,1001,CA3c Pyramidal,DG Semilunar Granule,e,e,1.315
2004,1002,CA3c Pyramidal,DG Mossy,e,e,1.642
2004,1004,CA3c Pyramidal,DG Total Molecular Layer,e,i,1.366
2004,1005,CA3c Pyramidal,DG MOLAX,e,i,1.258
2004,1009,CA3c Pyramidal,DG HICAP,e,i,1.064
2004,1010,CA3c Pyramidal,DG Axo Axonic,e,i,1.454
2004,1013,CA3c Pyramidal,DG HIPP,e,i,1.12
2004,1026,CA3c Pyramidal,DG HIPROM,e,i,1.523
2004,1027,CA3c Pyramidal,DG AIPRIM,e,i,1.459
2004,1035,CA3c Pyramidal,DG Basket,e,i,1.283
2004,1041,CA3c Pyramidal,DG Hilar Ectopic Granule,e,e,1.314
2004,2000,CA3c Pyramidal,CA3 Pyramidal,e,e,1.016
2004,2001,CA3c Pyramidal,CA3 Granule,e,e,1.484
2004,2004,CA3c Pyramidal,CA3c Pyramidal,e,e,1.426
2004,2005,CA3c Pyramidal,CA3 LMR Targeting,e,i,1.371
2004,2009,CA3c Pyramidal,CA3 O LM,e,i,1.082
2004,2013,CA3c Pyramidal,CA3 Lucidum ORAX,e,i,1.33
2004,2020,CA3c Pyramidal,CA3 Trilaminar,e,i,1.459
2004,2028,CA3c Pyramidal,CA3 Axo Axonic,e,i,1.437
2004,2035,CA3c Pyramidal,CA3 Mossy Fiber Associated ORDEN,e,i,1.371
2004,2036,CA3c Pyramidal,CA3 Mossy Fiber Associated,e,i,1.6016351
2004,2043,CA3c Pyramidal,CA3 Basket,e,i,1.708
2004,2044,CA3c Pyramidal,CA3 Basket CCK+,e,i,1.251
2004,2047,CA3c Pyramidal,CA3 Horizontal Axo Axonic,e,i,1.534
2004,3000,CA3c Pyramidal,CA2 Pyramidal,e,e,1.7
2004,3003,CA3c Pyramidal,CA2 Bistratified,e,i,1.433
2004,3006,CA3c Pyramidal,CA2 Basket,e,i,1.886
2004,3007,CA3c Pyramidal,CA2 Wide Arbor Basket,e,i,1.276
