pre_neuron,post_neuron,pre_ei,post_ei,w_ij,kappa_j,m_ij
DG HIPROM,CA3 Basket,i,i,-7.307887427568001,0.1496,-1.093259959164173
DG HIPROM,CA3 Basket CCK+,i,i,-3.4995499721856005,0.08623,-0.30176619410156436
DG HIPROM,CA3 Horizontal Axo Axonic,i,i,-2.3841735359040004,0.07827,-0.18660926265520614
DG HIPROM,CA2 Wide Arbor Basket,i,i,-0.7107580985639679,0.06561,-0.04663283884678193
DG HIPROM,CA1 Neurogliaform Projecting,i,i,-3.5809123712831994,0.02287,-0.08189546593124677
DG AIPRIM,DG Granule,i,e,-5198.70757223961,0.04463,-232.01831894905382
DG AIPRIM,DG Semilunar Granule,i,e,-4221.690276727242,0.00401,-16.92897800967624
DG AIPRIM,DG Mossy,i,e,-8299.567272988299,0.029,-240.68745091666068
DG AIPRIM,DG Total Molecular Layer,i,i,-9047.047449782945,0.0744,-673.1003302638511
DG AIPRIM,DG MOLAX,i,i,-12163.428213615165,0.0744,-904.9590590929682
DG AIPRIM,DG HICAP,i,i,-9756.98468499447,0.21477,-2095.507600796262
DG AIPRIM,DG Axo Axonic,i,i,-7725.744949203603,0.27069,-2091.281900299923
DG AIPRIM,DG HIPP,i,i,-3846.2820257664,0.01581,-60.80971882736679
DG AIPRIM,DG HIPROM,i,i,-21429.717139184646,0.03192,-684.0365710827739
DG AIPRIM,DG AIPRIM,i,i,-10954.1344524612,0.2501,-2739.6290265605458
DG AIPRIM,DG Basket,i,i,-8921.306258922023,0.09135,-814.9613267525268
DG AIPRIM,DG Hilar Ectopic Granule,i,e,-12455.029083218698,0.02539,-316.23318842292275
DG Basket,DG Granule,i,e,-5317.503508323121,0.04463,-237.32018157646093
DG Basket,DG Total Molecular Layer,i,i,-5419.586277233849,0.0744,-403.21721902619834
DG Basket,DG MOLAX,i,i,-4992.880041672147,0.0744,-371.4702751004077
DG Basket,DG HICAP,i,i,-4100.037675563964,0.21477,-880.5650915808724
DG Basket,DG Axo Axonic,i,i,-2895.9885754967745,0.27069,-783.9151475012219
