pre_neuron_id,post_neuron_id,pre_neuron,post_neuron,pre_ei,post_ei,c_ij
2004,2047,CA3c Pyramidal,CA3 Horizontal Axo Axonic,e,i,0.002191
2004,3000,CA3c Pyramidal,CA2 Pyramidal,e,e,0.153779408
2004,3003,CA3c Pyramidal,CA2 Bistratified,e,i,0.132414959
2004,3006,CA3c Pyramidal,CA2 Basket,e,i,0.115386954
2004,3007,CA3c Pyramidal,CA2 Wide Arbor Basket,e,i,0.068235863
2004,3008,CA3c Pyramidal,CA2 SP SR,e,i,0.111375131
2004,4000,CA3c Pyramidal,CA1 Pyramidal,e,e,0.35655592
2004,4003,CA3c Pyramidal,CA1 Quadrilaminar,e,i,0.285082134
2004,4005,CA3c Pyramidal,CA1 LMR,e,i,0.1443391
2004,4006,CA3c Pyramidal,CA1 Perforant Path Associated,e,i,0.232687403
2004,4013,CA3c Pyramidal,CA1 Radial Trilaminar,e,i,0.199371417
2004,4015,CA3c Pyramidal,CA1 Schaffer Collateral Associated,e,i,0.246256403
2004,4023,CA3c Pyramidal,CA1 Back Projection,e,i,0.017939506
2004,4028,CA3c Pyramidal,CA1 Radiatum,e,i,0.227183221
2004,4033,CA3c Pyramidal,CA1 SO SO,e,i,0.030932461
2004,4035,CA3c Pyramidal,CA1 Trilaminar,e,i,0.036167941
2004,4036,CA3c Pyramidal,CA1 Axo Axonic,e,i,0.308107009
2004,4038,CA3c Pyramidal,CA1 Horizontal Axo Axonic,e,i,0.009365368
2004,4039,CA3c Pyramidal,CA1 Horizontal Basket,e,i,0.023442327
2004,4054,CA3c Pyramidal,CA1 Radiatum Giant,e,e,0.256195054
2004,4055,CA3c Pyramidal,CA1 Oriens Alveus,e,i,0.282836766
2004,4061,CA3c Pyramidal,CA1 R Receiving Apical Targeting,e,i,0.308821376
2004,4066,CA3c Pyramidal,CA1 OR LM,e,i,0.375266804
2004,4069,CA3c Pyramidal,CA1 O LM,e,i,0.028386391
2004,4076,CA3c Pyramidal,CA1 Perforant Path Associated QuadD,e,i,0.374169239
2004,4078,CA3c Pyramidal,CA1 Basket,e,i,0.410866822
2004,4079,CA3c Pyramidal,CA1 Basket CCK+,e,i,0.413114963
2004,4080,CA3c Pyramidal,CA1 Bistratified,e,i,0.244995738
2004,4081,CA3c Pyramidal,CA1 Ivy,e,i,0.19025721
2004,4083,CA3c Pyramidal,CA1 Oriens Bistratified,e,i,0.009733452
2004,4087,CA3c Pyramidal,CA1 O LMR,e,i,0.02165382
2004,4089,CA3c Pyramidal,CA1 Recurrent O LM,e,i,0.039979435
2004,5005,CA3c Pyramidal,SUB CA1 Projecting Pyramidal,e,e,0.008183013
2005,2000,CA3 LMR Targeting,CA3 Pyramidal,i,e,0.01655
2005,2001,CA3 LMR Targeting,CA3 Granule,i,e,0.01275
2005,2004,CA3 LMR Targeting,CA3c Pyramidal,i,e,0.00149
2005,2005,CA3 LMR Targeting,CA3 LMR Targeting,i,i,0.02309
2005,2013,CA3 LMR Targeting,CA3 Lucidum ORAX,i,i,0.001877
2005,2028,CA3 LMR Targeting,CA3 Axo Axonic,i,i,0.01432
2005,2035,CA3 LMR Targeting,CA3 Mossy Fiber Associated ORDEN,i,i,0.001318
2005,2036,CA3 LMR Targeting,CA3 Mossy Fiber Associated,i,i,0.001183
2005,2043,CA3 LMR Targeting,CA3 Basket,i,i,0.01613
2005,2044,CA3 LMR Targeting,CA3 Basket CCK+,i,i,0.0128
2009,2000,CA3 O LM,CA3 Pyramidal,i,e,0.02
2009,2001,CA3 O LM,CA3 Granule,i,e,0.01344
2009,2004,CA3 O LM,CA3c Pyramidal,i,e,0.003804
2009,2005,CA3 O LM,CA3 LMR Targeting,i,i,0.02241
2009,2009,CA3 O LM,CA3 O LM,i,i,0.003652
2009,2013,CA3 O LM,CA3 Lucidum ORAX,i,i,0.001786
2009,2020,CA3 O LM,CA3 Trilaminar,i,i,0.005832
2009,2028,CA3 O LM,CA3 Axo Axonic,i,i,0.01794
2009,2035,CA3 O LM,CA3 Mossy Fiber Associated ORDEN,i,i,0.003354
2009,2036,CA3 O LM,CA3 Mossy Fiber Associated,i,i,0.001305
2009,2043,CA3 O LM,CA3 Basket,i,i,0.01927
2009,2044,CA3 O LM,CA3 Basket CCK+,i,i,0.01486
2009,2047,CA3 O LM,CA3 Horizontal Axo Axonic,i,i,0.00241
2013,2000,CA3 Lucidum ORAX,CA3 Pyramidal,i,e,0.006315
2013,2001,CA3 Lucidum ORAX,CA3 Granule,i,e,0.0005809
2013,2004,CA3 Lucidum ORAX,CA3c Pyramidal,i,e,0.00717
2013,2005,CA3 Lucidum ORAX,CA3 LMR Targeting,i,i,0.001869
2013,2009,CA3 Lucidum ORAX,CA3 O LM,i,i,0.003174
2013,2013,CA3 Lucidum ORAX,CA3 Lucidum ORAX,i,i,0.003975
2013,2019,CA3 Lucidum ORAX,CA3 Spiny Lucidum,i,i,0.003846
2013,2020,CA3 Lucidum ORAX,CA3 Trilaminar,i,i,0.005242
2013,2028,CA3 Lucidum ORAX,CA3 Axo Axonic,i,i,0.007447
2013,2035,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated ORDEN,i,i,0.00768
2013,2036,CA3 Lucidum ORAX,CA3 Mossy Fiber Associated,i,i,0.004121
2013,2043,CA3 Lucidum ORAX,CA3 Basket,i,i,0.007423
2013,2044,CA3 Lucidum ORAX,CA3 Basket CCK+,i,i,0.004157
2013,2047,CA3 Lucidum ORAX,CA3 Horizontal Axo Axonic,i,i,0.001996
2013,3007,CA3 Lucidum ORAX,CA2 Wide Arbor Basket,i,i,0.001085998
2019,1000,CA3 Spiny Lucidum,DG Granule,i,e,0.004243
2019,1001,CA3 Spiny Lucidum,DG Semilunar Granule,i,e,0.00493
2019,1004,CA3 Spiny Lucidum,DG Total Molecular Layer,i,i,0.001636
2019,1005,CA3 Spiny Lucidum,DG MOLAX,i,i,0.002619
2019,1007,CA3 Spiny Lucidum,DG Neurogliaform,i,i,0.001275
2019,1008,CA3 Spiny Lucidum,DG MOPP,i,i,0.002374
2019,1009,CA3 Spiny Lucidum,DG HICAP,i,i,0.002891
2019,1010,CA3 Spiny Lucidum,DG Axo Axonic,i,i,0.006099
2019,1026,CA3 Spiny Lucidum,DG HIPROM,i,i,0.0003505
2019,1027,CA3 Spiny Lucidum,DG AIPRIM,i,i,0.002447
2019,1035,CA3 Spiny Lucidum,DG Basket,i,i,0.004616
2019,1041,CA3 Spiny Lucidum,DG Hilar Ectopic Granule,i,e,0.004442
2019,2000,CA3 Spiny Lucidum,CA3 Pyramidal,i,e,0.002206
2019,2001,CA3 Spiny Lucidum,CA3 Granule,i,e,0.0006334
2019,2004,CA3 Spiny Lucidum,CA3c Pyramidal,i,e,0.00239
2019,2005,CA3 Spiny Lucidum,CA3 LMR Targeting,i,i,0.001064
2019,2013,CA3 Spiny Lucidum,CA3 Lucidum ORAX,i,i,0.003208
2019,2019,CA3 Spiny Lucidum,CA3 Spiny Lucidum,i,i,0.0006416
2019,2028,CA3 Spiny Lucidum,CA3 Axo Axonic,i,i,0.002207
2019,2035,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated ORDEN,i,i,0.002228
2019,2036,CA3 Spiny Lucidum,CA3 Mossy Fiber Associated,i,i,0.002043
2019,2043,CA3 Spiny Lucidum,CA3 Basket,i,i,0.002486
2019,2044,CA3 Spiny Lucidum,CA3 Basket CCK+,i,i,0.00179
2019,4011,CA3 Spiny Lucidum,CA1 Neurogliaform Projecting,i,i,0.001111
2020,2000,CA3 Trilaminar,CA3 Pyramidal,i,e,0.006598
2020,2001,CA3 Trilaminar,CA3 Granule,i,e,0.001104
2020,2004,CA3 Trilaminar,CA3c Pyramidal,i,e,0.006875
2020,2005,CA3 Trilaminar,CA3 LMR Targeting,i,i,0.002334
