triad_id,motif,rees_superpattern,rees_superpattern_name,node_a,node_b,node_c,node_ei_signature,edge_ei_signature,region_signature,region_count,within_region,nonself_edge_count,self_edge_count,edge_count,nonself_total_weight,nonself_total_abs_weight,self_total_weight,self_total_abs_weight,total_weight,total_abs_weight,mean_abs_weight,spectral_radius,max_real,edge_1_pre,edge_1_post,edge_1_pre_class,edge_1_post_class,edge_1_pre_region,edge_1_post_region,edge_1_weight,edge_1_abs_weight,edge_1_edge_type,edge_2_pre,edge_2_post,edge_2_pre_class,edge_2_post_class,edge_2_pre_region,edge_2_post_region,edge_2_weight,edge_2_abs_weight,edge_2_edge_type
T000059,021D,C,single input module,CA1 Axo Axonic,CA1 Back Projection,DG Total Molecular Layer,0E-3I,I->I + I->I,CA1-DG,2,False,2,0,2,-269.8633871130069,269.8633871130069,0,0,-269.8633871130069,269.8633871130069,134.93169355650346,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,CA1 Back Projection,DG Total Molecular Layer,i,i,CA1,DG,-103.91252587979872,103.91252587979872,between_nodes
T000063,021U,A,simple regulation,CA1 Axo Axonic,CA1 Back Projection,EC LIII Pyramidal,1E-2I,I->I + E->I,CA1-EC,2,False,2,0,2,916.1638443609501,1248.0655668273664,0,0,916.1638443609501,1248.0655668273664,624.0327834136832,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,EC LIII Pyramidal,CA1 Axo Axonic,e,i,EC,CA1,1082.1147055941583,1082.1147055941583,between_nodes
T000064,021U,A,simple regulation,CA1 Axo Axonic,CA1 Back Projection,EC LIII Pyramidal Stellate,1E-2I,I->I + E->I,CA1-EC,2,False,2,0,2,14347.87200421206,14679.773726678477,0,0,14347.87200421206,14679.773726678477,7339.8868633392385,0.0,0.0,CA1 Back Projection,CA1 Axo Axonic,i,i,CA1,CA1,-165.9508612332082,165.9508612332082,between_nodes,EC LIII Pyramidal Stellate,CA1 Axo Axonic,e,i,EC,CA1,14513.822865445269,14513.822865445269,between_nodes
T000247,021D,C,single input module,CA1 Axo Axonic,CA1 Bistratified,CA1 Horizontal Axo Axonic,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-248.29221247900873,248.29221247900873,0,0,-248.29221247900873,248.29221247900873,124.14610623950436,0.0,0.0,CA1 Bistratified,CA1 Axo Axonic,i,i,CA1,CA1,-103.53031023697412,103.53031023697412,between_nodes,CA1 Bistratified,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-144.7619022420346,144.7619022420346,between_nodes
T000251,021U,A,simple regulation,CA1 Axo Axonic,CA1 Bistratified,CA1 Neurogliaform,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-135.21114862192707,135.21114862192707,0,0,-135.21114862192707,135.21114862192707,67.60557431096353,0.0,0.0,CA1 Bistratified,CA1 Axo Axonic,i,i,CA1,CA1,-103.53031023697412,103.53031023697412,between_nodes,CA1 Neurogliaform,CA1 Axo Axonic,i,i,CA1,CA1,-31.680838384952963,31.680838384952963,between_nodes
T000252,021U,A,simple regulation,CA1 Axo Axonic,CA1 Bistratified,CA1 Neurogliaform Projecting,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-105.91569412075356,105.91569412075356,0,0,-105.91569412075356,105.91569412075356,52.95784706037678,0.0,0.0,CA1 Bistratified,CA1 Axo Axonic,i,i,CA1,CA1,-103.53031023697412,103.53031023697412,between_nodes,CA1 Neurogliaform Projecting,CA1 Axo Axonic,i,i,CA1,CA1,-2.3853838837794457,2.3853838837794457,between_nodes
T000306,021U,A,simple regulation,CA1 Axo Axonic,CA1 Bistratified,EC LIII Pyramidal,1E-2I,I->I + E->I,CA1-EC,2,False,2,0,2,978.5843953571841,1185.6450158311325,0,0,978.5843953571841,1185.6450158311325,592.8225079155662,0.0,0.0,CA1 Bistratified,CA1 Axo Axonic,i,i,CA1,CA1,-103.53031023697412,103.53031023697412,between_nodes,EC LIII Pyramidal,CA1 Axo Axonic,e,i,EC,CA1,1082.1147055941583,1082.1147055941583,between_nodes
T000307,021U,A,simple regulation,CA1 Axo Axonic,CA1 Bistratified,EC LIII Pyramidal Stellate,1E-2I,I->I + E->I,CA1-EC,2,False,2,0,2,14410.292555208294,14617.353175682243,0,0,14410.292555208294,14617.353175682243,7308.676587841122,0.0,0.0,CA1 Bistratified,CA1 Axo Axonic,i,i,CA1,CA1,-103.53031023697412,103.53031023697412,between_nodes,EC LIII Pyramidal Stellate,CA1 Axo Axonic,e,i,EC,CA1,14513.822865445269,14513.822865445269,between_nodes
T000328,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Ivy,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-233.9396812999759,233.9396812999759,0,0,-233.9396812999759,233.9396812999759,116.96984064998794,0.0,0.0,CA1 Ivy,CA1 Axo Axonic,i,i,CA1,CA1,-75.16046226154998,75.16046226154998,between_nodes,CA1 Ivy,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-158.7792190384259,158.7792190384259,between_nodes
T000335,021D,C,single input module,CA1 Axo Axonic,CA1 Horizontal Axo Axonic,CA1 Oriens Alveus,0E-3I,I->I + I->I,CA1,1,True,2,0,2,-87.23556018407216,87.23556018407216,0,0,-87.23556018407216,87.23556018407216,43.61778009203608,0.0,0.0,CA1 Oriens Alveus,CA1 Axo Axonic,i,i,CA1,CA1,-22.622622368053893,22.622622368053893,between_nodes,CA1 Oriens Alveus,CA1 Horizontal Axo Axonic,i,i,CA1,CA1,-64.61293781601826,64.61293781601826,between_nodes
